z_entry_long,z_entry_short,mr_sl_atr_mult,median_dsr_probability,median_return_pct,worst_drawdown_pct,median_profit_factor,min_fold_trades,robust_score
3.0,3.25,3.0,0.006614838852347603,-0.8105512485664546,-4.370306989604705,0.8196861405594298,17,-0.2036560680219107
3.0,2.5,3.0,0.005434417452975137,-1.3587671390176914,-11.258899921777047,0.8394544435306008,33,-0.2249933100154862
3.0,2.75,3.0,0.004316019351846165,-1.2119099619361418,-7.31262303728272,0.7913018479365173,22,-0.2530643475174116
3.0,2.5,2.5,0.004207162852964018,-1.6724170719067843,-13.429654094630605,0.8159666251168589,33,-0.26369865322239794
3.0,3.25,2.5,0.003750860353626992,-1.5365760130368722,-5.190331668719628,0.7412390341884582,17,-0.2963275239318817
2.75,3.25,3.0,0.002998966152292869,-1.7401378595518047,-4.8561349307889214,0.7372921321726114,19,-0.3013909549245584
3.0,2.75,2.5,0.0038389978793437955,-2.072483990860313,-9.35655289600345,0.7575785001382677,22,-0.306090106371009
2.75,2.75,3.0,0.003919027665179041,-2.1520789071117816,-8.061871861367509,0.7449838943797107,28,-0.31292722633306563
2.75,2.5,3.0,0.0023602121589329545,-2.301111178920068,-12.038318364702464,0.7632348351046779,35,-0.3176076563491021
2.75,3.25,2.5,0.00466877932366984,-2.4525143321841805,-5.832509692618696,0.7237265161969588,19,-0.3252923962643066
3.0,3.25,3.5,0.0032890064019679924,-1.313103475740407,-4.396959148093884,0.701954687019067,17,-0.32987213707683843
3.0,3.0,3.0,0.002556196079218754,-1.660786986923951,-4.070797708536993,0.7006308321916487,17,-0.333774830141057
2.75,2.5,2.5,0.0036483556884565503,-2.7734245709037317,-14.167639481071308,0.7574764952982618,35,-0.3374475921276755
3.0,2.5,3.5,0.002253554633032727,-2.0882997372121235,-11.463536215192963,0.7327525518173714,33,-0.3431945719976819
2.75,3.0,3.0,0.0023543748415176353,-2.5829736852588994,-5.618417064220274,0.685317350455052,24,-0.3662500968771207
2.75,2.75,2.5,0.003858872166554178,-3.2012537413394213,-10.088718518539608,0.7106367638626429,28,-0.36796049397689523
3.0,2.75,3.5,0.0019498278359676652,-1.7811737843963116,-7.593927788249057,0.6839680185049479,22,-0.3698635304442928
3.0,3.0,2.5,0.0018300486706815454,-2.7078052498892893,-5.696456118626968,0.67255809208628,17,-0.38117219233506616
2.5,3.0,3.0,0.0017587754948330632,-3.220850196452524,-8.900763742060942,0.6924726003007328,39,-0.38248094487926415
2.75,3.0,2.5,0.002171120598638857,-3.5807337724917785,-7.752007733674848,0.6681927656872478,24,-0.40420349010740536
2.5,3.25,3.0,0.0010823691369648948,-3.4496860914513263,-8.757104362742623,0.6669560783456532,34,-0.4102439352456083
2.75,3.25,3.5,0.0011286097398458218,-2.4362971725513107,-5.21881608728614,0.6301984044216404,19,-0.41913003800045756
2.75,2.75,3.5,0.0015795720062488005,-2.878624678454761,-8.396530389842429,0.6445482857506908,28,-0.42464104097682015
2.75,2.5,3.5,0.0007496418651097772,-3.2184539465792197,-12.253541875875326,0.6636277821365397,35,-0.42907482484351933
3.0,3.0,3.5,0.0010823522302302498,-2.157596263806383,-4.423565966737188,0.6046326315935582,17,-0.43797880864796135
2.5,3.0,3.5,0.0006449031674732521,-3.6086643012551103,-8.670639842036513,0.6239594810248157,39,-0.45483545803044473
2.5,3.0,2.5,0.0006185085310496551,-4.540927947220719,-12.06183548208137,0.6486092637351454,39,-0.456490684616419
2.75,3.0,3.5,0.0008958103405483048,-3.2497206294816836,-6.024861175715593,0.5912433541763874,24,-0.4704823476564591
2.5,3.25,2.5,0.0003142745742517622,-4.840314391098982,-10.393978116750379,0.6237759521660741,34,-0.4762828077544159
2.5,3.25,3.5,0.0003703655208488836,-3.8054153480791664,-8.173891224904116,0.6014389635925035,34,-0.47711428049195986
2.5,2.75,3.0,0.00031292938325091753,-4.6377558430526875,-8.826440936815313,0.6095337684111037,43,-0.4806630653202488
2.5,2.5,3.0,0.00017664973287346436,-5.917105720135113,-10.577899976877717,0.5934761247640603,50,-0.5184077825888059
2.5,2.75,3.5,0.0001557783776170801,-5.012460959069953,-8.400961801625035,0.5536683104210329,43,-0.5383053298001746
2.5,2.75,2.5,0.0001921014844322172,-6.35068916506053,-11.958098407468908,0.5797826349861507,43,-0.5433226472173669
2.5,2.5,2.5,0.000164636832703865,-7.532886369553343,-13.022168658183256,0.5755611060454104,50,-0.5647139641083354
2.5,2.5,3.5,8.5563157717734e-05,-6.030177858123159,-11.132915375774399,0.5503715607687746,50,-0.5655092315336112
2.25,3.0,3.0,0.00015564625979972823,-7.773787846064623,-11.770158617611884,0.5400668165031812,49,-0.5963662087857247
2.25,3.25,3.0,8.748834151320976e-05,-7.49451115803394,-10.97192363022489,0.5242841388766766,44,-0.605433102513274
2.25,3.0,3.5,3.0290818907403913e-05,-7.8405365608730015,-10.65390406235076,0.4907755165428276,49,-0.6408690785587489
2.25,3.25,3.5,1.8820606247785747e-05,-7.414955766399112,-9.95635876659997,0.4777262134513529,44,-0.6461863174393903
2.25,2.75,3.0,1.5412523739293197e-05,-9.144606757552438,-11.55565363872756,0.4983898155590497,53,-0.6508191076863732
2.25,3.0,2.5,1.7237967705786466e-05,-9.579742320193063,-15.995541376126365,0.5213990556818829,49,-0.6543588364329738
2.25,3.25,2.5,7.913711702463837e-06,-9.835656557323535,-13.965840789559994,0.5075754869107332,44,-0.6606023688985997
2.25,2.5,3.0,7.978483390081288e-06,-10.053106125850453,-14.080413938136116,0.489162460944744,60,-0.6817626915210511
2.25,2.75,3.5,3.538393278407156e-06,-9.023299365641341,-11.19588168685244,0.4581163377271358,53,-0.6880925259702614
2.25,2.5,3.5,5.962264286482529e-06,-9.303700111654408,-14.549696088797612,0.46931229512793504,60,-0.6964672241683106
2.25,2.75,2.5,7.0175087381272365e-06,-11.27650989963621,-15.794223348622369,0.4891216064032332,53,-0.7026075918275027
2.25,2.5,2.5,8.11919984375126e-06,-11.882171455926155,-17.658819568761828,0.4875026663803644,60,-0.7196050268228626
