entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,initial_lot,final_lot,pnl,reason,bars_held,partial_done,balance
2024-05-27 09:15:00,2024-05-27 09:30:00,1693,1694,SELL,31.04,31.231464599671227,0.56,0.56,-110.58017581588773,SL,1,False,9889.419824184113
2024-06-12 21:15:00,2024-06-13 02:00:00,2831,2850,BUY,29.049000000000003,29.194176084117,0.27,0.13,34.64386147680122,TP,19,True,9924.063685660914
2024-07-04 18:00:00,2024-07-04 18:15:00,4270,4271,BUY,30.384,30.372,0.52,0.52,-9.360000000000237,TP,1,False,9914.703685660914
2024-07-09 18:15:00,2024-07-09 18:45:00,4547,4549,BUY,30.515,30.793,0.43,0.21,83.76874071789469,TP,2,True,9998.472426378808
2024-09-02 21:15:00,2024-09-02 21:45:00,8137,8139,BUY,28.32,28.470923638854853,0.71,0.35,76.98524704925103,TP,2,True,10075.45767342806
2024-10-04 08:45:00,2024-10-04 09:00:00,10299,10300,BUY,31.759,31.754,0.37,0.19,21.192764158267295,BE_AFTER_PARTIAL,1,True,10096.650437586326
2024-10-30 08:30:00,2024-10-30 10:00:00,11903,11909,BUY,33.696,33.690999999999995,0.29,0.15,18.229629772918656,SL,6,True,10114.880067359245
2024-11-27 10:15:00,2024-11-27 15:45:00,13726,13748,BUY,30.179000000000002,30.1014273024959,0.35,0.35,-29.25044412643586,TP,22,False,10085.62962323281
2024-12-05 20:15:00,2024-12-05 21:30:00,14295,14300,BUY,30.950000000000003,31.14766765609465,0.44,0.22,63.72478961912978,TP,5,True,10149.354412851939
2024-12-18 14:15:00,2024-12-18 14:45:00,15103,15105,BUY,29.875,29.87,0.41,0.21,27.33427544905942,SL,2,True,10176.688688301
2025-04-16 21:30:00,2025-04-16 23:45:00,22727,22736,BUY,32.354,32.543,0.28,0.14,38.616110688641996,TP,9,True,10215.304798989642
2025-06-26 05:00:00,2025-06-26 07:30:00,27245,27255,SELL,36.771,36.53002774487335,0.39,0.19,79.99053859644286,TP,10,True,10295.295337586085
2025-07-06 18:15:00,2025-07-06 19:30:00,27830,27835,SELL,37.17,36.97746699481872,0.49,0.25,69.7416671905656,TP,5,True,10365.037004776652
2025-07-06 21:15:00,2025-07-06 23:00:00,27842,27849,BUY,36.699999999999996,36.69499999999999,0.4,0.2,19.6326257028475,SL,7,True,10384.669630479499
2025-08-18 21:15:00,2025-08-18 22:00:00,30694,30697,BUY,37.891,37.72738909722829,0.69,0.69,-117.03152291247872,SL,3,False,10267.63810756702
2025-09-16 21:30:00,2025-09-16 21:45:00,32617,32618,BUY,42.403999999999996,42.23053145379819,0.64,0.64,-114.85986956915426,SL,1,False,10152.778237997865
2025-09-25 03:45:00,2025-09-25 04:00:00,33194,33195,SELL,44.328,44.594147389945995,0.39,0.39,-106.13748207893691,SL,1,False,10046.640755918928
2025-10-14 01:45:00,2025-10-14 02:15:00,34382,34384,BUY,51.916,50.63813340829809,0.08,0.08,-102.70932733615267,SL,2,False,9943.931428582775
2025-10-26 18:00:00,2025-10-26 20:00:00,35183,35191,BUY,47.757999999999996,48.31974828609041,0.16,0.08,72.42400189914183,TP,8,True,10016.355430481917
2025-12-03 00:45:00,2025-12-03 03:45:00,37671,37683,BUY,57.742999999999995,58.186500764126386,0.14,0.07,56.08059493797821,TP,12,True,10072.436025419896
2025-12-22 20:15:00,2025-12-22 21:30:00,38941,38946,SELL,69.6,69.60499999999999,0.19,0.09,26.232727838746584,SL,5,True,10098.668753258642
2025-12-23 08:15:00,2025-12-23 09:45:00,38989,38995,SELL,70.262,69.589,0.19,0.09,76.15378662620718,TP,6,True,10174.82253988485
2025-12-30 22:00:00,2025-12-31 00:45:00,39395,39406,BUY,73.129,70.81196373522322,0.04,0.04,-92.92145059107155,SL,11,False,10081.901089293779
2026-01-13 08:15:00,2026-01-13 09:00:00,40172,40175,SELL,86.869,87.98619529405487,0.09,0.09,-101.08757646493798,SL,3,False,9980.813512828841
2026-02-24 09:00:00,2026-02-24 09:30:00,42915,42917,BUY,86.17800000000001,86.17300000000002,0.06,0.03,20.24157635784279,BE_AFTER_PARTIAL,2,True,10001.055089186684
2026-03-05 01:00:00,2026-03-05 01:45:00,43527,43530,BUY,82.412,82.40700000000001,0.06,0.03,19.400101709031656,BE_AFTER_PARTIAL,3,True,10020.455190895716
2026-03-27 10:00:00,2026-03-27 12:30:00,45037,45047,SELL,70.30799999999999,69.58999999999999,0.06,0.03,30.02031310549016,TP,10,True,10050.475504001208
2026-04-22 20:15:00,2026-04-22 20:45:00,46629,46631,BUY,76.596,78.039,0.15,0.07,136.5773421891631,TP,2,True,10187.05284619037
2026-05-06 05:00:00,2026-05-06 07:45:00,47492,47503,SELL,76.89999999999999,76.90499999999999,0.11,0.05,2.4512474305663794,BE_AFTER_PARTIAL,11,True,10189.504093620937
2026-05-27 01:45:00,2026-05-27 02:30:00,48849,48852,BUY,75.686,74.74723304032877,0.11,0.11,-103.92436556383655,SL,3,False,10085.5797280571
2026-06-14 18:15:00,2026-06-15 01:30:00,50015,50044,SELL,69.756,70.23743787425909,0.09,0.09,-43.86940868331775,TP,29,False,10041.710319373782
