entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance,strategy,final_lot,reason
2024-05-06 03:45:00,2024-05-07 04:00:00,291,384,BUY,27.148000000000003,27.143000000000004,SL,0.5,93,True,90.65342831361669,0.00906534283136167,10090.653428313617,TREND,,
2024-05-09 10:30:00,2024-05-10 02:15:00,594,653,BUY,28.129,28.581563436544617,TP,0.46,59,True,156.612414245763,0.0156612414245763,10247.26584255938,TREND,,
2024-05-10 03:15:00,2024-05-10 08:15:00,657,677,BUY,28.603,28.458506036107842,SL,0.79,20,False,-118.89023147480611,-0.011889023147480611,10128.375611084573,TREND,,
2024-05-15 05:00:00,2024-05-15 07:45:00,940,951,BUY,28.904,28.747512332609173,SL,0.68,11,False,-110.49161382576258,-0.011049161382576259,10017.88399725881,TREND,,
2024-05-17 11:00:00,2024-05-17 14:30:00,1148,1162,BUY,30.681,31.33042694403385,TP,0.31,14,True,151.4710434213445,0.015147104342134449,10169.355040680155,TREND,,
2024-05-17 14:45:00,2024-05-19 21:00:00,1163,1184,BUY,31.377000000000002,32.051595154712366,TP,0.31,21,True,157.4275199485931,0.01574275199485931,10326.782560628748,TREND,,
2024-05-19 21:30:00,2024-05-20 07:15:00,1186,1225,BUY,31.939,31.502428627062624,SL,0.24,39,False,-106.21712950497022,-0.010621712950497022,10220.565431123778,TREND,,
2024-05-27 09:15:00,2024-05-27 09:30:00,1693,1694,SELL,31.04,31.231464599671227,,0.56,1,False,-110.58017581588773,,10109.98525530789,MR,0.56,SL
2024-05-27 10:00:00,2024-05-28 02:00:00,1696,1746,BUY,31.508000000000003,31.503000000000004,SL,0.54,50,True,93.83043664378958,0.009383043664378959,10203.81569195168,TREND,,
2024-06-05 21:45:00,2024-06-06 08:30:00,2373,2416,BUY,30.394000000000002,30.14065133266982,SL,0.43,43,False,-111.51992695197869,-0.01115199269519787,10092.295764999702,TREND,,
2024-06-06 11:45:00,2024-06-07 04:30:00,2429,2492,BUY,31.186,30.85664039187477,SL,0.32,63,False,-107.31507460007371,-0.010731507460007372,9984.980690399629,TREND,,
2024-06-12 21:15:00,2024-06-13 02:00:00,2831,2850,BUY,29.049000000000003,29.194176084117,,0.27,19,True,34.64386147680122,,10019.62455187643,MR,0.13,TP
2024-06-19 21:30:00,2024-06-20 00:00:00,3282,3292,BUY,29.952,30.246478820356145,TP,0.72,10,True,157.79161393039908,0.01577916139303991,10177.41616580683,TREND,,
2024-06-20 01:15:00,2024-06-20 04:00:00,3297,3308,BUY,30.404,30.206141886515226,SL,0.54,11,False,-110.08338128177778,-0.011008338128177777,10067.332784525051,TREND,,
2024-06-20 11:15:00,2024-06-21 02:45:00,3337,3395,BUY,30.588,30.316387199186263,SL,0.39,58,False,-108.2689923173579,-0.01082689923173579,9959.063792207693,TREND,,
2024-06-23 21:45:00,2024-06-24 21:45:00,3467,3559,BUY,29.578000000000003,29.34556200677059,SL,0.46,92,False,-109.68147688553057,-0.010968147688553058,9849.382315322162,TREND,,
2024-06-28 09:15:00,2024-06-28 09:30:00,3881,3882,BUY,29.583000000000002,29.441649235973046,SL,0.76,1,False,-111.98658066048691,-0.011198658066048691,9737.395734661675,TREND,,
2024-07-03 04:30:00,2024-07-03 05:30:00,4138,4142,BUY,30.152,30.00369489473768,SL,0.7,4,False,-108.01357368362422,-0.010801357368362421,9629.382160978052,TREND,,
2024-07-03 08:30:00,2024-07-03 09:00:00,4154,4156,BUY,30.436,30.27482736356512,SL,0.65,2,False,-108.66221368267229,-0.010866221368267228,9520.71994729538,TREND,,
2024-07-04 18:00:00,2024-07-04 18:15:00,4270,4271,BUY,30.384,30.372,,0.52,1,False,-9.360000000000237,,9511.35994729538,MR,0.52,TP
2024-07-09 18:15:00,2024-07-09 18:45:00,4547,4549,BUY,30.515,30.793,,0.43,2,True,83.76874071789469,,9595.128688013274,MR,0.21,TP
2024-07-30 13:30:00,2024-07-31 01:30:00,5912,5956,BUY,28.335,28.641152557803146,TP,0.64,44,True,145.4247533235396,0.01454247533235396,9740.553441336813,TREND,,
2024-08-05 08:15:00,2024-08-05 09:00:00,6259,6262,SELL,26.737,27.06887653311866,SL,0.3,3,False,-101.36295993559898,-0.010136295993559898,9639.190481401214,TREND,,
2024-08-08 10:15:00,2024-08-09 01:45:00,6543,6601,BUY,27.411,27.406000000000002,SL,0.54,58,True,89.94115365329917,0.008994115365329916,9729.131635054513,TREND,,
2024-08-12 04:15:00,2024-08-12 09:00:00,6703,6722,BUY,27.903000000000002,27.747582088492322,SL,0.65,19,False,-104.92164247999195,-0.010492164247999194,9624.20999257452,TREND,,
2024-08-15 07:45:00,2024-08-15 08:30:00,6993,6996,BUY,28.214000000000002,28.209000000000003,SL,0.64,3,True,87.34420480282776,0.008734420480282777,9711.554197377349,TREND,,
2024-08-15 08:45:00,2024-08-15 09:00:00,6997,6998,BUY,28.289,28.12088666569358,SL,0.61,1,False,-106.20913392691772,-0.010620913392691772,9605.345063450432,TREND,,
2024-09-02 21:15:00,2024-09-02 21:45:00,8137,8139,BUY,28.32,28.470923638854853,,0.71,2,True,76.98524704925103,,9682.330310499683,MR,0.35,TP
2024-09-05 09:00:00,2024-09-05 10:15:00,8368,8373,BUY,28.790000000000003,29.11798283905983,TP,0.6,5,True,146.57210596752165,0.014657210596752165,9828.902416467205,TREND,,
2024-09-05 10:45:00,2024-09-05 11:15:00,8375,8377,BUY,29.018,28.824047598005897,SL,0.54,2,False,-107.97429707681574,-0.010797429707681574,9720.928119390388,TREND,,
2024-09-11 02:30:00,2024-09-11 08:30:00,8710,8734,BUY,28.707,28.539033325747923,SL,0.6,24,False,-104.3800045512468,-0.01043800045512468,9616.54811483914,TREND,,
2024-09-12 11:00:00,2024-09-12 20:30:00,8836,8870,BUY,29.513,29.944459570867505,TP,0.45,34,True,144.90111933117686,0.014490111933117686,9761.449234170317,TREND,,
2024-09-13 09:45:00,2024-09-13 10:00:00,8923,8924,BUY,30.756,30.555065558517104,SL,0.51,1,False,-105.53656515627729,-0.01055365651562773,9655.91266901404,TREND,,
2024-09-13 12:15:00,2024-09-13 13:30:00,8933,8938,BUY,30.874000000000002,30.60811863395731,SL,0.37,5,False,-100.59610543579586,-0.010059610543579586,9555.316563578244,TREND,,
