entry_time,exit_time,net_pnl,return_pct,pnl,entry_i,exit_i,side,units,entry_reference,entry_price,exit_reference,exit_price,stop_reference,bars_held,exit_reason,reference_pnl,price_pnl,spread_slippage_cost,commission_cost,costs,cash_after,fold_id,candidate_id
2023-01-06 20:00:00+00:00,2023-01-10 13:00:00+00:00,-116.69760000000299,-0.11669760000000298,-116.69760000000299,351,501,1,0.24,11060.409,11061.759,11039.097,11037.747,10878.114375,150,signal_exit,-102.29759999999952,-115.257600000003,12.960000000003475,1.44,14.400000000003475,99883.3024,0,TREND_12_STOP_CONTROL
2023-01-10 19:00:00+00:00,2023-01-12 15:00:00+00:00,637.0719999999966,0.6378163163335663,637.0719999999966,525,687,1,0.29,11169.269,11170.619,11282.109,11280.759,11006.306375,162,signal_exit,654.4720000000009,638.8119999999966,15.660000000004288,1.7399999999999998,17.400000000004287,100520.3744,0,TREND_12_STOP_CONTROL
2023-01-13 20:00:00+00:00,2023-01-16 10:00:00+00:00,-365.45520000000084,-0.3635633096090029,-365.45520000000084,796,845,1,0.33,11497.999,11499.349,11445.627,11444.277,11308.5199375,49,signal_exit,-345.655199999996,-363.4752000000008,17.820000000004825,1.98,19.800000000004825,100154.91919999999,0,TREND_12_STOP_CONTROL
2023-01-17 19:00:00+00:00,2023-01-18 18:00:00+00:00,-1024.3280000000107,-1.0227435738373707,-1024.3280000000107,957,1042,1,0.38,11577.419,11578.769,11445.639,11444.288999999999,11476.84446875,85,catastrophe_stop,-1001.528000000005,-1022.0480000000107,20.520000000005666,2.2800000000000002,22.800000000005667,99130.59119999998,0,TREND_12_STOP_CONTROL
2023-01-20 18:00:00+00:00,2023-01-25 04:00:00+00:00,2720.5667999999982,2.7444270906355683,2720.5667999999982,1216,1427,1,0.47000000000000003,11471.587,11472.937,11764.009,11762.659,11338.8175,211,signal_exit,2748.766800000005,2723.386799999998,25.38000000000693,2.8200000000000003,28.20000000000693,101851.15799999998,0,TREND_12_STOP_CONTROL
2023-01-26 00:00:00+00:00,2023-01-30 09:00:00+00:00,1377.5100000000054,1.3524735771781855,1377.5100000000054,1500,1714,1,0.37,11847.229,11848.579,12036.379,12035.029,11686.111375,214,signal_exit,1399.710000000011,1379.7300000000052,19.980000000005703,2.2199999999999998,22.2000000000057,103228.66799999999,0,TREND_12_STOP_CONTROL
2023-02-01 07:00:00+00:00,2023-02-01 15:00:00+00:00,292.8239999999835,0.2836653864408901,292.8239999999835,1884,1916,1,0.42,12057.699,12059.049,12095.559,12094.208999999999,11935.936500000002,32,signal_exit,318.02399999998966,295.3439999999835,22.680000000006146,2.52,25.200000000006145,103521.49199999998,0,TREND_12_STOP_CONTROL
2023-02-01 20:00:00+00:00,2023-02-06 01:00:00+00:00,1644.3759999999932,1.5884392392644355,1644.3759999999932,1936,2127,1,0.34,12288.579,12289.929,12533.399,12532.048999999999,12136.9254375,191,signal_exit,1664.7759999999982,1646.4159999999931,18.36000000000513,2.04,20.40000000000513,105165.86799999997,0,TREND_12_STOP_CONTROL
2023-02-07 21:00:00+00:00,2023-02-08 15:00:00+00:00,-275.81160000000403,-0.2622634180131563,-275.81160000000403,2296,2361,1,0.19,12725.379,12726.729000000001,12655.797,12654.447,12519.4340625,65,signal_exit,-264.4116000000013,-274.67160000000405,10.260000000002776,1.1400000000000001,11.400000000002777,104890.05639999996,0,TREND_12_STOP_CONTROL
2023-02-09 11:00:00+00:00,2023-02-09 17:00:00+00:00,-706.6695999999998,-0.6737241109920884,-706.6695999999998,2434,2458,1,0.26,12672.497,12673.847,12539.599,12538.249,12542.576187499999,24,catastrophe_stop,-691.0695999999961,-705.1095999999999,14.040000000003829,1.56,15.60000000000383,104183.38679999996,0,TREND_12_STOP_CONTROL
