threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,folds,mean_score,median_score,mean_pf,min_pf,mean_return,min_return,worst_dd,mean_dsr,total_trades,robust_score
0.6,0.3,2.0,2.5,True,4,-3.6209644031590003,-3.7254116341192507,0.9150964978328224,0.6329130070532,-1.728110462248197,-15.244558241376648,-21.636738636418052,0.01099544463909342,458,-4.033602205882004
0.6,0.35,2.0,2.5,True,4,-3.6209644031590003,-3.7254116341192507,0.9150964978328224,0.6329130070532,-1.728110462248197,-15.244558241376648,-21.636738636418052,0.01099544463909342,458,-4.033602205882004
0.6,0.3,2.5,2.0,True,4,-3.716132725134278,-3.7263951497853407,0.8635127834729872,0.5497582739354259,-3.4937269331100467,-17.7906347868633,-22.403565938518604,0.008685634213069879,425,-4.152281376893847
0.6,0.35,2.5,2.0,True,4,-3.716132725134278,-3.7263951497853407,0.8635127834729872,0.5497582739354259,-3.4937269331100467,-17.7906347868633,-22.403565938518604,0.008685634213069879,425,-4.152281376893847
0.6,0.3,3.0,1.5,True,4,-5.12364298416654,-6.647739916357287,0.8497944788941945,0.6208800849520777,-3.119206072898254,-13.160770313177961,-16.82785606675195,0.009245759640863778,433,-6.7617001842916045
0.6,0.35,3.0,1.5,True,4,-5.12364298416654,-6.647739916357287,0.8497944788941945,0.6208800849520777,-3.119206072898254,-13.160770313177961,-16.82785606675195,0.009245759640863778,433,-6.7617001842916045
0.6,0.35,3.0,2.5,True,4,-5.33850684781981,-6.856521711833089,0.8371711510962527,0.6207311118648545,-4.118650486832806,-14.626215044208912,-16.8666359315858,0.008218429714057042,328,-7.00072607804416
0.6,0.3,3.0,2.5,True,4,-5.33850684781981,-6.856521711833089,0.8371711510962527,0.6207311118648545,-4.118650486832806,-14.626215044208912,-16.8666359315858,0.008218429714057042,328,-7.00072607804416
0.6,0.35,3.0,2.0,True,4,-5.292215125920325,-6.782489067066097,0.8387234074000828,0.5954751558928278,-3.883872112018383,-15.162413151597177,-18.431365485099267,0.008021405221421566,368,-7.008936660215528
0.6,0.3,3.0,2.0,True,4,-5.292215125920325,-6.782489067066097,0.8387234074000828,0.5954751558928278,-3.883872112018383,-15.162413151597177,-18.431365485099267,0.008021405221421566,368,-7.008936660215528
0.6,0.3,2.5,1.5,True,4,-5.238747757344716,-6.784654358272351,0.8275170912996355,0.5544734769392697,-5.8775453656539325,-16.728490047350842,-20.415712340490128,0.003983734767574834,495,-7.141224049703156
0.6,0.35,2.5,1.5,True,4,-5.238747757344716,-6.784654358272351,0.8275170912996355,0.5544734769392697,-5.8775453656539325,-16.728490047350842,-20.415712340490128,0.003983734767574834,495,-7.141224049703156
0.6,0.3,2.5,2.5,True,4,-5.430964851918201,-7.0667433269958755,0.856203009868529,0.5546184711447327,-5.773823676415341,-18.119499791869952,-21.226503018219166,0.005898941344510378,383,-7.447161524612494
0.6,0.35,2.5,2.5,True,4,-5.430964851918201,-7.0667433269958755,0.856203009868529,0.5546184711447327,-5.773823676415341,-18.119499791869952,-21.226503018219166,0.005898941344510378,383,-7.447161524612494
0.6,0.3,2.0,2.0,True,4,-6.930749990904064,-7.045258342354682,0.8237699572577748,0.5513636527390426,-8.139805270386777,-18.625074373023555,-24.598986954292563,0.0025683171129260805,507,-7.635120159428845
0.6,0.35,2.0,2.0,True,4,-6.930749990904064,-7.045258342354682,0.8237699572577748,0.5513636527390426,-8.139805270386777,-18.625074373023555,-24.598986954292563,0.0025683171129260805,507,-7.635120159428845
0.6,0.3,2.0,1.5,True,4,-6.982380612901137,-7.0497975372011075,0.7914554794081915,0.6418423735350851,-10.73222494569197,-17.79130625870443,-26.784189604039444,0.0008540748451717235,572,-7.774610525736761
0.6,0.35,2.0,1.5,True,4,-6.982380612901137,-7.0497975372011075,0.7914554794081915,0.6418423735350851,-10.73222494569197,-17.79130625870443,-26.784189604039444,0.0008540748451717235,572,-7.774610525736761
