threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score,rank_source
0.65,0.35,2.5,2.5,True,10000.0,15354.297745582295,5354.297745582295,53.54297745582295,153,222,45.09803921568628,54.90196078431373,1.5316337777634617,34.99541010184511,223.56087277356025,-119.89764852134947,1.8645976424946489,1103.5554463508831,-154.38529612583807,5,7,-1748.6333555152596,-13.857288578754742,6147,2.7826445385993255,0.017890473919149812,33.28667035078984,0.6562853711490941,0.4023462006547678,81,3.0619899412845037,24.118458313433788,140.66484988534415,3.776183634328402,IS_VALIDATION
0.65,0.3,2.5,2.5,True,10000.0,15354.297745582295,5354.297745582295,53.54297745582295,153,222,45.09803921568628,54.90196078431373,1.5316337777634617,34.99541010184511,223.56087277356025,-119.89764852134947,1.8645976424946489,1103.5554463508831,-154.38529612583807,5,7,-1748.6333555152596,-13.857288578754742,6147,2.7826445385993255,0.017890473919149812,33.28667035078984,0.6562853711490941,0.4023462006547678,81,3.0619899412845037,24.118458313433788,140.66484988534415,3.776183634328402,IS_VALIDATION
0.65,0.4,2.5,2.5,True,10000.0,15354.297745582295,5354.297745582295,53.54297745582295,153,222,45.09803921568628,54.90196078431373,1.5316337777634617,34.99541010184511,223.56087277356025,-119.89764852134947,1.8645976424946489,1103.5554463508831,-154.38529612583807,5,7,-1748.6333555152596,-13.857288578754742,6147,2.7826445385993255,0.017890473919149812,33.28667035078984,0.6562853711490941,0.4023462006547678,81,3.0619899412845037,24.118458313433788,140.66484988534415,3.776183634328402,IS_VALIDATION
0.65,0.4,3.0,2.5,True,10000.0,14011.060841691038,4011.060841691038,40.11060841691039,133,193,45.11278195488722,54.88721804511278,1.4666632417561496,30.15835219316566,210.10423829459458,-117.74237610937863,1.7844402774699821,936.8424019609064,-138.9474666729575,5,7,-1237.528169389152,-8.96577179182053,4875,2.505508033625001,0.016108678456052967,23.94215505828381,0.5106336804241716,0.02665784103494833,81,3.241187506601091,20.782698661611573,130.2600511986011,3.5552938461560895,IS_VALIDATION
0.65,0.3,3.0,2.5,True,10000.0,14011.060841691038,4011.060841691038,40.11060841691039,133,193,45.11278195488722,54.88721804511278,1.4666632417561496,30.15835219316566,210.10423829459458,-117.74237610937863,1.7844402774699821,936.8424019609064,-138.9474666729575,5,7,-1237.528169389152,-8.96577179182053,4875,2.505508033625001,0.016108678456052967,23.94215505828381,0.5106336804241716,0.02665784103494833,81,3.241187506601091,20.782698661611573,130.2600511986011,3.5552938461560895,IS_VALIDATION
0.65,0.35,3.0,2.5,True,10000.0,14011.060841691038,4011.060841691038,40.11060841691039,133,193,45.11278195488722,54.88721804511278,1.4666632417561496,30.15835219316566,210.10423829459458,-117.74237610937863,1.7844402774699821,936.8424019609064,-138.9474666729575,5,7,-1237.528169389152,-8.96577179182053,4875,2.505508033625001,0.016108678456052967,23.94215505828381,0.5106336804241716,0.02665784103494833,81,3.241187506601091,20.782698661611573,130.2600511986011,3.5552938461560895,IS_VALIDATION
0.65,0.3,3.0,2.0,True,10000.0,12803.888963807498,2803.888963807498,28.03888963807497,149,223,48.99328859060403,51.006711409395976,1.3174542636513107,18.057662715510787,152.96051183778206,-111.52007394140767,1.3715962196917757,321.1564242090019,-134.43891055655516,5,7,-946.3620338127184,-9.463620338127186,6040,2.1619162502361164,0.013899621656204873,11.65429776799996,0.2959505543182587,-0.5360831157405345,81,2.9628079568145242,12.573493111244334,97.99905971012923,2.8326205820910646,IS_VALIDATION
0.65,0.4,3.0,2.0,True,10000.0,12803.888963807498,2803.888963807498,28.03888963807497,149,223,48.99328859060403,51.006711409395976,1.3174542636513107,18.057662715510787,152.96051183778206,-111.52007394140767,1.3715962196917757,321.1564242090019,-134.43891055655516,5,7,-946.3620338127184,-9.463620338127186,6040,2.1619162502361164,0.013899621656204873,11.65429776799996,0.2959505543182587,-0.5360831157405345,81,2.9628079568145242,12.573493111244334,97.99905971012923,2.8326205820910646,IS_VALIDATION
0.65,0.35,3.0,2.0,True,10000.0,12803.888963807498,2803.888963807498,28.03888963807497,149,223,48.99328859060403,51.006711409395976,1.3174542636513107,18.057662715510787,152.96051183778206,-111.52007394140767,1.3715962196917757,321.1564242090019,-134.43891055655516,5,7,-946.3620338127184,-9.463620338127186,6040,2.1619162502361164,0.013899621656204873,11.65429776799996,0.2959505543182587,-0.5360831157405345,81,2.9628079568145242,12.573493111244334,97.99905971012923,2.8326205820910646,IS_VALIDATION
0.7,0.3,2.5,2.0,True,10000.0,11934.529212231515,1934.529212231515,19.34529212231515,87,132,51.724137931034484,48.275862068965516,1.4071130292224459,22.235967956684114,148.58561325183953,-113.13865200241096,1.3133054939409496,277.10168855286236,-121.06545981465615,5,5,-826.7555941255941,-6.867179545077053,7585,2.019228470034542,0.012982238219381638,11.966761154140743,0.2580818750795407,-0.6492701902454772,81,2.3399045933006857,14.655524335087255,96.2641141177022,2.5963801726004476,IS_VALIDATION
