side,time_block,net_h1,net_h2,net_h4,net_h8,net_h16,events,eligible_block,monotonic_positive
LONG,0,-0.00012727895815338542,-2.9819672006800223e-05,0.0001558577892175202,0.00041477758445056945,0.0007775688256729483,838,True,True
LONG,1,-0.00017586822382557776,-0.0001990670151469282,-0.00011511820814953964,0.00017601611822063332,0.0004067213466586273,991,True,False
LONG,2,-0.0001497102379515049,-0.0001751230486507228,-0.00020228054042642054,-0.0002801423491821548,-0.00041775718955449275,1567,True,False
LONG,3,-8.616655217577368e-05,-7.016161233648887e-05,-3.385775694932582e-05,0.00013603086445660922,0.00039028645656937855,1863,True,True
SHORT,0,-0.00028470182889242973,-0.00029019533789236365,-0.0004208862533261085,-0.0006047534998913128,-0.0008048855458250702,1166,True,False
SHORT,1,-0.0003111876982516693,-0.0004216944086807201,-0.0006121368987690295,-0.0009057880829275918,-0.0010682070204684714,872,True,False
SHORT,2,-0.00023413196587790684,-0.0003705587248033536,-0.0006169354869712989,-0.0009889838355552844,-0.0011343671105970544,1428,True,False
SHORT,3,-0.00015958097122685397,-0.00020103236298440048,-0.0002944588545599397,-0.00045529274221549966,-0.0007446252319808848,1883,True,False
