Date,Close,High,Low,Open,Volume,Spread,SwapLong,SwapShort
2016-06-03,1132.0,1169.0,1127.25,1142.0,188388,1.698,0.0,0.0
2016-06-06,1138.25,1162.0,1136.0,1143.25,131250,1.707375,0.0,0.0
2016-06-07,1141.25,1148.75,1129.0,1136.75,159669,1.711875,0.0,0.0
2016-06-08,1177.75,1189.25,1138.0,1140.25,194856,1.7666250000000001,0.0,0.0
2016-06-09,1176.0,1185.0,1166.25,1177.0,146291,1.764,0.0,0.0
2016-06-10,1178.25,1208.5,1168.75,1174.5,204412,1.7673750000000001,0.0,0.0
2016-06-13,1169.0,1198.75,1167.25,1191.75,150246,1.7535,0.0,0.0
2016-06-14,1169.5,1176.5,1152.75,1168.0,128076,1.75425,0.0,0.0
2016-06-15,1156.0,1178.0,1154.5,1171.25,103310,1.734,0.0,0.0
2016-06-16,1134.5,1160.0,1128.5,1155.5,104442,1.70175,0.0,0.0
2016-06-17,1159.5,1160.0,1132.5,1133.75,88085,1.73925,0.0,0.0
2016-06-20,1143.5,1156.75,1140.25,1153.5,57507,1.71525,0.0,0.0
2016-06-21,1133.25,1151.75,1128.75,1145.0,96099,1.699875,0.0,0.0
2016-06-22,1137.5,1147.0,1126.0,1131.5,98340,1.70625,0.0,0.0
2016-06-23,1124.5,1143.0,1123.0,1139.0,83315,1.68675,0.0,0.0
2016-06-24,1103.0,1132.0,1099.25,1124.75,87656,1.6545,0.0,0.0
2016-06-27,1133.0,1138.5,1103.0,1104.25,52415,1.6995,0.0,0.0
2016-06-28,1150.5,1165.5,1128.25,1130.5,48614,1.7257500000000001,0.0,0.0
2016-06-29,1144.5,1155.75,1140.0,1148.25,33419,1.71675,0.0,0.0
2016-06-30,1175.0,1182.0,1122.0,1145.0,17579,1.7625,0.0,0.0
2016-07-01,1168.75,1176.5,1164.75,1175.0,6745,1.753125,0.0,0.0
2016-07-05,1117.0,1150.25,1110.0,1150.25,2887,1.6755,0.0,0.0
2016-07-06,1106.25,1117.75,1070.0,1115.0,3075,1.659375,0.0,0.0
2016-07-07,1054.25,1111.75,1054.25,1111.25,1133,1.581375,0.0,0.0
2016-07-08,1089.75,1090.75,1053.5,1054.0,1670,1.634625,0.0,0.0
2016-07-11,1082.75,1105.0,1081.75,1105.0,1344,1.624125,0.0,0.0
2016-07-12,1107.25,1107.25,1080.0,1080.0,757,1.660875,0.0,0.0
2016-07-13,1128.0,1140.0,1112.25,1112.25,404,1.692,0.0,0.0
2016-07-14,1111.5,1143.5,1111.5,1133.5,38236,1.6672500000000001,0.0,0.0
2016-07-15,1072.5,1097.5,1057.0,1083.0,32322,1.6087500000000001,0.0,0.0
2016-07-18,1078.25,1082.25,1050.25,1062.0,50729,1.617375,0.0,0.0
2016-07-19,1044.0,1079.0,1041.0,1076.5,45502,1.566,0.0,0.0
2016-07-20,1027.0,1056.25,1025.0,1047.0,32485,1.5405,0.0,0.0
2016-07-21,1032.5,1042.5,1023.75,1026.0,26545,1.54875,0.0,0.0
2016-07-22,1006.5,1037.0,985.0,1034.25,52620,1.50975,0.0,0.0
2016-07-25,983.75,1010.5,981.75,998.25,40930,1.475625,0.0,0.0
2016-07-26,993.5,1002.75,980.5,984.0,40125,1.49025,0.0,0.0
2016-07-27,1010.5,1015.5,991.25,994.0,45394,1.51575,0.0,0.0
2016-07-28,1003.5,1022.0,998.0,1012.5,33849,1.50525,0.0,0.0
2016-07-29,1032.5,1034.25,996.25,1005.25,12802,1.54875,0.0,0.0
2016-08-01,996.0,1030.75,992.0,1024.5,4443,1.494,0.0,0.0
2016-08-02,985.25,998.5,976.0,994.25,5283,1.477875,0.0,0.0
2016-08-03,990.5,1000.5,985.75,987.0,4121,1.4857500000000001,0.0,0.0
2016-08-04,990.5,1000.25,985.25,990.0,1591,1.4857500000000001,0.0,0.0
2016-08-05,1003.75,1012.0,990.5,990.5,1775,1.505625,0.0,0.0
2016-08-08,1018.75,1018.75,1006.25,1012.5,1472,1.528125,0.0,0.0
2016-08-09,1022.0,1032.0,1011.5,1018.0,865,1.5330000000000001,0.0,0.0
2016-08-10,1017.0,1030.5,1008.0,1027.0,1843,1.5255,0.0,0.0
2016-08-11,1022.25,1028.0,1017.5,1022.25,1327,1.533375,0.0,0.0
2016-08-12,1003.25,1023.5,994.5,1023.5,18362,1.504875,0.0,0.0
2016-08-15,1023.75,1026.5,997.0,998.5,14535,1.535625,0.0,0.0
2016-08-16,1019.5,1028.5,1012.25,1022.25,14832,1.52925,0.0,0.0
2016-08-17,1030.5,1031.0,1016.0,1020.75,12925,1.54575,0.0,0.0
2016-08-18,1032.25,1037.0,1012.0,1037.0,13690,1.548375,0.0,0.0
2016-08-19,1027.0,1035.0,1017.0,1032.5,11596,1.5405,0.0,0.0
2016-08-22,1035.25,1041.25,1023.0,1025.5,9720,1.552875,0.0,0.0
2016-08-23,1034.25,1036.75,1026.5,1030.5,8486,1.551375,0.0,0.0
2016-08-24,1030.75,1036.0,1022.0,1033.5,13884,1.546125,0.0,0.0
2016-08-25,998.25,1029.75,997.0,1029.75,27147,1.4973750000000001,0.0,0.0
2016-08-26,990.75,1002.25,982.5,996.5,17878,1.4861250000000001,0.0,0.0
2016-08-29,983.25,998.25,981.5,991.75,13450,1.474875,0.0,0.0
2016-08-30,965.5,986.0,960.5,984.0,11672,1.44825,0.0,0.0
2016-08-31,960.0,970.5,956.0,966.5,3145,1.44,0.0,0.0
2016-09-01,959.0,965.0,954.0,960.25,809,1.4385000000000001,0.0,0.0
2016-09-02,968.5,971.0,960.0,960.0,639,1.45275,0.0,0.0
2016-09-06,974.25,978.0,965.5,969.0,1159,1.461375,0.0,0.0
2016-09-07,991.75,993.5,980.5,980.5,900,1.487625,0.0,0.0
2016-09-08,992.0,999.25,987.75,994.5,592,1.488,0.0,0.0
2016-09-09,997.25,999.75,988.5,989.5,942,1.495875,0.0,0.0
2016-09-12,984.5,1006.75,980.0,990.25,385,1.47675,0.0,0.0
2016-09-13,968.25,982.5,968.25,982.5,256,1.452375,0.0,0.0
2016-09-14,972.0,972.0,967.75,971.75,99458,1.458,0.0,0.0
2016-09-15,950.5,953.0,941.25,943.0,76306,1.42575,0.0,0.0
2016-09-16,966.0,969.0,945.75,949.0,102819,1.449,0.0,0.0
2016-09-19,972.5,981.25,966.25,970.5,96833,1.45875,0.0,0.0
2016-09-20,989.75,994.0,970.75,973.5,116064,1.484625,0.0,0.0
2016-09-21,975.5,990.25,971.5,988.25,104727,1.46325,0.0,0.0
2016-09-22,976.5,983.5,970.25,975.0,90697,1.46475,0.0,0.0
2016-09-23,955.0,976.25,952.5,975.0,138512,1.4325,0.0,0.0
2016-09-26,945.25,960.25,943.75,951.5,114173,1.417875,0.0,0.0
2016-09-27,952.5,953.5,934.0,946.75,153261,1.42875,0.0,0.0
2016-09-28,945.5,955.75,944.5,951.75,114901,1.41825,0.0,0.0
2016-09-29,950.25,957.25,946.0,947.0,101651,1.425375,0.0,0.0
2016-09-30,954.0,958.5,943.0,950.0,155973,1.431,0.0,0.0
2016-10-03,973.0,975.0,946.5,952.5,139848,1.4595,0.0,0.0
2016-10-04,963.5,972.0,960.25,970.75,123524,1.44525,0.0,0.0
2016-10-05,956.75,967.5,950.5,963.5,139606,1.435125,0.0,0.0
2016-10-06,958.5,959.75,947.25,956.0,114537,1.43775,0.0,0.0
2016-10-07,956.75,973.25,955.25,958.75,173884,1.435125,0.0,0.0
2016-10-11,954.25,960.75,951.5,953.5,147788,1.431375,0.0,0.0
2016-10-12,945.5,971.25,943.25,953.0,233145,1.41825,0.0,0.0
2016-10-13,956.25,959.5,937.25,946.0,178127,1.434375,0.0,0.0
