entry_time,exit_time,entry_i,exit_i,side,units,entry_reference,entry_price,exit_reference,exit_price,target_reference,stop_reference,bars_held,exit_reason,commission_cost,net_pnl,return_pct,cash_after,pnl,fold_id,candidate_id
2023-01-03 12:00:00+00:00,2023-01-03 12:00:00+00:00,52,52,1,0.2,10992.137,10994.037,10967.840625,10965.940625000001,11041.919,10967.840625,0,pullback_stop,1.2000000000000002,-113.58549999999669,-0.11358549999999669,99886.4145,-113.58549999999669,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-09 19:15:00+00:00,2023-01-09 19:30:00+00:00,437,438,1,0.18,11211.297,11213.197,11184.870875,11182.970875,11279.299,11184.870875,1,pullback_stop,1.08,-109.89404999999724,-0.11001901564901727,99776.52045000001,-109.89404999999724,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-12 13:45:00+00:00,2023-01-12 13:45:00+00:00,682,682,1,0.17,11336.259,11338.159,11424.759,11422.859,11424.759,11307.344812500001,0,pre_shock_recovery,1.02,286.96000000000254,0.287602733294156,100063.48045000002,286.96000000000254,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-23 08:45:00+00:00,2023-01-23 08:45:00+00:00,1268,1268,1,0.41000000000000003,11612.527,11614.427,11600.590546875,11598.690546875001,11635.669,11600.590546875,0,pullback_stop,2.46,-131.498915624989,-0.1314154924789936,99931.98153437504,-131.498915624989,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-24 14:00:00+00:00,2023-01-24 14:30:00+00:00,1378,1380,1,0.22,11784.539,11786.439,11816.849,11814.949,11816.849,11762.5033515625,2,pre_shock_recovery,1.32,124.12400000000096,0.12420848470547363,100056.10553437503,124.12400000000096,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-29 23:15:00+00:00,2023-01-29 23:15:00+00:00,1675,1675,1,0.1,12189.169,12191.069,12139.251937500001,12137.351937500001,12228.697,12139.251937500001,0,pullback_stop,0.6000000000000001,-108.03412499999614,-0.10797354586510484,99948.07140937503,-108.03412499999614,0,MR_V4_01_TREND_PULLBACK_LONG
2023-03-09 19:45:00+00:00,2023-03-09 21:00:00+00:00,3894,3895,1,0.11,12095.239,12097.139,12051.193796875,12049.293796875001,12221.259,12051.193796875,1,pullback_stop,0.66,-105.91944687499577,-0.10597447792780586,99842.15196250004,-105.91944687499577,0,MR_V4_01_TREND_PULLBACK_LONG
2023-03-17 17:15:00+00:00,2023-03-20 01:00:00+00:00,4275,4291,1,0.06,12548.049,12549.949,12579.189,12577.289,12610.499,12467.092890625,16,time_stop,0.36,32.44800000000018,0.03249929950647238,99874.59996250004,32.44800000000018,0,MR_V4_01_TREND_PULLBACK_LONG
2023-03-22 19:30:00+00:00,2023-03-22 19:30:00+00:00,4478,4478,1,0.09,12818.789,12820.689,12765.421171875,12763.521171875,12886.559,12765.421171875,0,pullback_stop,0.54,-103.44209062500107,-0.10357196991411281,99771.15787187504,-103.44209062500107,0,MR_V4_01_TREND_PULLBACK_LONG
2023-04-03 00:30:00+00:00,2023-04-03 01:00:00+00:00,4935,4937,1,0.3,13127.059,13128.958999999999,13110.60175,13108.70175,13185.029,13110.60175,2,pullback_stop,1.7999999999999998,-123.3434999999925,-0.12362640930597277,99647.81437187505,-123.3434999999925,0,MR_V4_01_TREND_PULLBACK_LONG
2023-04-03 13:30:00+00:00,2023-04-03 15:00:00+00:00,4983,4985,1,0.27,13070.237,13072.136999999999,13096.689,13094.789,13096.689,13052.431203125,2,pre_shock_recovery,1.62,120.70080000001006,0.12112739327083233,99768.51517187506,120.70080000001006,0,MR_V4_01_TREND_PULLBACK_LONG
