entry_time,exit_time,entry_i,exit_i,side,units,entry_reference,entry_price,exit_reference,exit_price,target_reference,stop_reference,bars_held,exit_reason,commission_cost,net_pnl,return_pct,cash_after,pnl,fold_id,candidate_id
2023-01-03 12:00:00+00:00,2023-01-03 12:00:00+00:00,52,52,1,0.2,10992.137,10994.962000000001,10967.840625,10965.015625,11041.919,10967.840625,0,pullback_stop,1.8,-121.58550000000542,-0.12158550000000543,99878.4145,-121.58550000000542,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-09 19:15:00+00:00,2023-01-09 19:30:00+00:00,437,438,1,0.18,11211.297,11214.122000000001,11184.870875,11182.045875,11279.299,11184.870875,1,pullback_stop,1.6199999999999999,-117.09405000000508,-0.11723659269741922,99761.32045,-117.09405000000508,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-12 13:45:00+00:00,2023-01-12 13:45:00+00:00,682,682,1,0.17,11336.259,11339.084,11424.759,11421.934,11424.759,11307.344812500001,0,pre_shock_recovery,1.53,280.1599999999951,0.28083028445920605,100041.48044999999,280.1599999999951,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-23 08:45:00+00:00,2023-01-23 08:45:00+00:00,1268,1268,1,0.41000000000000003,11612.527,11615.352,11600.590546875,11597.765546875,11635.669,11600.590546875,0,pullback_stop,3.6900000000000004,-147.8989156250069,-0.14783759192660662,99893.58153437499,-147.8989156250069,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-24 14:00:00+00:00,2023-01-24 14:30:00+00:00,1378,1380,1,0.22,11784.539,11787.364000000001,11816.849,11814.024,11816.849,11762.5033515625,2,pre_shock_recovery,1.98,115.32399999999137,0.11544685677358213,100008.90553437498,115.32399999999137,0,MR_V4_01_TREND_PULLBACK_LONG
2023-01-29 23:15:00+00:00,2023-01-29 23:15:00+00:00,1675,1675,1,0.1,12189.169,12191.994,12139.251937500001,12136.4269375,12228.697,12139.251937500001,0,pullback_stop,0.9,-112.03412500000051,-0.11202414865093412,99896.87140937499,-112.03412500000051,0,MR_V4_01_TREND_PULLBACK_LONG
2023-03-09 19:45:00+00:00,2023-03-09 21:00:00+00:00,3894,3895,1,0.11,12095.239,12098.064,12051.193796875,12048.368796875,12221.259,12051.193796875,1,pullback_stop,0.99,-110.31944687500058,-0.11043333521719026,99786.55196249999,-110.31944687500058,0,MR_V4_01_TREND_PULLBACK_LONG
2023-03-17 17:15:00+00:00,2023-03-20 01:00:00+00:00,4275,4291,1,0.06,12548.049,12550.874000000002,12579.189,12576.364,12610.499,12467.092890625,16,time_stop,0.54,30.047999999997558,0.03011227405802103,99816.59996249998,30.047999999997558,0,MR_V4_01_TREND_PULLBACK_LONG
2023-03-22 19:30:00+00:00,2023-03-22 19:30:00+00:00,4478,4478,1,0.09,12818.789,12821.614000000001,12765.421171875,12762.596171874999,12886.559,12765.421171875,0,pullback_stop,0.8099999999999999,-107.042090625005,-0.10723876656309628,99709.55787187497,-107.042090625005,0,MR_V4_01_TREND_PULLBACK_LONG
2023-04-03 00:30:00+00:00,2023-04-03 01:00:00+00:00,4935,4937,1,0.3,13127.059,13129.884,13110.60175,13107.776749999999,13185.029,13110.60175,2,pullback_stop,2.6999999999999997,-135.34350000000558,-0.1357377395795091,99574.21437187496,-135.34350000000558,0,MR_V4_01_TREND_PULLBACK_LONG
2023-04-03 13:30:00+00:00,2023-04-03 15:00:00+00:00,4983,4985,1,0.27,13070.237,13073.062,13096.689,13093.864,13096.689,13052.431203125,2,pre_shock_recovery,2.43,109.90079999999827,0.1103707427603266,99684.11517187496,109.90079999999827,0,MR_V4_01_TREND_PULLBACK_LONG
2023-04-28 00:30:00+00:00,2023-04-28 04:30:00+00:00,6135,6151,1,0.19,13132.199,13135.024000000001,13125.279,13122.454,13196.839,13106.623921875,16,time_stop,1.71,-49.476000000005804,-0.049632782429476836,99634.63917187497,-49.476000000005804,0,MR_V4_01_TREND_PULLBACK_LONG
2023-05-01 10:00:00+00:00,2023-05-01 14:00:00+00:00,6238,6246,1,0.37,13234.579,13237.404,13221.466390625,13218.641390625,13259.809,13221.466390625,8,pullback_stop,3.33,-142.17330937500344,-0.14269465976561327,99492.46586249997,-142.17330937500344,0,MR_V4_01_TREND_PULLBACK_LONG
2023-05-25 15:30:00+00:00,2023-05-25 17:00:00+00:00,7410,7412,1,0.13,13846.589,13849.414,13914.649,13911.823999999999,13914.649,13810.551984375,2,pre_shock_recovery,1.17,161.0959999999949,0.16191778804902865,99653.56186249996,161.0959999999949,0,MR_V4_01_TREND_PULLBACK_LONG
2023-06-05 01:30:00+00:00,2023-06-05 05:30:00+00:00,7814,7830,1,0.12,14499.929,14502.754,14487.619,14484.794,14536.009,14459.614171875,16,time_stop,1.08,-44.18400000000227,-0.044337602363843744,99609.37786249997,-44.18400000000227,0,MR_V4_01_TREND_PULLBACK_LONG
2023-07-12 17:30:00+00:00,2023-07-12 19:00:00+00:00,433,435,1,0.09,15246.919,15249.744,15316.769,15313.944,15316.769,15191.979421875,2,pre_shock_recovery,0.8099999999999999,114.74999999999804,0.11474999999999803,100114.75,114.74999999999804,1,MR_V4_01_TREND_PULLBACK_LONG
