fold_id,shock_time,entry_time,session,shock_z,entry_price,net_price_h4,net_bps_h4,mfe_price_h4,mae_price_h4,net_price_h8,net_bps_h8,mfe_price_h8,mae_price_h8,net_price_h16,net_bps_h16,mfe_price_h16,mae_price_h16,net_price_h32,net_bps_h32,mfe_price_h32,mae_price_h32
0,2023-01-03 11:30:00+00:00,2023-01-03 11:45:00+00:00,EUROPE,-3.6513457991574,10988.049,27.599999999999635,25.11819887224714,33.32999999999993,-21.640000000001237,33.21999999999862,30.232846613624147,44.149999999999636,-21.640000000001237,-140.38000000000176,-127.75698397413568,107.8799999999992,-159.6800000000003,-152.69000000000125,-138.9600647030253,107.8799999999992,-223.67000000000007
0,2023-01-09 18:30:00+00:00,2023-01-09 18:45:00+00:00,US,-4.389202750310009,11210.567000000001,-19.338000000000466,-17.249796553555644,18.42199999999866,-28.178000000001703,-77.91800000000039,-69.50406701106232,18.42199999999866,-98.3080000000009,-140.99800000000215,-125.77240740811962,18.42199999999866,-146.4280000000017,-144.79800000000142,-129.1620664681826,18.42199999999866,-164.4280000000017
0,2023-01-12 13:15:00+00:00,2023-01-12 13:30:00+00:00,EUROPE,-9.236821187697062,11320.869,87.10999999999986,76.94638989286057,178.15999999999985,-105.5,69.01999999999971,60.9670512042845,178.15999999999985,-105.5,144.4699999999986,127.61387840456294,178.15999999999985,-105.5,124.15999999999913,109.67355951208262,181.28999999999905,-105.5
0,2023-01-23 08:15:00+00:00,2023-01-23 08:30:00+00:00,EUROPE,-2.448303223344811,11607.229000000001,-3.990000000002328,-3.4375129499058974,12.539999999999054,-17.220000000001164,-11.240000000002329,-9.683620440332769,15.869999999998981,-17.220000000001164,-1.010000000000946,-0.8701473883223514,15.869999999998981,-18.220000000001164,240.7199999999986,207.38799932352381,287.5899999999983,-18.220000000001164
0,2023-01-24 13:30:00+00:00,2023-01-24 13:45:00+00:00,EUROPE,-2.79919947312508,11780.839,45.5799999999992,38.68994389958067,57.95000000000073,-10.180000000000291,54.01999999999971,45.85411955803803,108.43000000000029,-10.180000000000291,49.60999999999986,42.110752892896556,108.43000000000029,-10.180000000000291,-1.4599999999998545,-1.2393005285955054,166.79999999999927,-10.180000000000291
0,2023-01-27 20:45:00+00:00,2023-01-27 21:00:00+00:00,US,-4.496193427171869,12168.039,-24.880000000001747,-20.447008757945095,26.26000000000022,-34.210000000000946,-18.68000000000102,-15.351693070675577,26.26000000000022,-34.210000000000946,-39.34000000000087,-32.33059986083285,26.26000000000022,-43.77000000000044,-68.4900000000005,-56.286801842104964,26.26000000000022,-71.48999999999978
0,2023-01-30 15:15:00+00:00,2023-01-30 15:30:00+00:00,US,-3.3899085962127313,12000.909,-1.259999999999127,-1.0499204685237817,10.19000000000051,-71.81999999999971,-6.759999999999127,-5.632906640654576,16.88000000000102,-71.81999999999971,-57.259999999999124,-47.71305240294642,16.88000000000102,-71.81999999999971,-62.34999999999927,-51.95439778770031,16.88000000000102,-93.77999999999884
0,2023-02-14 13:30:00+00:00,2023-02-14 13:45:00+00:00,EUROPE,-5.153453253098382,12480.059000000001,-24.49000000000233,-19.623304665468588,70.34799999999814,-131.72000000000116,-39.9200000000008,-31.987028266453546,150.34799999999814,-131.72000000000116,-13.170000000000801,-10.552834726182624,150.34799999999814,-131.72000000000116,81.51999999999789,65.32020401505945,150.34799999999814,-131.72000000000116
0,2023-03-09 19:00:00+00:00,2023-03-09 19:15:00+00:00,US,-6.638844768055971,12091.089,-110.12999999999992,-91.08360710933475,20.399999999999636,-111.28000000000065,-118.35000000000109,-97.88200219186304,20.399999999999636,-146.8799999999992,-138.40000000000038,-114.46446221676176,20.399999999999636,-158.52000000000044,-153.6000000000011,-127.03570373189801,20.399999999999636,-176.77000000000044
0,2023-03-17 15:00:00+00:00,2023-03-17 15:15:00+00:00,US,-5.278025509623678,12512.187,33.72199999999903,26.951323537603,35.711999999999534,-72.12800000000061,-4.348000000000684,-3.4750120022987856,51.8119999999999,-72.12800000000061,61.75999999999949,49.35987609520182,78.1299999999992,-72.12800000000061,22.37200000000048,17.88016755184404,83.97999999999956,-72.12800000000061
