entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance,signal_time,HMM_Prob_Bull,ML_Master_Strength,Vol_Projected_Sigma,Raw_Confidence,Raw_Vol_Ratio,Raw_Slope_Mag,Raw_Accel_Mag,month,quarter,hour,session,vol_regime,strength_regime
2024-05-06 04:00:00,2024-05-06 05:23:02.014,292,297,BUY,2323.055,2316.027537435464,SL,0.14,5,False,-98.38447590349917,-0.0098384475903499,9901.615524096502,2024-05-06 04:00:00,0.6466660622985841,0.49193177137735705,0.0011622340683628276,0.2933321245971683,0.8703079694125146,0.16306961250302693,0.009928687594469576,2024-05,2024Q2,4,ASIA_00_07,MID_VOL,MID_STRENGTH
2024-05-06 10:00:00,2024-05-06 10:39:06.752,316,318,BUY,2328.265,2320.5032560620584,SL,0.13,2,False,-100.90267119323882,-0.0100902671193238,9800.712852903263,2024-05-06 10:00:00,0.5961057144986551,0.47468859643435835,0.001346682170419879,0.19221142899731025,0.9635176355995235,0.10683298251713663,0.00012428861029738225,2024-05,2024Q2,10,LONDON_07_13,HIGH_VOL,LOW_STRENGTH
2024-05-09 10:30:00,2024-05-09 21:02:29.998,594,632,BUY,2335.265,2351.8960625806126,TP,0.12,38,True,159.65820077388452,0.0159658200773884,9960.371053677149,2024-05-09 10:30:00,0.6842469877029653,0.8973993832626501,0.0014264799079559385,0.36849397540593065,1.7470072373654228,0.0707954762736465,0.007904995746399496,2024-05,2024Q2,10,LONDON_07_13,HIGH_VOL,HIGH_STRENGTH
2024-05-09 21:45:00,2024-05-10 02:58:46.323,635,655,BUY,2350.735,2368.9554022227003,TP,0.11,20,True,148.1926047446291,0.0148192604744629,10108.56365842178,2024-05-09 21:45:00,0.5790484268857233,0.44323473219050824,0.0015662311262597671,0.15809685377144667,0.7847544057846351,0.27596594867826874,0.015043457266116,2024-05,2024Q2,21,LATE_20_24,HIGH_VOL,LOW_STRENGTH
2024-05-10 03:15:00,2024-05-10 08:22:02.443,657,677,BUY,2369.665,2369.665,SL,0.17,20,True,95.01094039839818,0.0095010940398398,10203.574598820178,2024-05-10 03:15:00,0.7972609828876198,0.4590463369378366,0.001002721166389577,0.5945219657752396,0.7391851343916503,0.22930856973233116,0.016139429820511586,2024-05,2024Q2,3,ASIA_00_07,MID_VOL,LOW_STRENGTH
2024-05-13 08:30:00,2024-05-13 09:49:39.057,770,775,BUY,2345.935,2341.096298586506,SL,0.21,5,False,-101.61272968337744,-0.0101612729683377,10101.9618691368,2024-05-13 08:30:00,0.6547101383601805,0.4914075046642994,0.0008268132615849355,0.3094202767203611,0.9221401987768014,0.18461410733167147,0.015787588649937706,2024-05,2024Q2,8,LONDON_07_13,LOW_VOL,MID_STRENGTH
2024-05-14 05:30:00,2024-05-14 06:36:05.809,850,854,BUY,2347.015,2342.671613126849,SL,0.23,4,False,-99.89789808245904,-0.0099897898082459,10002.063971054342,2024-05-14 05:30:00,0.6271022199589155,0.5200381311038522,0.0007396301471720675,0.2542044399178309,1.0199235852973192,0.04798159061817958,0.008507657406688227,2024-05,2024Q2,5,ASIA_00_07,LOW_VOL,MID_STRENGTH
2024-05-15 03:45:00,2024-05-15 04:38:07.877,935,938,BUY,2363.145,2370.079680133679,TP,0.29,3,True,156.26145901223475,0.0156261459012234,10158.325430066578,2024-05-15 03:45:00,0.6276593921945608,0.38297865852051177,0.0005869007118758167,0.2553187843891216,0.7964321356451926,0.044335449398324595,0.0015718483032028732,2024-05,2024Q2,3,ASIA_00_07,LOW_VOL,LOW_STRENGTH
2024-05-15 05:00:00,2024-05-15 05:36:28.063,940,942,BUY,2373.515,2369.843035246376,SL,0.28,2,False,-102.81501310147908,-0.0102815013101479,10055.5104169651,2024-05-15 05:00:00,0.7594744048325809,0.5253041211642356,0.0006113624183209306,0.5189488096651618,0.9647881216402493,0.08733465629219053,0.014596943738138746,2024-05,2024Q2,5,ASIA_00_07,LOW_VOL,MID_STRENGTH
2024-05-15 11:30:00,2024-05-16 05:26:59.170,966,1033,BUY,2384.405,2384.405,SL,0.11,67,True,94.72314820710534,0.0094723148207105,10150.233565172204,2024-05-15 11:30:00,0.6827680946716548,0.7923510445807445,0.0015553166352252634,0.36553618934330956,1.4082515118135417,0.029527409133125362,0.008241829710506292,2024-05,2024Q2,11,LONDON_07_13,HIGH_VOL,HIGH_STRENGTH
