segment,start_time,end_time,trades,return_pct_on_initial,win_rate_pct,profit_factor,expectancy,max_drawdown_pct,max_consecutive_wins,max_consecutive_losses,sharpe_trade,gross_profit,gross_loss,net_pnl
0,2024-05-24 00:30:00,2026-01-21 02:00:00.899,10,1.7169133919908746,50.0,1.280368013638833,17.169133919908745,-2.6819214390163353,3,2,0.3573796711460609,784.0698233590474,-612.37848415996,171.69133919908745
1,2024-06-20 01:15:00,2026-03-23 02:36:43.991,13,-1.1974081330278972,38.46153846153847,0.8782028404484661,-9.210831792522287,-2.980414174904955,2,3,-0.2199301302291589,863.3758188394063,-983.1166321421961,-119.74081330278972
2,2024-05-20 02:00:00,2026-05-15 05:50:14.223,18,12.352632621644196,66.66666666666666,2.682813791964001,68.6257367869122,-2.648650621912697,4,2,2.0172666595251467,1969.3095767734483,-734.0463146090287,1235.2632621644195
3,2024-05-10 03:15:00,2026-04-14 03:25:20.596,28,13.669322338266184,60.71428571428571,1.9754122689898153,48.819008350950654,-3.4045873087463354,5,3,1.7523763530442538,2768.3214487093464,-1401.3892148827285,1366.9322338266184
4,2024-05-06 04:00:00,2026-05-01 02:27:41.614,21,-5.475274327255951,33.33333333333333,0.6953777534011162,-26.072734891695003,-9.53594398586589,3,8,-0.7772123060580778,1249.870619579365,-1797.39805230496,-547.5274327255951
5,2024-05-14 05:30:00,2026-05-06 08:13:33.636,16,-5.4247527252495145,31.25,0.5691259397471927,-33.90470453280947,-5.1011844503001145,2,3,-1.0818090075741875,716.5359387943472,-1259.0112113192986,-542.4752725249515
6,2024-06-14 06:15:00,2025-07-11 11:19:47.529,10,1.455583651324878,50.0,1.255074891963562,14.555836513248781,-3.019131631749538,2,2,0.33369077741575487,716.2078869728466,-570.6495218403588,145.5583651324878
7,2024-06-28 07:00:00,2026-03-19 07:47:57.433,21,-1.4778943992259124,38.095238095238095,0.9019978718520819,-7.037592377266249,-5.998574827166983,2,4,-0.22159836859492557,1360.2333215783347,-1508.0227615009258,-147.78943992259124
8,2024-05-13 08:30:00,2026-05-06 09:54:22.668,24,-15.641252319508169,20.833333333333336,0.3293220177825789,-65.17188466461738,-15.244518918899926,2,7,-2.7082655834949834,768.0300995533523,-2332.1553315041697,-1564.1252319508171
9,2024-05-17 09:15:00,2026-04-19 18:00:04.595,48,12.079704967051413,52.083333333333336,1.4528795610707468,25.16605201469044,-4.07288779608133,6,4,1.2531923914364826,3875.281191515761,-2667.310694810619,1207.9704967051412
10,2024-05-06 10:00:00,2026-05-11 10:32:13.753,61,7.458723933427485,49.18032786885246,1.1940207767498228,12.22741628430735,-4.826949667489273,4,3,0.6675004087078076,4590.163741091054,-3844.291347748305,745.8723933427484
11,2024-05-15 11:30:00,2026-05-29 11:37:32.979,37,14.335955611521452,56.75675675675676,1.7431825048414833,38.74582597708501,-5.537204271154623,5,5,1.637908035324657,3362.5908642075146,-1928.9953030553693,1433.5955611521454
12,2024-06-10 12:45:00,2026-05-29 10:52:23.783,23,1.6691586737293471,43.47826086956522,1.1077281111371557,7.257211624910205,-4.233383033947948,2,3,0.23212988729519593,1716.3338011973103,-1549.4179338243757,166.9158673729347
13,2024-06-03 13:30:00,2026-04-29 04:06:14.418,14,-2.4772033234802193,35.714285714285715,0.7713144709161579,-17.69430945343014,-6.6134897979402805,2,5,-0.45434121469498595,835.5153815182505,-1083.2357138662724,-247.72033234802194
14,2024-06-11 14:45:00,2026-03-22 19:15:19.584,11,8.506759894841153,72.72727272727273,3.282260660700597,77.3341808621923,-1.3845812826407733,3,1,1.8957825926097025,1223.4099212966978,-372.73393181258234,850.6759894841153
15,2024-07-05 15:00:00,2026-03-18 19:01:20.746,7,0.016445914582237434,42.857142857142854,1.0033762117820941,0.23494163688910621,-1.440947717813555,2,2,0.0040240264428729735,488.75605376220267,-487.1114623039789,1.6445914582237435
16,2024-07-31 16:00:00,2026-01-08 20:04:43.621,13,-5.899962556325207,23.076923076923077,0.5116594340220677,-45.38432735634774,-8.298142407260785,2,8,-1.1370065344140117,618.1693090098853,-1208.165564642406,-589.9962556325206
18,2024-12-23 18:45:00,2026-03-01 19:21:28.879,12,-3.9622413228025892,33.33333333333333,0.6200754097856266,-33.018677690021576,-6.794654956606992,2,5,-0.7776224225816146,646.6779132459031,-1042.902045526162,-396.2241322802589
19,2024-10-23 19:30:00,2026-05-11 21:34:33.711,15,-11.285382487143222,20.0,0.3246651519092205,-75.23588324762149,-12.715126760174304,2,6,-2.180988829068126,542.5412933895416,-1671.0795421038638,-1128.5382487143222
20,2024-11-17 20:45:00,2026-03-31 21:06:18.743,18,-1.9675231480688136,38.88888888888889,0.8577721941989678,-10.930684155937854,-4.540058782946879,3,5,-0.3059484028997332,1186.608088587975,-1383.3604033948563,-196.75231480688137
21,2024-05-09 21:45:00,2026-05-20 22:20:59.985,29,8.44948430351728,55.172413793103445,1.5139858622237186,29.136152770749245,-4.796330208733549,4,4,1.0712355987616402,2488.8621883997143,-1643.9137580479864,844.9484303517281
22,2024-07-16 22:00:00,2026-01-02 08:33:12.089,17,7.624915167848469,58.82352941176471,1.9238731459011482,44.852442163814516,-3.000790936422988,4,2,1.2888684449917114,1587.8120926319896,-825.3205758471427,762.4915167848468
23,2024-07-30 23:45:00,2025-10-30 00:26:24.958,7,5.065634931497377,71.42857142857143,2.987399132590116,72.36621330710538,-1.3433386453436236,3,1,1.3540906436109108,761.4511424613027,-254.8876493115649,506.5634931497377
