timestamp_utc,date,estimated_total_cost,fills
2026-06-23T17:33:54.207002+00:00,2026-06-22,0,0
2026-06-23T18:12:34.316616+00:00,2026-06-22,0,0
2026-06-23T18:21:09.196983+00:00,2026-06-22,0,0
2026-06-24T23:30:23.402338+00:00,2026-06-24,0,0
