timestamp_utc,date,ticker,weight,source
2026-06-23T17:33:54.187978+00:00,2026-06-22,SPY,0.001528967267330737,initial_shadow_position
2026-06-23T17:33:54.187978+00:00,2026-06-22,VTI,0.0015107881256553784,initial_shadow_position
2026-06-23T17:33:54.188979+00:00,2026-06-22,QQQ,0.0008313908062220896,initial_shadow_position
2026-06-23T17:33:54.189979+00:00,2026-06-22,IWM,0.0009041772127237684,initial_shadow_position
2026-06-23T17:33:54.189979+00:00,2026-06-22,EFA,0.0014187072427404696,initial_shadow_position
2026-06-23T17:33:54.190977+00:00,2026-06-22,IEFA,0.0014279864752396742,initial_shadow_position
2026-06-23T17:33:54.190977+00:00,2026-06-22,VGK,0.0027548658396046415,initial_shadow_position
2026-06-23T17:33:54.190977+00:00,2026-06-22,EWJ,0.0011548056303715161,initial_shadow_position
2026-06-23T17:33:54.192481+00:00,2026-06-22,EEM,0.00134508052832857,initial_shadow_position
2026-06-23T17:33:54.192481+00:00,2026-06-22,VWO,0.0018481834610950848,initial_shadow_position
2026-06-23T17:33:54.192481+00:00,2026-06-22,FXI,0.0013911625898621318,initial_shadow_position
2026-06-23T17:33:54.193487+00:00,2026-06-22,XLF,0.003271122545765286,initial_shadow_position
2026-06-23T17:33:54.193487+00:00,2026-06-22,XLK,0.000552904787930719,initial_shadow_position
2026-06-23T17:33:54.194495+00:00,2026-06-22,XLE,0.0052616069797278295,initial_shadow_position
2026-06-23T17:33:54.194495+00:00,2026-06-22,XLV,0.004244765568922952,initial_shadow_position
2026-06-23T17:33:54.195491+00:00,2026-06-22,XLI,0.002385630560568135,initial_shadow_position
2026-06-23T17:33:54.195491+00:00,2026-06-22,XLY,0.0008755979727662921,initial_shadow_position
2026-06-23T17:33:54.195491+00:00,2026-06-22,XLP,0.01501100301950427,initial_shadow_position
2026-06-23T17:33:54.196493+00:00,2026-06-22,XLU,0.010286263054588877,initial_shadow_position
2026-06-23T17:33:54.196493+00:00,2026-06-22,XLB,0.0017665493725836847,initial_shadow_position
2026-06-23T17:33:54.196493+00:00,2026-06-22,XLRE,0.0047436062721603976,initial_shadow_position
2026-06-23T17:33:54.197492+00:00,2026-06-22,USMV,0.008153526347053838,initial_shadow_position
2026-06-23T17:33:54.197492+00:00,2026-06-22,MTUM,0.0014415985030535247,initial_shadow_position
2026-06-23T17:33:54.197492+00:00,2026-06-22,VLUE,0.00172066079100446,initial_shadow_position
2026-06-23T17:33:54.198493+00:00,2026-06-22,QUAL,0.0035061467226930342,initial_shadow_position
2026-06-23T17:33:54.198493+00:00,2026-06-22,AGG,0.016427532165531177,initial_shadow_position
2026-06-23T17:33:54.198493+00:00,2026-06-22,BND,0.024783366867346328,initial_shadow_position
2026-06-23T17:33:54.199491+00:00,2026-06-22,TLT,0.0024043265055315056,initial_shadow_position
2026-06-23T17:33:54.199491+00:00,2026-06-22,IEF,0.009998194766180798,initial_shadow_position
2026-06-23T17:33:54.200493+00:00,2026-06-22,SHY,0.15,initial_shadow_position
2026-06-23T17:33:54.200493+00:00,2026-06-22,TIP,0.050043266092811886,initial_shadow_position
2026-06-23T17:33:54.201492+00:00,2026-06-22,LQD,0.008929332673913767,initial_shadow_position
2026-06-23T17:33:54.201492+00:00,2026-06-22,HYG,0.039417450402849774,initial_shadow_position
2026-06-23T17:33:54.201492+00:00,2026-06-22,EMB,0.01526149439139359,initial_shadow_position
2026-06-23T17:33:54.202492+00:00,2026-06-22,BNDX,0.07621867533177362,initial_shadow_position
2026-06-23T17:33:54.202996+00:00,2026-06-22,BIL,0.35292962640108677,initial_shadow_position
2026-06-23T17:33:54.202996+00:00,2026-06-22,SGOV,0.15,initial_shadow_position
2026-06-23T17:33:54.202996+00:00,2026-06-22,GLD,0.002758642565325601,initial_shadow_position
2026-06-23T17:33:54.204003+00:00,2026-06-22,IAU,0.0027898195154494212,initial_shadow_position
2026-06-23T17:33:54.204003+00:00,2026-06-22,SLV,0.0013373680800915057,initial_shadow_position
2026-06-23T17:33:54.205001+00:00,2026-06-22,DBC,0.0054920543745197135,initial_shadow_position
2026-06-23T17:33:54.205001+00:00,2026-06-22,USO,0.001149032491189118,initial_shadow_position
2026-06-23T17:33:54.206001+00:00,2026-06-22,VNQ,0.004423357945920909,initial_shadow_position
2026-06-23T17:33:54.206001+00:00,2026-06-22,VNQI,0.0037832409184873324,initial_shadow_position
2026-06-23T17:33:54.206001+00:00,2026-06-22,RWX,0.002516120833099852,initial_shadow_position
