threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,folds,mean_score,median_score,mean_pf,min_pf,mean_return,min_return,worst_dd,mean_dsr,total_trades,robust_score
0.6,0.35,2.0,2.5,True,4,-2.258060314399526,-4.120063405066925,1.2075556304924666,1.0220311654620866,102.47000023328167,37.66424619825401,-96.26694142883709,0.28904942967492075,1265,-7.0601629543588516
0.6,0.3,2.0,2.5,True,4,-2.2984868901460467,-4.265708604648979,1.2053105541569025,1.0189764323281147,101.14949336126281,48.2722535814502,-96.45588458176192,0.2994402931361473,1292,-7.1010294506295235
0.6,0.3,2.0,2.0,True,4,-2.597078107108281,-2.381037704662174,1.180175316964549,1.0045718587689587,109.61924602163558,10.143394126886962,-169.77513302422008,0.18368469399858817,1505,-9.40450040364117
0.6,0.35,2.0,2.0,True,4,-2.5446676628960865,-2.2024796340973953,1.1830125391690438,1.007160517061554,113.42467068006846,15.84360585048632,-187.77204102127024,0.30007370862974775,1483,-9.949559378857254
0.6,0.3,2.5,2.5,True,4,-7.529309414263234,-5.001764053615831,1.1164582289445482,0.9400049611379288,41.15038408674515,-102.29432671209942,-156.35177488502714,0.13583036309519203,938,-12.590007472948441
0.6,0.35,2.5,2.0,True,4,-6.057205081287822,-4.640646023891849,1.1253533961199353,0.9583243211926227,52.58268641439486,-88.15741563830744,-169.20826547658038,0.1158032495156214,1120,-12.741476808468384
0.6,0.3,2.5,2.0,True,4,-6.490506291455804,-5.391449031521353,1.1156097397782312,0.9509602353139013,39.93359722969883,-91.03327837634716,-173.57810891760067,0.10959310845634762,1142,-13.75548441293028
0.6,0.3,2.0,1.5,True,4,-6.123659017563639,-4.623799765708187,1.1180664551457233,0.9685654871087254,45.85430946591346,-73.33343663962606,-194.4411618135133,0.155820982239321,1780,-13.80530478539507
0.6,0.35,2.0,1.5,True,4,-6.246392626199446,-5.033149100878246,1.1166856227176192,0.9792298343061328,44.84198571557595,-45.20844715673101,-199.67451643618594,0.13370512031417106,1736,-14.218568651223064
0.6,0.3,3.0,2.5,True,4,-8.895978603743071,-5.594247065749651,1.0357265960299875,0.9000211771239317,5.653229454154374,-175.35396833323375,-175.82969050259177,0.06931337328077725,752,-15.034231304900814
0.6,0.35,2.5,2.5,True,4,-8.426428976849103,-5.2451338294574175,1.1040185486924308,0.9048974691925451,19.596425723325677,-167.49949020846762,-198.0775919377364,0.12205193759037045,921,-15.597937842146113
0.6,0.35,2.5,1.5,True,4,-6.751991124112233,-3.3288799283877664,1.0876403065497104,0.93535381064603,41.00124345812107,-144.2161777337653,-244.94697788556806,0.10532250821483316,1384,-15.825427785239278
0.6,0.3,2.5,1.5,True,4,-6.959689893887563,-3.4471172430628405,1.0826306367862237,0.9210686596492978,27.18565430430103,-191.5469342879058,-242.62413397895833,0.18256230597188808,1395,-16.228600342131703
0.6,0.35,3.0,2.0,True,4,-9.632758416052653,-6.2416678624515445,1.0497570611072247,0.8966804356389627,-12.852530636800285,-218.83303439019235,-190.86266219334178,0.08848589482745067,887,-16.83488836008588
0.6,0.35,3.0,2.5,True,4,-9.604608864904725,-5.594247065749651,1.030352307906511,0.8810393971759877,-4.103541277075259,-208.87823338261936,-224.68876368628727,0.07089626591938504,736,-17.816219010064312
0.6,0.35,3.0,1.5,True,4,-9.526334742629073,-5.918452801126686,1.0518303544444274,0.9255194749086535,3.094002507937013,-164.86415452742312,-228.53930440037428,0.06464176144550841,1137,-17.877587450529695
0.6,0.3,3.0,2.0,True,4,-9.943085687343885,-6.010640670314375,1.0482510508121528,0.8766034440538618,-16.70147270622149,-254.31155087142054,-212.17436244021374,0.06940811985654063,901,-18.044815130370573
0.6,0.3,3.0,1.5,True,4,-9.874746208381797,-6.004412473736915,1.0485237719510285,0.9156837005099377,-7.349811177921389,-200.9593461630062,-240.12912530697844,0.06450972282744774,1148,-18.907428705937424
