z_entry_long,z_entry_short,mr_sl_atr_mult,median_dsr_probability,median_return_pct,worst_drawdown_pct,median_profit_factor,min_fold_trades,robust_score
3.0,3.25,3.5,0.04621189358235729,6.014521839155574,-14.860044289513693,1.2262112390710906,36,0.2582681295974352
2.75,3.25,3.5,0.04748884249003213,5.208239590135777,-24.127473803424518,1.2303821686439063,53,0.2093160380181736
3.0,2.5,3.5,0.032592598602446954,2.8129017301780523,-14.774874100403048,1.0946491279100745,90,0.08149637331228675
3.0,3.25,3.0,0.024845013779529947,2.6676300880703163,-17.415890093227425,1.1023017735801706,36,0.06674363777426653
3.0,3.0,3.5,0.02304056703858412,2.6339449957542005,-16.931226082925996,1.083169664470725,43,0.04789355105222108
2.75,3.25,2.5,0.02900062412052828,2.509801119399413,-20.679047410481882,1.0726050481385991,56,0.02330844640071214
2.75,3.0,3.5,0.023858711266803813,2.023292582314812,-24.818484583941952,1.0733995568788237,60,-0.00660122895093411
2.75,2.5,2.5,0.02382965824844479,2.597898547285915,-24.13908809395147,1.0568166621673867,106,-0.014070134581066734
3.0,2.75,3.5,0.017684389102638105,1.3555145891013587,-17.981822170884012,1.03100046865065,63,-0.027669107210118393
2.5,3.25,3.5,0.01968790977522849,1.7104267060644829,-24.065547810396794,1.0514721916362584,60,-0.03206337057985226
3.0,3.25,2.5,0.013190472878418506,-0.12128941367982593,-15.602071019983052,0.9944517145770873,37,-0.07158106178120777
2.5,2.5,2.5,0.02250781733026907,1.7430322985964197,-29.210021294320477,1.0288154165877819,114,-0.07729654956758725
2.5,3.25,3.0,0.021129124544770065,-0.4503891530934556,-21.861441714016923,1.0099683753140734,61,-0.08271360024217576
2.75,3.25,3.0,0.02017352243635214,-0.3744716951934679,-20.003977582399244,0.9985268165882295,53,-0.08506426583934926
2.25,3.25,3.0,0.01643590778823914,0.562871928377251,-24.299571062470164,1.0127298093038033,86,-0.08670341893653588
3.0,2.5,2.5,0.012736688998372693,-0.4681725528864422,-18.370863907626816,0.9907247661708415,92,-0.09307458989778433
2.25,3.25,2.5,0.019712734693107258,0.6778818794538011,-28.039613312307747,1.00563542411478,91,-0.10807108895911345
2.75,2.5,3.5,0.011017794587255093,-1.1041179557303715,-16.807101524862897,0.9725365198097418,106,-0.11152237278462135
2.25,3.25,3.5,0.015652187997993776,0.012570343781692639,-26.993326319677717,1.0075875402158905,81,-0.11160119994668741
2.5,2.5,3.5,0.01357450621022568,-0.44935716947960835,-23.8963224038426,0.9920085956080142,111,-0.11839208189576915
2.75,2.75,3.5,0.013591665322365568,-0.32630046038480964,-25.319382286359026,0.9949903025195961,80,-0.12127794819368158
2.5,2.75,3.5,0.013376952289331816,-0.4591946480956177,-26.75851425150414,0.9927675769324105,87,-0.1322399885167346
2.5,3.0,3.5,0.011601014848990236,-1.12337490245365,-24.403764287041145,0.976235240363057,67,-0.14541631524769502
3.0,2.75,2.5,0.009661173906321523,-1.4493671354691207,-20.390431132912813,0.9609525378051522,66,-0.1458321153077815
3.0,2.5,3.0,0.029494842921471674,-2.865177787870515,-26.40576800630237,0.9759492666750578,91,-0.15523650831368757
2.25,3.0,3.5,0.012221008329998121,-1.6067321559870842,-27.23661524036798,0.9744718238521488,88,-0.1655575655795638
3.0,3.0,2.5,0.007910607344026512,-2.198404930805048,-17.92171292026067,0.9313893516714938,46,-0.1722926548938335
2.75,3.0,2.5,0.012450569976197284,-1.313689909009835,-23.356411226766113,0.9449925588166811,65,-0.17247582643105053
3.0,2.75,3.0,0.011807461606672958,-2.2300694284587417,-21.529530964501028,0.941328036160253,63,-0.17681285134016664
2.25,2.5,3.0,0.012917464859973693,-2.8793193680191234,-26.950496259860685,0.958343674525026,135,-0.19228453559449496
2.25,2.75,3.5,0.008210941746490504,-3.439459479540502,-27.155144064620856,0.9349868735098348,107,-0.226972499862184
2.25,2.5,3.5,0.0077662379332034005,-4.477181999686303,-24.348178672627235,0.9303514319048616,130,-0.22839504352193424
2.25,2.5,2.5,0.015375266791187718,-2.7969906968508313,-32.591637079007036,0.9459211875109972,141,-0.22963163806135858
2.75,2.75,2.5,0.010772774201607107,-2.8155133333118973,-25.56741774115453,0.9143404834875216,85,-0.2308789643497629
2.25,3.0,2.5,0.00945782110657953,-2.3963739340754686,-31.98142315606571,0.9395362698115778,98,-0.23487676420292591
2.75,2.5,3.0,0.006988716682880147,-4.253195160258278,-22.050181342148935,0.9066748652270209,108,-0.2391192764034264
3.0,3.0,3.0,0.008340912407965882,-4.0719556931305245,-20.651932452574286,0.8807751647666515,43,-0.2548631420195593
2.5,2.75,2.5,0.01562203515717251,-3.124951442671714,-30.546365956555583,0.9097691177866484,93,-0.2585901912656742
2.25,2.75,2.5,0.009482746473517484,-3.7645312454649584,-33.0613065008114,0.9183833308916924,118,-0.2750857675934967
2.25,3.0,3.0,0.006096891100017148,-5.313528867599043,-27.008148779010444,0.9059338753790114,93,-0.2761452660920141
2.5,3.25,2.5,0.0050279415784491195,-4.037118788030291,-25.685734440054713,0.881038854498038,64,-0.2827330640040894
2.5,2.5,3.0,0.004264808184720642,-5.9793725048917885,-24.82685265728301,0.8764048354928807,114,-0.30325834465773155
2.5,3.0,3.0,0.004766149210086211,-7.106003018424278,-25.13206513000069,0.8587243748048664,68,-0.3332298318192936
2.25,2.75,3.0,0.0042719283125768545,-7.8595112942368095,-27.424608533276817,0.8751266275570175,111,-0.3363195997391578
2.75,3.0,3.0,0.003820730368179112,-6.428176360019544,-24.45158314387029,0.8383788852337563,60,-0.3443400637176115
2.5,2.75,3.0,0.004571415595278122,-8.005166503307448,-26.244900617866136,0.8517065111864297,88,-0.35499824134069735
2.75,2.75,3.0,0.0027605738470542337,-7.953225508067935,-24.426805884340276,0.8119740599426304,80,-0.3869316507126961
2.5,3.0,2.5,0.002901258061666139,-7.202246882397373,-28.62014608174676,0.8057397044546284,73,-0.40648223671641304
