time,bar_i,type,side,pnl,balance
2024-05-07 09:30:00,394,partial,BUY,54.15291002770522,10054.152910027706
2024-05-07 11:15:00,401,final,BUY,81.30936504155892,10135.462275069265
2024-05-10 08:45:00,658,final,BUY,-91.85342139718313,10043.608853672082
2024-05-15 13:15:00,943,partial,BUY,53.00723933279136,10096.616093004874
2024-05-15 13:45:00,945,final,BUY,79.59085899918631,10176.20695200406
2024-05-16 10:45:00,1022,partial,BUY,53.64858681830941,10229.85553882237
2024-05-16 13:15:00,1032,final,BUY,-0.1599999999985448,10229.695538822372
2024-05-23 09:30:00,1462,final,BUY,-93.07951233876258,10136.616026483609
2024-05-23 10:45:00,1467,partial,SELL,60.148537218990384,10196.7645637026
2024-05-23 10:45:00,1467,final,SELL,90.30280582848849,10287.067369531089
2024-05-27 18:15:00,1655,final,BUY,-93.68545743070193,10193.381912100387
2024-06-03 10:30:00,2076,final,BUY,-106.19185575757335,10087.190056342813
2024-06-05 10:15:00,2253,partial,BUY,63.0842167110194,10150.274273053832
2024-06-05 10:15:00,2253,final,BUY,-0.1599999999985448,10150.114273053834
2024-06-05 13:00:00,2264,partial,BUY,42.207830694479924,10192.322103748314
2024-06-05 14:30:00,2270,final,BUY,63.3917460417228,10255.713849790038
2024-06-06 09:45:00,2340,final,BUY,-96.31866570641898,10159.395184083618
2024-06-12 15:30:00,2719,final,BUY,-68.85889146792994,10090.536292615689
2024-06-17 14:00:00,2980,partial,BUY,47.96634286473767,10138.502635480427
2024-06-17 14:00:00,2980,final,BUY,72.02951429710578,10210.532149777533
2024-06-17 16:00:00,2988,final,BUY,-105.33032583168561,10105.201823945847
2024-06-19 23:45:00,3177,partial,BUY,79.00125394052215,10184.203077886368
2024-06-19 23:45:00,3177,final,BUY,39.66062697026326,10223.86370485663
2024-06-20 01:15:00,3183,partial,BUY,78.44150454916162,10302.305209405793
2024-06-20 02:30:00,3188,final,BUY,-0.3199999999970896,10301.985209405795
2024-06-20 04:00:00,3194,final,BUY,-97.33141577774659,10204.65379362805
2024-06-28 09:00:00,3748,final,BUY,-109.30944165054301,10095.344351977506
2024-07-03 12:45:00,4030,final,BUY,-96.96412293539208,9998.380229042114
2024-07-08 11:15:00,4266,partial,BUY,47.35009662386568,10045.73032566598
2024-07-08 12:00:00,4269,final,BUY,-0.1599999999985448,10045.570325665982
2024-07-10 09:30:00,4437,final,BUY,-104.87357706068198,9940.6967486053
2024-07-15 11:15:00,4711,partial,BUY,49.99742969647691,9990.694178301777
2024-07-15 11:30:00,4712,final,BUY,-0.1599999999985448,9990.53417830178
2024-07-31 13:30:00,5772,final,BUY,-74.51297388364634,9916.021204418133
2024-07-31 15:15:00,5779,final,BUY,-84.73599379317471,9831.28521062496
2024-08-05 05:30:00,6006,final,BUY,-189.87053608954972,9641.41467453541
2024-08-08 16:00:00,6315,final,BUY,204.0321874474734,9845.446861982884
2024-08-13 12:15:00,6566,final,BUY,111.06208957453549,9956.50895155742
2024-08-13 21:30:00,6596,final,BUY,111.94075663121971,10068.44970818864
