fold_id,train_start,train_end,val_start,val_end,train_start_time,train_end_time,val_start_time,val_end_time,threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score,hmm_p_bull,hmm_p_bear,hmm_lambda,hmm_nu
0,0,33407,33528,49094,2020-01-01 18:15:00,2021-06-22 12:45:00,2021-06-23 22:30:00,2022-02-27 18:45:00,0.65,0.35,2.5,1.5,True,10000.0,9988.323930310164,-11.676069689836368,-0.1167606968983658,579,876,51.29533678756477,48.70466321243524,0.9986163582338214,-0.0703904485145185,99.04005201354414,-104.45266495642736,0.9481811886260528,140.34462340715095,-123.14182562354571,9,7,-2578.3925788391607,-22.80626625555101,10728,0.1463974591635554,0.0009412340989531,0.1418623682289719,0.0096895157273329,-2.338158422565135,81,-0.0045284297611084,-0.0465251937099388,75.47767210031131,-5.907864940615241,0.9029826183595472,0.75,0.0178699712643678,4.0988411094207695
1,0,48974,49095,64661,2020-01-01 18:15:00,2022-02-24 09:15:00,2022-02-27 19:00:00,2022-11-01 05:45:00,0.65,0.35,2.5,1.5,True,10000.0,9337.437599872444,-662.5624001275573,-6.625624001275576,187,281,50.26737967914438,49.73262032085562,0.9249059864755732,-3.543114439184988,86.81428778412882,-94.87210163264196,0.9150665610875351,121.71014986670974,-110.85219772900862,10,7,-2275.116586949569,-21.38761059509033,13222,-0.5398512939357687,-0.0034708692973191,-0.3094547436488928,0.0019310893242057,-2.8892044581716734,81,-0.2912212956154075,-2.357873310062608,68.71443653306324,-6.163107281494739,0.8348195066629079,0.75,0.0180908626850433,4.093767334391905
2,0,64541,64662,80228,2020-01-01 18:15:00,2022-10-30 22:00:00,2022-11-01 06:00:00,2023-08-22 15:15:00,0.65,0.35,2.5,1.5,True,10000.0,9959.75369427139,-40.246305728609514,-0.40246305728609544,44,66,50.0,50.0,0.9825305423844726,-0.9146887665594527,102.88924472639033,-104.71862225950926,0.9825305423844726,131.90285765281502,-111.04741161189813,6,7,-919.8488231176998,-8.456946922687145,9795,-0.028716318482048,-0.0001846260058482642,-0.008628833542450948,0.006595100037638986,-2.4785922408444687,81,-0.04375317412724436,-0.6097925110396347,77.05062525393411,-7.172515106575632,0.803179289976079,0.75,0.017926311549068822,4.11706888116856
3,0,80108,80229,95796,2020-01-01 18:15:00,2023-08-21 07:30:00,2023-08-22 15:30:00,2024-04-29 14:15:00,0.65,0.35,2.5,1.5,True,10000.0,10007.004761354512,7.004761354512084,0.07004761354512112,28,42,50.0,50.0,1.0049644723341549,0.25017004837542295,101.28448452808608,-100.78414443133525,1.0049644723341549,113.72888716546007,-105.89034898940153,4,3,-433.6199543868297,-4.289778737947985,9281,0.04885705646713248,0.0003141169784235679,0.010183891607924963,0.007837914998568977,-2.4163768017025142,81,0.016154149004552452,0.16678003225028132,74.45735906378681,-1.7517338577627,0.7809594167127899,0.75,0.01852476001448027,4.117945496911454
