segment,start_time,end_time,trades,return_pct_on_initial,win_rate_pct,profit_factor,expectancy,max_drawdown_pct,max_consecutive_wins,max_consecutive_losses,sharpe_trade,gross_profit,gross_loss,net_pnl
2024-05,2024-05-09 10:30:00,2024-05-30 01:49:31.076,14,5.724642433980091,57.14285714285714,1.933517104397419,40.890303099857796,-2.8894829344623134,4,3,1.1797839670079104,1185.6980456511897,-613.2338022531808,572.4642433980091
2024-06,2024-06-04 10:30:00,2024-06-28 07:03:02.030,17,1.401322889929839,47.05882352941176,1.1604251082131507,8.243075823116701,-3.384616298615966,3,3,0.290966780223784,1013.6382541988505,-873.5059652058667,140.13228899298392
2024-07,2024-07-03 10:30:00,2024-07-31 14:49:44.131,17,5.780297223569673,58.82352941176471,1.836611052931712,34.00174837393926,-2.9555512684066,5,4,1.1976608893793836,1268.9478262134662,-690.9181038564989,578.0297223569673
2024-08,2024-08-01 23:30:00,2024-09-02 04:42:51.449,14,4.102930803491094,57.14285714285714,1.6135061319513984,29.306648596364955,-4.119012189760047,5,4,0.8504601604624555,1079.0607730925826,-668.7676927434732,410.29308034910935
2024-09,2024-09-03 10:15:00,2024-09-29 18:04:08.895,19,0.8686724765252953,42.10526315789473,1.070645117722901,4.571960402764712,-4.128888357051306,3,4,0.141270909875432,1316.4957124709786,-1229.6284648184492,86.86724765252953
2024-10,2024-10-01 10:00:00,2024-11-01 09:37:36.025,16,1.829073174935124,50.0,1.2173093017966379,11.431707343344524,-3.050701068150069,3,3,0.37317264335193373,1024.598473745446,-841.6911562519335,182.90731749351238
2024-11,2024-11-06 09:00:00,2024-11-29 14:22:11.503,16,14.30313316866831,75.0,4.230581806815938,89.39458230417695,-1.0771971804831908,6,1,2.9462088392290404,1873.055027926161,-442.7417110593301,1430.3133168668312
2024-12,2024-12-01 20:00:00,2025-01-02 04:02:39.369,12,0.8230860993676682,50.0,1.1211529946857492,6.859050828063903,-3.438359374172977,3,3,0.18646956462214578,761.6860380413036,-679.3774281045366,82.30860993676683
2025-01,2025-01-07 08:45:00,2025-01-27 14:18:01.352,11,4.610762109666296,63.63636363636363,2.0359299384358125,41.9160191787845,-1.0787976526657523,3,1,1.1123082764443908,906.1605683729083,-445.08435740627874,461.07621096662956
2025-02,2025-02-03 10:00:00,2025-03-02 18:00:52.119,21,-6.151779375809398,33.33333333333333,0.6190350478091797,-29.294187503854275,-8.274618208720447,2,4,-1.0629594104691187,999.6108613445984,-1614.7887989255382,-615.1779375809398
2025-03,2025-03-03 10:45:00,2025-04-01 01:54:39.687,11,3.5506163597071208,54.54545454545454,1.6894993926868291,32.278330542792,-2.086755226327004,3,2,0.8172117984012247,870.0173266307344,-514.9556906600224,355.061635970712
2025-04,2025-04-02 20:45:00,2025-05-01 22:33:19.720,18,8.280899247462099,66.66666666666666,2.3979395180008116,46.00499581923388,-1.0208411634452135,5,2,1.8129981897517642,1420.4545543193535,-592.3646295731437,828.0899247462099
2025-05,2025-05-08 12:15:00,2025-05-30 12:57:33.178,13,5.598057717029065,61.53846153846154,2.110241722523703,43.06198243868512,-1.8037882678268065,3,2,1.2822004181399103,1064.0254928194986,-504.21972111659215,559.8057717029066
2025-06,2025-06-02 10:00:00,2025-06-27 13:50:34.527,16,-0.2401290119156873,43.75,0.9738985124674455,-1.5008063244730456,-4.401212353207918,3,4,-0.05028719793641422,895.9691941437767,-919.9820953353455,-24.01290119156873
2025-07,2025-07-07 10:15:00,2025-07-31 10:19:28.301,14,2.3880509829812135,50.0,1.3407290225450825,17.05750702129438,-3.8195721807301193,3,4,0.5183662337715277,939.6702506539779,-700.8651523558565,238.80509829812132
2025-08,2025-08-03 21:30:00,2025-09-01 21:40:23.290,8,0.46176046016256944,50.0,1.1163760100849969,5.772005752032118,-2.0900298803790447,2,2,0.14383522987045047,442.9592488647787,-396.7832028485218,46.17604601625695
2025-09,2025-09-02 11:00:00,2025-09-29 22:01:48.136,17,6.761740069529513,58.82352941176471,1.976139705218119,39.77494158546773,-2.926788637122309,5,3,1.3518905303271045,1368.8760897986235,-692.7020828456721,676.1740069529513
2025-10,2025-10-03 09:15:00,2025-10-31 11:14:58.733,14,6.136635708032296,64.28571428571429,2.2254437283814186,43.83311220023069,-1.158521833707146,4,1,1.4385869836695042,1114.432032537302,-500.7684617340724,613.6635708032296
2025-11,2025-11-04 10:00:00,2025-11-30 19:28:27.198,12,-0.31440653620629205,41.66666666666667,0.9547769463752775,-2.620054468385767,-2.7269530986375514,1,2,-0.07524476453502657,663.7944333669785,-695.2350869876077,-31.440653620629206
2025-12,2025-12-05 10:45:00,2025-12-30 09:42:03.687,16,-1.3745195297770993,37.5,0.8666442445763971,-8.590747061106871,-3.1372177159168473,2,3,-0.2708696130553769,893.2643632479785,-1030.7163162256884,-137.45195297770994
2026-01,2026-01-01 22:30:00,2026-01-22 13:55:24.629,11,1.1046204709188925,45.45454545454545,1.1782494094677094,10.04200428108084,-5.026099561394243,3,5,0.25333545501919197,730.1670291266258,-619.7049820347365,110.46204709188925
2026-02,2026-02-18 08:15:00,2026-03-01 18:00:15.012,6,4.457301895670923,66.66666666666666,2.728640222581576,74.28836492784872,-1.3295150739155164,2,1,1.1552198463809271,703.5803678427271,-257.8501782756348,445.73018956709234
2026-03,2026-03-05 11:45:00,2026-04-01 11:32:13.869,12,0.15737292178564474,41.66666666666667,1.018760106764962,1.3114410148803728,-3.5607873195911592,2,3,0.02987270285209602,854.607367692034,-838.8700755134696,15.737292178564473
2026-04,2026-04-01 12:00:00,2026-05-01 04:27:01.483,13,0.9532904423636116,46.15384615384615,1.1120504982903372,7.333003402797012,-3.5577810758719526,3,3,0.1808672332180634,946.0976324255132,-850.7685881891521,95.32904423636116
2026-05,2026-05-04 12:15:00,2026-05-29 11:41:51.693,22,-9.006686966362505,27.27272727272727,0.5480483251871279,-40.93948621073866,-9.190546765934586,2,5,-1.3625656126860184,1092.1742262474118,-1992.8429228836621,-900.6686966362505
