fold_id,test_start_i,test_end_i,test_start_time,test_end_time,train_count,test_count,purged_count,embargoed_count
0,0,24477,2021-01-03 19:00:00,2022-01-23 19:45:00,97796,24478,0,120
1,24478,48956,2022-01-23 20:00:00,2023-02-06 07:45:00,97675,24479,120,120
2,48957,73435,2023-02-06 08:00:00,2024-05-02 22:30:00,97675,24479,120,120
3,73436,97914,2024-05-02 22:45:00,2025-05-16 02:00:00,97675,24479,120,120
4,97915,122393,2025-05-16 02:15:00,2026-05-29 16:45:00,97795,24479,120,0
