threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,folds,mean_score,median_score,mean_pf,min_pf,mean_return,min_return,worst_dd,mean_dsr,total_trades,robust_score
0.6,0.35,3.0,2.5,True,4,-12.236529612420444,-13.614440540475206,0.6712702986660877,0.6062935715337457,-44.13033547233595,-60.32723643378601,-63.05244798979777,1.0229983789483805e-05,960,-16.699054775653078
0.6,0.3,3.0,2.5,True,4,-12.243823965806959,-13.623603900219996,0.6714278567449506,0.6176900241044038,-44.45839645865393,-61.57940515293333,-63.517062721225734,1.0229860481997887e-05,963,-16.743813001205183
0.6,0.3,3.0,2.0,True,4,-12.399299081698079,-13.635472301165512,0.6609979073971223,0.5812163654788843,-47.59800880152639,-71.00300703715543,-72.0140778260289,4.915069432971269e-06,1161,-17.28520344037196
0.6,0.35,3.0,2.0,True,4,-12.426818005271068,-13.709951538433295,0.6549566733255843,0.5858121920846259,-47.74604309028486,-69.62849851838462,-72.00499884818824,4.9150627806248315e-06,1148,-17.35152487763819
0.6,0.35,3.0,1.5,True,4,-12.845174625590229,-14.209439378750105,0.6120883104962934,0.5735654226348955,-54.72375380549245,-76.09231621585533,-76.4751437235048,1.4537262881668324e-07,1425,-18.182031271214978
0.6,0.3,3.0,1.5,True,4,-12.879544994885384,-14.23890515122995,0.6110302400262895,0.5676569061007226,-55.27360810180869,-77.31447086844416,-77.6771984315933,1.4537260670064513e-07,1450,-18.28487939609516
0.6,0.3,2.5,2.5,True,4,-14.278357087552374,-14.317298723341235,0.6296573416196602,0.5639416552058273,-57.05374033952932,-79.40084829447194,-80.05465271571619,1.034304290095919e-06,1265,-18.484381466147813
0.6,0.35,2.5,2.5,True,4,-14.28406030717136,-14.342588417176714,0.6250366507102055,0.5529562849336254,-57.089388870090595,-78.8402998852785,-79.74615291104101,1.0343042875929552e-06,1252,-18.493261376567055
0.6,0.3,2.5,2.0,True,4,-14.436841979164877,-14.41903229188835,0.6168618995358055,0.5613282647465984,-60.210405732904334,-81.63971384114149,-83.04271333683317,1.3292911672175819e-07,1481,-18.7707030646765
0.6,0.35,2.5,2.0,True,4,-14.432141427208146,-14.380049107706405,0.6158476964481086,0.5464674601498959,-60.12958306603482,-82.45082212500893,-83.65405328871876,1.3292911704522398e-07,1470,-18.771412164015207
0.6,0.3,2.5,1.5,True,4,-14.683639369926308,-14.7608990539328,0.5916124688077411,0.5438913038899456,-64.78436417968977,-88.81629645035173,-88.85729645035173,1.215754711093337e-08,1878,-19.500314359988618
0.6,0.35,2.5,1.5,True,4,-14.70079463166396,-14.802584796857394,0.5854594688858271,0.5207698662477184,-64.97715196946531,-88.25140584512967,-88.43012652411736,1.215754711093331e-08,1854,-19.521145700471184
0.6,0.35,2.0,2.5,True,4,-15.126145063262387,-15.116212880624094,0.5687900811092096,0.5345381132152467,-71.6759105066086,-90.66704837986957,-91.40371988988156,4.264275925164893e-10,1677,-20.02427927738123
0.6,0.3,2.0,2.5,True,4,-15.132433941403342,-15.138052068139945,0.5724488160720359,0.5555692306052384,-71.8442493017131,-90.71535488756066,-91.54571021125395,4.264275915632158e-10,1700,-20.050042311079785
0.6,0.35,2.0,2.0,True,4,-15.300212102661707,-15.364177484853448,0.5525278380410665,0.5098193354820445,-74.22247066892348,-94.00193715594062,-94.3129490828775,6.530221494326671e-11,1992,-20.46731647245036
0.6,0.3,2.0,2.0,True,4,-15.30589552398043,-15.359559341260429,0.5551623055381953,0.5106708875411227,-74.37095509680618,-94.58834103500202,-94.91402917801585,6.530221494326684e-11,2023,-20.495981904907744
0.6,0.35,2.0,1.5,True,4,-15.601530605322894,-15.806253311557219,0.48794048092790765,0.4612886961650454,-78.69149472758899,-97.37560161892893,-97.37560161892893,9.060513609577765e-13,2446,-21.16084892776414
0.6,0.3,2.0,1.5,True,4,-15.61351802058942,-15.828921378267111,0.4870731917116571,0.4554289031527336,-78.89316915688671,-97.57685567270404,-97.57685567270404,9.060513609577765e-13,2500,-21.19645952691679
