fold_id,train_start,train_end,val_start,val_end,train_start_time,train_end_time,val_start_time,val_end_time
0,0,34555,34676,50774,2020-01-01 18:30:00,2021-06-21 20:30:00,2021-06-23 03:45:00,2022-02-25 02:15:00
1,0,50654,50775,66874,2020-01-01 18:30:00,2022-02-23 19:15:00,2022-02-25 02:30:00,2022-10-31 12:30:00
2,0,66754,66875,82974,2020-01-01 18:30:00,2022-10-28 06:30:00,2022-10-31 12:45:00,2023-08-22 22:45:00
3,0,82854,82975,99074,2020-01-01 18:30:00,2023-08-21 14:45:00,2023-08-22 23:00:00,2024-04-29 15:45:00
