fold_id,test_start_i,test_end_i,test_start_time,test_end_time,train_count,test_count,purged_count,embargoed_count
0,0,28907,2020-01-01 18:15:00,2021-04-12 04:15:00,115514,28908,0,120
1,28908,57815,2021-04-12 04:30:00,2022-07-15 05:15:00,115394,28908,120,120
2,57816,86724,2022-07-15 05:30:00,2023-12-04 05:00:00,115393,28909,120,120
3,86725,115632,2023-12-04 05:15:00,2025-03-13 08:15:00,115394,28908,120,120
4,115633,144541,2025-03-13 08:30:00,2026-06-19 12:45:00,115513,28909,120,0
