threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score,rank_source
0.65,0.35,2.5,1.5,True,10000.0,15515.615442790058,5515.615442790058,55.15615442790058,66,66,45.45454545454545,54.54545454545454,1.3364031379975656,83.56993095136454,730.382186643555,-455.44028212546084,1.6036837655970788,1136.9472637007493,-816.2547344767881,3,4,-2342.267317158039,-19.031190264942126,3791,1.2810882175308163,0.008236508481748752,0.43923017989151214,0.12429208664411767,-1.1537951250349598,81,2.354818940769904,83.56993095136454,617.9477036236707,1.9267573318714764,IS_VALIDATION
0.65,0.3,2.5,1.5,True,10000.0,15515.615442790058,5515.615442790058,55.15615442790058,66,66,45.45454545454545,54.54545454545454,1.3364031379975656,83.56993095136454,730.382186643555,-455.44028212546084,1.6036837655970788,1136.9472637007493,-816.2547344767881,3,4,-2342.267317158039,-19.031190264942126,3791,1.2810882175308163,0.008236508481748752,0.43923017989151214,0.12429208664411767,-1.1537951250349598,81,2.354818940769904,83.56993095136454,617.9477036236707,1.9267573318714764,IS_VALIDATION
0.65,0.4,2.5,1.5,True,10000.0,15515.615442790058,5515.615442790058,55.15615442790058,66,66,45.45454545454545,54.54545454545454,1.3364031379975656,83.56993095136454,730.382186643555,-455.44028212546084,1.6036837655970788,1136.9472637007493,-816.2547344767881,3,4,-2342.267317158039,-19.031190264942126,3791,1.2810882175308163,0.008236508481748752,0.43923017989151214,0.12429208664411767,-1.1537951250349598,81,2.354818940769904,83.56993095136454,617.9477036236707,1.9267573318714764,IS_VALIDATION
0.65,0.35,2.0,1.5,True,10000.0,14384.697732657514,4384.697732657514,43.84697732657514,70,70,45.714285714285715,54.285714285714285,1.3124442358244952,62.63853903796449,575.5698342731205,-369.30360431795634,1.5585275300415882,908.5578109606287,-654.0037875814232,4,4,-2287.8229625950917,-16.50033238234762,3865,1.2477921612203078,0.00802243793886384,0.3449819714258341,0.11543061122794795,-1.1981433307659428,81,1.9165371640836775,62.63853903796449,492.3994312260518,1.8155891057193285,IS_VALIDATION
0.65,0.4,2.0,1.5,True,10000.0,14384.697732657514,4384.697732657514,43.84697732657514,70,70,45.714285714285715,54.285714285714285,1.3124442358244952,62.63853903796449,575.5698342731205,-369.30360431795634,1.5585275300415882,908.5578109606287,-654.0037875814232,4,4,-2287.8229625950917,-16.50033238234762,3865,1.2477921612203078,0.00802243793886384,0.3449819714258341,0.11543061122794795,-1.1981433307659428,81,1.9165371640836775,62.63853903796449,492.3994312260518,1.8155891057193285,IS_VALIDATION
0.65,0.3,2.0,1.5,True,10000.0,14384.697732657514,4384.697732657514,43.84697732657514,70,70,45.714285714285715,54.285714285714285,1.3124442358244952,62.63853903796449,575.5698342731205,-369.30360431795634,1.5585275300415882,908.5578109606287,-654.0037875814232,4,4,-2287.8229625950917,-16.50033238234762,3865,1.2477921612203078,0.00802243793886384,0.3449819714258341,0.11543061122794795,-1.1981433307659428,81,1.9165371640836775,62.63853903796449,492.3994312260518,1.8155891057193285,IS_VALIDATION
0.65,0.4,2.0,2.0,True,10000.0,15512.781724924353,5512.781724924353,55.12781724924351,64,64,39.0625,60.9375,1.3862212312389437,86.13721445194302,791.4567560941098,-365.99069685713823,2.162505120732752,1213.077081280826,-654.0037875814232,3,4,-2667.2855513255126,-18.893338581697954,3841,1.3644803990433805,0.008772662355416898,0.43434938209768087,0.14512838376819603,-1.057558507511869,81,2.06681347716399,86.13721445194302,591.4593682582268,1.8015571337314877,IS_VALIDATION
0.65,0.35,2.0,2.0,True,10000.0,15512.781724924353,5512.781724924353,55.12781724924351,64,64,39.0625,60.9375,1.3862212312389437,86.13721445194302,791.4567560941098,-365.99069685713823,2.162505120732752,1213.077081280826,-654.0037875814232,3,4,-2667.2855513255126,-18.893338581697954,3841,1.3644803990433805,0.008772662355416898,0.43434938209768087,0.14512838376819603,-1.057558507511869,81,2.06681347716399,86.13721445194302,591.4593682582268,1.8015571337314877,IS_VALIDATION
0.65,0.3,2.0,2.0,True,10000.0,15512.781724924353,5512.781724924353,55.12781724924351,64,64,39.0625,60.9375,1.3862212312389437,86.13721445194302,791.4567560941098,-365.99069685713823,2.162505120732752,1213.077081280826,-654.0037875814232,3,4,-2667.2855513255126,-18.893338581697954,3841,1.3644803990433805,0.008772662355416898,0.43434938209768087,0.14512838376819603,-1.057558507511869,81,2.06681347716399,86.13721445194302,591.4593682582268,1.8015571337314877,IS_VALIDATION
0.7,0.3,3.0,1.5,True,10000.0,14239.431816726228,4239.431816726228,42.39431816726229,10,10,70.0,30.0,3.396730848082929,423.9431816726228,858.3244512735525,-589.6131140628798,1.4557417920355409,1365.3367164409065,-758.5894185535655,3,1,-1502.6894185535639,-11.673993874789366,8879,1.9694234240445716,0.012662026325995453,0.2580056873513738,0.39216755912890355,-0.27367405454097765,81,2.821229566391009,423.9431816726228,740.6931222286603,1.6572553638023582,IS_VALIDATION
0.7,0.35,3.0,1.5,True,10000.0,14239.431816726228,4239.431816726228,42.39431816726229,10,10,70.0,30.0,3.396730848082929,423.9431816726228,858.3244512735525,-589.6131140628798,1.4557417920355409,1365.3367164409065,-758.5894185535655,3,1,-1502.6894185535639,-11.673993874789366,8879,1.9694234240445716,0.012662026325995453,0.2580056873513738,0.39216755912890355,-0.27367405454097765,81,2.821229566391009,423.9431816726228,740.6931222286603,1.6572553638023582,IS_VALIDATION
0.7,0.4,3.0,1.5,True,10000.0,14239.431816726228,4239.431816726228,42.39431816726229,10,10,70.0,30.0,3.396730848082929,423.9431816726228,858.3244512735525,-589.6131140628798,1.4557417920355409,1365.3367164409065,-758.5894185535655,3,1,-1502.6894185535639,-11.673993874789366,8879,1.9694234240445716,0.012662026325995453,0.2580056873513738,0.39216755912890355,-0.27367405454097765,81,2.821229566391009,423.9431816726228,740.6931222286603,1.6572553638023582,IS_VALIDATION
0.7,0.3,2.0,2.5,True,10000.0,12975.706098405135,2975.706098405135,29.757060984051353,9,9,55.55555555555556,44.44444444444444,2.810139405988761,330.6340109339039,923.923200622401,-410.9774761767176,2.248111524791009,1517.5963516010236,-507.39294570237695,3,3,-1366.5822479650524,-12.254451425302744,8879,1.6589939437026728,0.010666180128339356,0.20134750047058117,0.344734894901472,-0.3995747056944574,81,2.177480428152929,330.6340109339039,753.2947732051537,0.4719556134126752,IS_VALIDATION
0.7,0.35,2.0,2.5,True,10000.0,12975.706098405135,2975.706098405135,29.757060984051353,9,9,55.55555555555556,44.44444444444444,2.810139405988761,330.6340109339039,923.923200622401,-410.9774761767176,2.248111524791009,1517.5963516010236,-507.39294570237695,3,3,-1366.5822479650524,-12.254451425302744,8879,1.6589939437026728,0.010666180128339356,0.20134750047058117,0.344734894901472,-0.3995747056944574,81,2.177480428152929,330.6340109339039,753.2947732051537,0.4719556134126752,IS_VALIDATION
0.7,0.4,2.0,2.5,True,10000.0,12975.706098405135,2975.706098405135,29.757060984051353,9,9,55.55555555555556,44.44444444444444,2.810139405988761,330.6340109339039,923.923200622401,-410.9774761767176,2.248111524791009,1517.5963516010236,-507.39294570237695,3,3,-1366.5822479650524,-12.254451425302744,8879,1.6589939437026728,0.010666180128339356,0.20134750047058117,0.344734894901472,-0.3995747056944574,81,2.177480428152929,330.6340109339039,753.2947732051537,0.4719556134126752,IS_VALIDATION
0.65,0.35,3.0,1.5,True,10000.0,14701.696169995266,4701.696169995266,47.01696169995267,61,61,44.26229508196721,55.73770491803278,1.2487380327841933,77.07698639336502,874.2183955323742,-555.9470738052598,1.572484930172688,1365.3367164409065,-978.5056813721532,3,4,-3731.801673032387,-32.79208910882753,12021,1.0416410970323167,0.006697029613761453,0.3649983477511118,0.07895763916952958,-1.412117800398888,81,1.2598997969189403,77.07698639336502,745.2546359003774,0.44731627052130374,IS_VALIDATION
0.65,0.4,3.0,1.5,True,10000.0,14701.696169995266,4701.696169995266,47.01696169995267,61,61,44.26229508196721,55.73770491803278,1.2487380327841933,77.07698639336502,874.2183955323742,-555.9470738052598,1.572484930172688,1365.3367164409065,-978.5056813721532,3,4,-3731.801673032387,-32.79208910882753,12021,1.0416410970323167,0.006697029613761453,0.3649983477511118,0.07895763916952958,-1.412117800398888,81,1.2598997969189403,77.07698639336502,745.2546359003774,0.44731627052130374,IS_VALIDATION
0.65,0.3,3.0,1.5,True,10000.0,14701.696169995266,4701.696169995266,47.01696169995267,61,61,44.26229508196721,55.73770491803278,1.2487380327841933,77.07698639336502,874.2183955323742,-555.9470738052598,1.572484930172688,1365.3367164409065,-978.5056813721532,3,4,-3731.801673032387,-32.79208910882753,12021,1.0416410970323167,0.006697029613761453,0.3649983477511118,0.07895763916952958,-1.412117800398888,81,1.2598997969189403,77.07698639336502,745.2546359003774,0.44731627052130374,IS_VALIDATION
