threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score
0.6,0.3,2.5,1.5,True,10000.0,14522.961524350643,4522.961524350643,45.22961524350644,273,422,54.57875457875458,45.42124542124542,1.2967748101061747,16.567624631321053,132.63989056392649,-122.90630781995482,1.0791951439809775,313.79220392921064,-166.54925374951745,7,7,-1010.690154363625,-7.866972171952915,2312,3.3193270094880076,0.021340969882652168,7.133188819138261,0.4515629579486643,-0.12171350679439055,81,4.475121781708163,10.717918304148453,94.8215623072586,3.904543809644709
0.6,0.35,2.5,1.5,True,10000.0,14522.961524350643,4522.961524350643,45.22961524350644,273,422,54.57875457875458,45.42124542124542,1.2967748101061747,16.567624631321053,132.63989056392649,-122.90630781995482,1.0791951439809775,313.79220392921064,-166.54925374951745,7,7,-1010.690154363625,-7.866972171952915,2312,3.3193270094880076,0.021340969882652168,7.133188819138261,0.4515629579486643,-0.12171350679439055,81,4.475121781708163,10.717918304148453,94.8215623072586,3.904543809644709
0.6,0.4,2.5,1.5,True,10000.0,14509.614523915303,4509.614523915303,45.09614523915302,273,422,54.57875457875458,45.42124542124542,1.2954823452190884,16.5187345198363,132.69455843891308,-123.07963454421561,1.0781195356185702,313.79220392921064,-166.54925374951745,7,7,-1010.690154363625,-7.866972171952915,2312,3.310019535762596,0.02128112928367237,7.096673179000076,0.44881528538047977,-0.1286550927926666,81,4.461915953613652,10.68629034103154,94.91525742504187,3.89321223226929
0.6,0.4,2.5,2.0,True,10000.0,15431.699703177892,5431.699703177892,54.316997031778925,220,328,49.09090909090909,50.90909090909091,1.3484754083040482,24.689544105354127,194.61794892007762,-139.1699891088435,1.398418941944939,353.45933272979835,-174.76656821586948,5,9,-1681.078052916273,-10.038083876446352,2726,3.882592634446832,0.024962377084720412,9.857337832173592,0.6164970637958499,0.29629360091646634,81,3.2310812063456407,16.56006007066435,121.41129685371133,3.7806674798985966
0.6,0.4,2.0,2.5,True,10000.0,16888.684309877146,6888.684309877146,68.88684309877146,234,336,43.58974358974359,56.41025641025641,1.3439147767845852,29.43882183708189,263.9107031223124,-151.74399551968713,1.7391838287800512,461.44585878842054,-192.24322503745043,5,9,-2633.591158390471,-13.94924180295699,1990,4.001126473884349,0.025724467439265312,10.896642433078574,0.6722572760428754,0.446154775804932,81,2.6156999684367075,20.50203663653918,151.20241711223218,3.751434231637458
0.6,0.35,2.5,2.0,True,10000.0,15147.611460742828,5147.611460742828,51.47611460742829,222,329,48.1981981981982,51.80180180180181,1.3316540242304995,23.187439012355185,193.16485658659903,-134.96546255672388,1.431216941929976,353.45933272979835,-173.44180287410927,5,9,-1622.1917672809177,-9.901388654635362,1706,3.6951963222863196,0.02375754880401587,9.396243172033286,0.5635329640910176,0.15993272204523565,81,3.173244720241147,15.646235442987386,119.20741541429973,3.63928938636907
0.6,0.3,2.5,2.0,True,10000.0,15147.611460742828,5147.611460742828,51.47611460742829,222,329,48.1981981981982,51.80180180180181,1.3316540242304995,23.187439012355185,193.16485658659903,-134.96546255672388,1.431216941929976,353.45933272979835,-173.44180287410927,5,9,-1622.1917672809177,-9.901388654635362,1706,3.6951963222863196,0.02375754880401587,9.396243172033286,0.5635329640910176,0.15993272204523565,81,3.173244720241147,15.646235442987386,119.20741541429973,3.63928938636907
0.6,0.35,3.0,2.5,True,10000.0,14063.183819293412,4063.183819293412,40.631838192934126,150,217,44.666666666666664,55.333333333333336,1.3880543791392461,27.087892128622766,216.92297876334052,-126.15247901024583,1.719530051769514,362.8488250012483,-180.22160450557567,6,8,-1176.24792664706,-7.910040510659947,2272,3.3397449182939796,0.021472242871318083,4.531096751164105,0.4753204548456242,-0.06190195616747158,81,3.4543600266957952,18.724349397665506,124.70750338687458,3.5686359867606834
0.6,0.3,3.0,2.5,True,10000.0,14063.183819293412,4063.183819293412,40.631838192934126,150,217,44.666666666666664,55.333333333333336,1.3880543791392461,27.087892128622766,216.92297876334052,-126.15247901024583,1.719530051769514,362.8488250012483,-180.22160450557567,6,8,-1176.24792664706,-7.910040510659947,2272,3.3397449182939796,0.021472242871318083,4.531096751164105,0.4753204548456242,-0.06190195616747158,81,3.4543600266957952,18.724349397665506,124.70750338687458,3.5686359867606834
0.6,0.4,2.0,2.0,True,10000.0,15928.740754967746,5928.740754967746,59.287407549677475,270,397,47.03703703703704,52.96296296296297,1.2886414257618832,21.958299092473258,208.41653284439047,-143.63747493894977,1.4509899518421203,463.93355085782525,-185.57100558612092,7,7,-2156.4853410189717,-12.065658250009715,1583,3.567463965507588,0.0229363183644529,8.716757355048067,0.5415601585747953,0.10436501772980565,81,2.749260865444292,14.933855805964177,131.4514619686344,3.4955647082353414
0.6,0.3,2.0,2.5,True,10000.0,16067.500306092039,6067.500306092039,60.675003060920396,237,338,42.616033755274266,57.383966244725734,1.310503670523868,25.60126711431247,253.5478524271134,-143.68259403710587,1.764638605853921,429.43658894078953,-185.57100558612092,5,9,-2458.4917153231963,-13.739764980234648,1990,3.6358299536558967,0.02337586423923426,9.98873619640936,0.5647330088032713,0.16298025326012813,81,2.467976714452502,17.95118433755046,144.17081828654045,3.402937991394537
0.6,0.35,2.0,2.5,True,10000.0,16067.500306092039,6067.500306092039,60.675003060920396,237,338,42.616033755274266,57.383966244725734,1.310503670523868,25.60126711431247,253.5478524271134,-143.68259403710587,1.764638605853921,429.43658894078953,-185.57100558612092,5,9,-2458.4917153231963,-13.739764980234648,1990,3.6358299536558967,0.02337586423923426,9.98873619640936,0.5647330088032713,0.16298025326012813,81,2.467976714452502,17.95118433755046,144.17081828654045,3.402937991394537
0.6,0.4,3.0,2.5,True,10000.0,13743.317393811323,3743.317393811323,37.43317393811323,150,216,44.0,56.00000000000001,1.357209698183077,24.9554492920755,215.49461877076942,-124.75389815546971,1.7273577976875527,317.30644865631047,-180.22160450557567,6,8,-1129.5775619306387,-7.755261588759832,2299,3.138006892872798,0.02017520732393367,4.192632829513382,0.41592844800204254,-0.21232063756218314,81,3.3139091284828304,17.330173119496873,123.58193320353786,3.3714593563659814
0.6,0.35,2.0,2.0,True,10000.0,15644.401134795664,5644.401134795664,56.444011347956646,270,397,47.03703703703704,52.96296296296297,1.2791040347185234,20.905189388132236,203.68258762683558,-141.42159086582112,1.4402509997224318,415.47535085782494,-185.57100558612092,7,7,-2110.417292375354,-12.030303058663815,1583,3.4499865658593194,0.022181020184846093,8.251279384621299,0.5055522172348715,0.013917794019126848,81,2.674542686504752,14.217635100241068,128.75262860918156,3.3684142968426385
0.6,0.3,2.0,2.0,True,10000.0,15644.401134795664,5644.401134795664,56.444011347956646,270,397,47.03703703703704,52.96296296296297,1.2791040347185234,20.905189388132236,203.68258762683558,-141.42159086582112,1.4402509997224318,415.47535085782494,-185.57100558612092,7,7,-2110.417292375354,-12.030303058663815,1583,3.4499865658593194,0.022181020184846093,8.251279384621299,0.5055522172348715,0.013917794019126848,81,2.674542686504752,14.217635100241068,128.75262860918156,3.3684142968426385
0.6,0.4,3.0,1.5,True,10000.0,13423.358071669223,3423.358071669223,34.233580716692224,225,345,53.333333333333336,46.666666666666664,1.264060906143991,15.214924762974373,136.5636047544364,-123.46928094155366,1.106053292875992,284.55524765741575,-175.91640136175192,5,9,-1185.544795666974,-8.45839045965242,2792,2.910724012227702,0.01871393607924314,3.9842258670865363,0.3336890838899538,-0.4297490927690221,81,2.887582218893113,9.922777019331113,95.02342270780473,2.954739762594282
0.6,0.35,3.0,1.5,True,10000.0,13412.329614820948,3412.3296148209483,34.123296148209484,225,345,53.333333333333336,46.666666666666664,1.2632102255409814,15.16590939920426,136.47170094736745,-123.46928094155366,1.1053089473483588,284.55524765741575,-175.91640136175192,5,9,-1185.544795666974,-8.465051070982838,2792,2.901550727595521,0.01865495822303892,3.9692879091206836,0.3313596005255465,-0.43616199341644935,81,2.8782797809855936,9.890810477741907,95.00931169782639,2.945831629536362
0.6,0.3,3.0,1.5,True,10000.0,13412.329614820948,3412.3296148209483,34.123296148209484,225,345,53.333333333333336,46.666666666666664,1.2632102255409814,15.16590939920426,136.47170094736745,-123.46928094155366,1.1053089473483588,284.55524765741575,-175.91640136175192,5,9,-1185.544795666974,-8.465051070982838,2792,2.901550727595521,0.01865495822303892,3.9692879091206836,0.3313596005255465,-0.43616199341644935,81,2.8782797809855936,9.890810477741907,95.00931169782639,2.945831629536362
