time,magic,approved,reason,volume,executive_stop,disaster_stop,requested_risk_cash,authorized_risk_cash,existing_portfolio_risk_cash,throttle
2020-01-08 12:00:00+00:00,6002,True,APPROVED,0.05,8666.581250000001,8604.515000000001,250.0,248.26499999999942,0.0,1.0
2020-01-08 13:00:00+00:00,6001,True,APPROVED,0.04,8671.755625000002,8609.217500000002,250.00960000000003,200.12199999999868,248.26499999999942,1.0
2020-01-13 11:00:00+00:00,6001,True,APPROVED,0.11,8924.78875,8896.485,250.64256500000005,249.07300000000032,248.26499999999942,1.0
2020-01-15 13:00:00+00:00,6001,True,APPROVED,0.07,8930.251250000001,8888.955,250.92015,231.25900000000186,248.26499999999942,1.0
2020-01-16 09:00:00+00:00,6001,True,APPROVED,0.08,8980.235,8944.99,250.815425,225.56800000000223,0.0,1.0
2020-01-21 00:00:00+00:00,6001,True,APPROVED,0.13,9085.608124999999,9061.537499999999,251.078545,250.33450000000303,0.0,1.0
2020-01-21 18:00:00+00:00,6001,True,APPROVED,0.12,9104.09125,9078.605,250.849485,244.66800000000367,0.0,1.0
2020-01-21 18:00:00+00:00,6002,True,APPROVED,0.12,9104.09125,9078.605,250.83298499999998,244.66800000000367,244.66800000000367,1.0
2020-01-23 19:00:00+00:00,6001,True,APPROVED,0.08,9086.945000000002,9048.170000000002,250.90756499999998,248.15999999999767,244.66800000000367,1.0
2020-01-28 14:00:00+00:00,6001,True,APPROVED,0.05,8842.93125,8784.425,250.51062499999998,234.02500000000146,0.0,1.0
2020-01-29 05:00:00+00:00,6002,True,APPROVED,0.05,8974.04,8921.12,250.78962499999997,211.6800000000003,234.02500000000146,1.0
2020-01-31 01:00:00+00:00,6001,True,APPROVED,0.04,8995.818749999999,8920.265,250.5705,241.77200000000013,0.0,1.0
2020-01-31 01:00:00+00:00,6002,True,APPROVED,0.04,8995.818749999999,8920.265,250.565,241.77200000000013,241.77200000000013,1.0
2020-02-03 16:00:00+00:00,6001,True,APPROVED,0.04,8892.728125,8814.9775,250.04976000000002,248.80199999999897,0.0,1.0
2020-02-03 16:00:00+00:00,6002,True,APPROVED,0.04,8892.728125,8814.9775,250.04426000000004,248.80199999999897,248.80199999999897,1.0
2020-02-06 19:00:00+00:00,6001,True,APPROVED,0.04,9238.773125000002,9172.987500000001,251.20472,210.51399999999995,248.80199999999897,1.0
2020-02-10 17:00:00+00:00,6001,True,APPROVED,0.04,9274.9835625,9210.514749999998,251.12914000000004,206.30020000000223,0.0,1.0
2020-02-10 17:00:00+00:00,6002,True,APPROVED,0.04,9274.9835625,9210.514749999998,251.12364000000005,206.30020000000223,206.30020000000223,1.0
2020-02-12 11:00:00+00:00,6001,True,APPROVED,0.07,9444.713125000002,9403.487500000003,251.44266000000007,230.86349999999769,206.30020000000223,1.0
2020-02-13 17:00:00+00:00,6001,True,APPROVED,0.06,9460.021875,9410.712500000001,251.36005000000006,236.68499999999912,0.0,1.0
2020-02-13 17:00:00+00:00,6002,True,APPROVED,0.06,9460.021875,9410.712500000001,251.35180000000008,236.68499999999912,236.68499999999912,1.0
2020-02-17 01:00:00+00:00,6001,True,APPROVED,0.06,9498.768124999999,9449.0775,251.42806000000004,238.51500000000087,236.68499999999912,1.0
2020-02-19 03:00:00+00:00,6001,True,APPROVED,0.06,9518.670625,9473.6275,251.06167000000008,216.2070000000007,0.0,1.0
2020-02-19 03:00:00+00:00,6002,True,APPROVED,0.06,9518.670625,9473.6275,251.05342000000013,216.2070000000007,216.2070000000007,1.0
2020-03-02 04:00:00+00:00,6001,True,APPROVED,0.01,7712.891875000001,7447.382500000001,250.5628300000001,212.40749999999994,0.0,1.0
2020-03-03 00:00:00+00:00,6001,True,APPROVED,0.01,8047.133750000001,7776.3550000000005,250.5621550000001,216.6230000000002,0.0,1.0
2020-03-03 02:00:00+00:00,6002,True,APPROVED,0.01,8034.30875,7772.964999999999,250.5402150000001,209.0750000000002,216.6230000000002,1.0
2020-03-04 10:00:00+00:00,6001,True,APPROVED,0.01,8250.443124999998,8080.237499999997,250.31233000000012,136.1645000000004,0.0,1.0
2020-03-05 02:00:00+00:00,6002,True,APPROVED,0.01,8320.71125,8149.185000000001,250.34807000000012,137.22099999999992,136.1645000000004,1.0
2020-03-19 00:00:00+00:00,6001,False,BELOW_MINIMUM_SAFE_VOLUME,0.0,6194.73625,5799.065,250.25935000000013,0.0,0.0,1.0
2020-03-24 06:00:00+00:00,6001,True,APPROVED,0.01,6274.880625000001,5964.2075,250.25935000000013,248.53850000000003,0.0,1.0
2020-03-25 05:00:00+00:00,6002,True,APPROVED,0.01,6792.58875,6556.255,250.40532000000013,189.067,248.53850000000003,1.0
2020-03-26 15:00:00+00:00,6001,True,APPROVED,0.01,7004.40375,6775.095,250.34224500000016,183.44699999999995,0.0,1.0
2020-03-26 15:00:00+00:00,6002,True,APPROVED,0.01,7004.40375,6775.095,250.34087000000014,183.44699999999995,183.44699999999995,1.0
2020-03-30 08:00:00+00:00,6002,True,APPROVED,0.01,7089.365625,6913.2375,250.21631500000018,140.90249999999997,0.0,1.0
2020-03-30 14:00:00+00:00,6001,True,APPROVED,0.01,7180.241250000001,7008.575000000001,250.2536850000002,137.333,140.90249999999997,1.0
2020-04-03 01:00:00+00:00,6001,True,APPROVED,0.02,7187.983125000001,7047.997500000001,250.33739500000019,223.9769999999997,0.0,1.0
2020-04-06 01:00:00+00:00,6001,True,APPROVED,0.02,7214.1743750000005,7062.672500000001,250.2779450000002,242.40299999999988,0.0,1.0
2020-04-06 03:00:00+00:00,6002,True,APPROVED,0.02,7366.5231250000015,7220.187500000002,250.41204500000018,234.13699999999955,242.40299999999988,1.0
2020-04-08 15:00:00+00:00,6001,True,APPROVED,0.01,7602.815000000001,7442.370000000001,250.93558500000017,128.35599999999997,234.13699999999955,1.0
2020-04-13 13:00:00+00:00,6002,True,APPROVED,0.02,7836.236875000001,7711.282500000002,251.03710500000017,199.92699999999937,0.0,1.0
2020-04-13 14:00:00+00:00,6001,True,APPROVED,0.02,7840.918750000001,7716.475000000001,251.03750500000018,199.1099999999995,199.92699999999937,1.0
2020-04-16 08:00:00+00:00,6001,True,APPROVED,0.03,8384.165624999998,8282.747499999998,251.83577500000018,243.40350000000143,199.92699999999937,1.0
2020-04-22 19:00:00+00:00,6001,True,APPROVED,0.02,8293.295625000002,8170.577500000004,251.9601050000002,196.3489999999987,0.0,1.0
2020-04-23 15:00:00+00:00,6001,True,APPROVED,0.03,8457.59375,8364.825,251.91077500000017,222.64499999999936,0.0,1.0
2020-04-23 17:00:00+00:00,6002,True,APPROVED,0.03,8462.225625000001,8369.407500000001,251.91382000000021,222.76349999999948,222.64499999999936,1.0
2020-04-24 13:00:00+00:00,6001,True,APPROVED,0.02,8318.10125,8208.835,251.32742500000023,174.82600000000022,0.0,1.0
2020-04-27 02:00:00+00:00,6002,True,APPROVED,0.02,8441.258749999999,8322.484999999999,251.47635500000024,190.03800000000047,174.82600000000022,1.0
2020-04-28 12:00:00+00:00,6001,True,APPROVED,0.04,8706.927500000002,8630.840000000002,251.62038500000025,243.47999999999885,190.03800000000047,1.0
2020-04-29 18:00:00+00:00,6001,True,APPROVED,0.03,8648.5,8544.11,251.11256500000025,250.5359999999997,0.0,1.0
2020-04-29 18:00:00+00:00,6002,True,APPROVED,0.03,8648.5,8544.11,251.10844000000026,250.5359999999997,250.5359999999997,1.0
2020-05-04 21:00:00+00:00,6001,True,APPROVED,0.03,8522.095000000001,8418.89,250.8496600000003,247.69200000000092,0.0,1.0
2020-05-05 03:00:00+00:00,6002,True,APPROVED,0.03,8584.06875,8484.055,250.92413500000032,240.0330000000002,247.69200000000092,1.0
2020-05-07 05:00:00+00:00,6001,True,APPROVED,0.03,8785.89625,8703.005,251.21959000000032,198.9390000000003,0.0,1.0
2020-05-07 05:00:00+00:00,6002,True,APPROVED,0.03,8785.89625,8703.005,251.21546500000034,198.9390000000003,198.9390000000003,1.0
2020-05-11 18:00:00+00:00,6001,True,APPROVED,0.04,9066.585625,8992.4275,251.77657000000036,237.30599999999978,198.9390000000003,1.0
2020-05-15 00:00:00+00:00,6001,True,APPROVED,0.02,8696.628125000001,8566.077500000001,251.43719000000036,208.88099999999977,0.0,1.0
2020-05-18 00:00:00+00:00,6001,True,APPROVED,0.02,8810.931875000002,8692.452500000001,251.39294000000035,189.56699999999984,0.0,1.0
2020-05-18 00:00:00+00:00,6002,True,APPROVED,0.02,8810.931875000002,8692.452500000001,251.39019000000036,189.56699999999984,189.56699999999984,1.0
2020-05-20 12:00:00+00:00,6001,True,APPROVED,0.04,9179.023125000002,9103.997500000001,251.75747000000035,240.08199999999925,189.56699999999984,1.0
2020-05-25 01:00:00+00:00,6001,True,APPROVED,0.03,9210.61,9127.3,251.73556000000036,199.94400000000095,0.0,1.0
2020-05-25 01:00:00+00:00,6002,True,APPROVED,0.03,9210.61,9127.3,251.7314350000004,199.94400000000095,199.94400000000095,1.0
2020-05-28 17:00:00+00:00,6001,True,APPROVED,0.02,9173.425000000001,9057.5,251.61823000000038,185.4800000000003,0.0,1.0
2020-05-28 17:00:00+00:00,6002,True,APPROVED,0.02,9173.425000000001,9057.5,251.6154800000004,185.4800000000003,185.4800000000003,1.0
2020-05-29 21:00:00+00:00,6001,True,APPROVED,0.02,9217.190625000001,9104.5475,251.4243000000004,180.2290000000001,0.0,1.0
