magic,entry_time,exit_time,volume,entry_price,exit_price,executive_stop,disaster_stop,exit_reason,net_pnl,cash_after
6001,2020-01-08 13:00:00+00:00,2020-01-10 18:00:00+00:00,0.04,8859.37,8988.24,8671.755625000002,8609.217500000002,signal_exit,102.85599999999917,100102.706
6001,2020-01-13 11:00:00+00:00,2020-01-14 19:00:00+00:00,0.11,9009.7,9040.27,8924.78875,8896.485,signal_exit,66.59399999999935,100169.3
6001,2020-01-15 13:00:00+00:00,2020-01-15 21:00:00+00:00,0.07,9054.140000000001,9035.84,8930.251250000001,8888.955,signal_exit,-26.04000000000153,100143.26
6002,2020-01-08 12:00:00+00:00,2020-01-15 21:00:00+00:00,0.05,8852.78,9035.84,8666.581250000001,8604.515000000001,signal_exit,182.7599999999995,100326.17
6001,2020-01-16 09:00:00+00:00,2020-01-20 13:00:00+00:00,0.08,9085.970000000001,9152.05,8980.235,8944.99,signal_exit,105.24799999999699,100431.41799999999
6001,2020-01-21 00:00:00+00:00,2020-01-21 08:00:00+00:00,0.13,9157.82,9122.88,9085.608124999999,9061.537499999999,signal_exit,-91.62400000000132,100339.794
6001,2020-01-21 18:00:00+00:00,2020-01-23 04:00:00+00:00,0.12,9180.550000000001,9170.56,9104.09125,9078.605,signal_exit,-24.69600000000384,100314.73799999998
6001,2020-01-23 19:00:00+00:00,2020-01-24 17:00:00+00:00,0.08,9203.27,9195.94,9086.945000000002,9048.170000000002,signal_exit,-12.207999999999883,100302.52999999998
6002,2020-01-21 18:00:00+00:00,2020-01-24 19:00:00+00:00,0.12,9180.550000000001,9139.75,9104.09125,9078.605,signal_exit,-98.64000000000262,100204.24999999999
6001,2020-01-28 14:00:00+00:00,2020-01-30 02:00:00+00:00,0.05,9018.45,9087.9,8842.93125,8784.425,signal_exit,69.1499999999989,100273.25
6002,2020-01-29 05:00:00+00:00,2020-01-30 02:00:00+00:00,0.05,9132.800000000001,9087.9,8974.04,8921.12,signal_exit,-45.20000000000146,100228.2
6001,2020-01-31 01:00:00+00:00,2020-01-31 15:00:00+00:00,0.04,9222.48,9120.24,8995.818749999999,8920.265,signal_exit,-82.03199999999983,100146.04800000001
6002,2020-01-31 01:00:00+00:00,2020-01-31 17:00:00+00:00,0.04,9222.48,9064.949999999999,8995.818749999999,8920.265,signal_exit,-126.26400000000054,100019.90400000001
6001,2020-02-03 16:00:00+00:00,2020-02-06 14:00:00+00:00,0.04,9125.98,9396.359999999999,8892.728125,8814.9775,signal_exit,216.06399999999937,100235.84800000001
6001,2020-02-06 19:00:00+00:00,2020-02-07 08:00:00+00:00,0.04,9436.130000000001,9431.46,9238.773125000002,9172.987500000001,signal_exit,-3.976000000001514,100231.87200000002
6002,2020-02-03 16:00:00+00:00,2020-02-07 14:00:00+00:00,0.04,9125.98,9400.859999999999,8892.728125,8814.9775,signal_exit,219.66399999999936,100451.65600000002
6001,2020-02-10 17:00:00+00:00,2020-02-12 03:00:00+00:00,0.04,9468.390000000001,9528.199999999999,9274.9835625,9210.514749999998,signal_exit,47.60799999999815,100499.14400000003
6001,2020-02-12 11:00:00+00:00,2020-02-13 08:00:00+00:00,0.07,9568.390000000001,9552.67,9444.713125000002,9403.487500000003,signal_exit,-22.42800000000163,100476.71600000001
6002,2020-02-10 17:00:00+00:00,2020-02-13 08:00:00+00:00,0.04,9468.390000000001,9552.67,9274.9835625,9210.514749999998,signal_exit,67.18399999999906,100544.02000000002
6001,2020-02-13 17:00:00+00:00,2020-02-14 18:00:00+00:00,0.06,9607.95,9593.779999999999,9460.021875,9410.712500000001,signal_exit,-17.364000000002267,100526.47600000002
