fold,phase,policy,train_start,train_end,test_start,test_end,segment,start_time,end_time,trades,return_pct_on_initial,win_rate_pct,profit_factor,expectancy,max_drawdown_pct,max_consecutive_wins,max_consecutive_losses,sharpe_trade,gross_profit,gross_loss,net_pnl
1,train,baseline_observed,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,baseline_observed,2024-05-06 04:00:00,2024-10-01 09:32:54.939,174,78.77002569545284,44.252873563218394,3.6201162469457624,45.27012971003037,-2.735799994066844,7,2,6.26667094548342,10883.358710700248,-3006.3561411549626,7877.002569545284
1,train,time_12_96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,time_12_96,2024-05-06 04:00:00,2024-10-01 09:32:54.939,174,72.25688863248196,44.252873563218394,5.697312300652656,41.52694748993216,-2.1529358656612096,7,2,7.211477489495672,8763.949128005179,-1538.2602647569845,7225.688863248196
1,train,time_24_96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,time_24_96,2024-05-06 04:00:00,2024-10-01 09:32:54.939,174,62.37600589751339,44.252873563218394,6.270649407861652,35.848279251444474,-1.5700172221371864,7,2,7.219272824599632,7421.060180223699,-1183.4595904723603,6237.600589751339
1,train,weak_tp_70_time_12_96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,weak_tp_70_time_12_96,2024-05-06 04:00:00,2024-10-01 09:32:54.939,174,70.67101842858519,44.252873563218394,5.594217249689527,40.61552783252022,-2.1547665461901926,7,2,7.184522575012402,8605.362107615501,-1538.2602647569845,7067.1018428585185
1,train,weak_tp_60_time_12_72,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,weak_tp_60_time_12_72,2024-05-06 04:00:00,2024-10-01 09:32:54.939,174,65.58741538622237,44.252873563218394,5.263739816264702,37.693916888633545,-2.1646309742049086,7,2,7.016976493459704,8097.001803379222,-1538.2602647569845,6558.741538622237
1,train,be_selective_time_12_96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,be_selective_time_12_96,2024-05-06 04:00:00,2024-10-01 09:32:54.939,174,23.43669919954649,44.252873563218394,1.3650417441372127,13.4693673560612,-6.071899217441986,7,6,1.7968944326124237,8763.949128005179,-6420.2792080505305,2343.669919954649
1,test,time_24_96,2024-05-01,2024-09-30 23:59:59.999999999,2024-10-01,2025-01-31 23:59:59.999999999,time_24_96,2024-10-01 10:00:00,2025-01-31 13:01:35.595,139,53.10793548505855,47.482014388489205,8.11258274819151,38.20714783097737,-1.0572495898998684,5,2,7.056549222122177,6057.469367476988,-746.6758189711339,5310.793548505854
2,train,baseline_observed,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,baseline_observed,2024-10-01 10:00:00,2025-01-31 13:01:35.595,139,71.36942530372528,47.482014388489205,5.096162696199559,51.34491029044984,-2.0531458427360127,5,2,6.8179910729153415,8879.290932938233,-1742.348402565704,7136.9425303725275
2,train,time_12_96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,time_12_96,2024-10-01 10:00:00,2025-01-31 13:01:35.595,139,67.3454910947702,47.482014388489205,10.019374859034203,48.44999359335986,-1.0155281177444437,5,2,8.007776386397113,7481.224928448153,-746.6758189711339,6734.54910947702
2,train,time_24_96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,time_24_96,2024-10-01 10:00:00,2025-01-31 13:01:35.595,139,53.10793548505855,47.482014388489205,8.11258274819151,38.20714783097737,-1.0572495898998684,5,2,7.056549222122177,6057.469367476988,-746.6758189711339,5310.793548505854
2,train,weak_tp_70_time_12_96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,weak_tp_70_time_12_96,2024-10-01 10:00:00,2025-01-31 13:01:35.595,139,65.36602219748634,47.482014388489205,9.754270666961743,47.02591524999018,-1.0236949610883823,5,2,8.036097257356378,7283.278038719768,-746.6758189711339,6536.6022197486345
2,train,weak_tp_60_time_12_72,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,weak_tp_60_time_12_72,2024-10-01 10:00:00,2025-01-31 13:01:35.595,139,60.96852786998434,47.482014388489205,9.16532775281174,43.862250266175785,-1.0461754951628943,5,2,7.9669108676898555,6843.528605969568,-746.6758189711339,6096.852786998435
2,train,be_selective_time_12_96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,be_selective_time_12_96,2024-10-01 10:00:00,2025-01-31 13:01:35.595,139,25.2283294825543,47.482014388489205,1.5088006269640204,18.149877325578633,-7.247796504723635,5,8,2.149407600149161,7481.224928448153,-4958.391980192724,2522.83294825543
2,test,time_12_96,2024-10-01,2025-01-31 23:59:59.999999999,2025-02-01,2025-05-31 23:59:59.999999999,time_12_96,2025-02-03 03:30:00,2025-05-30 12:57:33.178,142,52.63433903691386,40.140845070422536,6.4236828967903845,37.06643594148863,-1.1617285807013253,8,2,6.455914697980193,6233.887745453811,-970.4538417624249,5263.433903691385
