dataset,start_time,end_time,bars,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow
IS_PURGED,2021-01-03 18:15:00,2024-04-01 15:45:00,73140,10000.0,14233.660775833085,4233.660775833085,42.33660775833086,551,795,44.283121597096184,55.716878402903816,1.0993207536932565,7.6835948744702565,192.0483813312228,-138.84737546900735,1.3831617679665156,497.22957693453975,-176.47986162200687,7,11,-4931.84523018602,-28.418984927398995,46187,0.8465430726650919,0.0054426846666427615,7.145260586709634,0.9311492164188145,1.4844047809980816,1,0.858433421616801,5.325359466456743,124.52086715723127
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,10000.0,23430.500045449608,13430.500045449608,134.30500045449608,479,716,49.478079331941544,50.52192066805845,1.3438132325144418,28.038622224320697,221.49308000433186,-161.4188426263514,1.3721637226518772,642.5265604214453,-275.94226769711895,7,9,-2918.9758543927346,-11.137819151570733,3773,2.5952969266049815,0.016685958746727916,12.664228535060394,0.9999112365440153,3.749020024426947,1,4.601100082838368,18.757681627722924,144.87836817776125
