entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance
2025-05-20 10:15:00,2025-05-20 21:00:00,217,256,BUY,3279.685,3307.5482668548307,TP,0.07,39,True,152.15853370966065,0.015215853370966065,10152.15853370966
2025-05-21 21:45:00,2025-05-22 02:45:00,351,371,BUY,3337.898,3325.946124453348,SL,0.08,20,False,-95.61500437321592,-0.009561500437321593,10056.543529336444
2025-05-23 02:45:00,2025-05-23 07:45:00,463,483,BUY,3330.898,3330.898,SL,0.11,20,True,129.28299999999973,0.012928299999999972,10185.826529336444
2025-05-23 08:15:00,2025-05-23 08:30:00,485,486,BUY,3347.445,3347.445,SL,0.11,1,True,98.45396065451459,0.00984539606545146,10284.280489990959
2025-05-23 08:45:00,2025-05-23 09:15:00,487,489,BUY,3356.715,3346.4090369331566,SL,0.1,2,False,-103.0596306684356,-0.01030596306684356,10181.220859322522
2025-05-23 11:00:00,2025-05-25 18:15:00,496,521,BUY,3356.898,3345.346659306367,SL,0.09,25,False,-103.96206624269644,-0.010396206624269645,10077.258793079825
2025-05-27 13:30:00,2025-05-27 23:15:00,680,715,BUY,3303.298,3292.262430744043,SL,0.09,35,False,-99.32012330361249,-0.00993201233036125,9977.938669776213
2025-05-28 04:15:00,2025-05-28 07:45:00,735,749,BUY,3318.198,3309.1576362222813,SL,0.11,14,False,-99.44400155490393,-0.009944400155490394,9878.494668221309
2025-05-28 23:45:00,2025-05-29 07:15:00,809,839,BUY,3274.398,3301.0909011793515,TP,0.07,30,True,169.84410235870183,0.016984410235870183,10048.33877058001
2025-05-29 12:00:00,2025-05-29 15:30:00,858,872,BUY,3329.298,3316.5129481468102,SL,0.08,14,False,-102.28041482551635,-0.010228041482551634,9946.058355754494
2025-06-02 02:45:00,2025-06-02 09:30:00,1005,1032,BUY,3344.165,3366.5080988180653,TP,0.09,27,True,160.87031149007112,0.01608703114900711,10106.928667244567
2025-06-02 09:45:00,2025-06-02 18:15:00,1033,1063,BUY,3370.368,3390.742212157307,TP,0.1,30,True,171.1416364719225,0.01711416364719225,10278.07030371649
2025-06-02 18:30:00,2025-06-02 20:15:00,1064,1071,BUY,3388.875,3379.838474265502,SL,0.11,7,False,-99.4017830794769,-0.00994017830794769,10178.668520637013
2025-06-05 07:00:00,2025-06-05 07:30:00,1298,1300,BUY,3402.485,3393.4937973969827,SL,0.11,2,False,-98.9032286331917,-0.00989032286331917,10079.765292003822
2025-06-09 00:30:00,2025-06-09 21:00:00,1456,1534,BUY,3312.048,3312.048,SL,0.07,78,True,90.34130000000174,0.009034130000000173,10170.106592003824
2025-06-10 15:45:00,2025-06-10 19:15:00,1609,1619,BUY,3328.485,3318.7378635749656,SL,0.1,10,False,-97.47136425034569,-0.009747136425034568,10072.635227753479
2025-06-12 21:00:00,2025-06-13 02:45:00,1810,1833,BUY,3425.445,3409.6621261488117,SL,0.06,23,False,-94.69724310713082,-0.00946972431071308,9977.937984646349
2025-06-24 02:45:00,2025-06-24 04:00:00,2467,2472,SELL,3322.548,3331.8959265081744,SL,0.11,5,False,-102.82719158992086,-0.010282719158992086,9875.110793056429
2025-06-26 03:15:00,2025-06-26 05:15:00,2653,2661,BUY,3345.225,3339.259174935093,SL,0.17,8,False,-101.41902610341505,-0.010141902610341504,9773.691766953014
2025-06-27 09:30:00,2025-06-27 10:00:00,2770,2772,SELL,3265.315,3275.118365485978,SL,0.1,2,False,-98.03365485977793,-0.009803365485977792,9675.658112093235
2025-06-30 23:45:00,2025-07-01 03:00:00,2915,2928,BUY,3320.948,3336.0861190208193,TP,0.13,13,True,152.39039814291422,0.015239039814291422,9828.048510236149
2025-07-01 03:15:00,2025-07-01 07:00:00,2929,2944,BUY,3338.505,3351.020255699222,TP,0.16,15,True,156.0235210502965,0.01560235210502965,9984.072031286445
2025-07-01 07:15:00,2025-07-01 09:30:00,2945,2954,BUY,3351.565,3345.806132489062,SL,0.17,9,False,-97.90074768594968,-0.009790074768594968,9886.171283600495
2025-07-02 18:30:00,2025-07-02 19:15:00,3078,3081,BUY,3362.398,3355.0267209857625,SL,0.13,3,False,-95.82662718508936,-0.009582662718508937,9790.344656415406
