ensemble,median_daily_pf,min_daily_pf,median_return_pct,min_return_pct,worst_dd_pct,active_days,fold_pfs
A_2.5_1.5+B_1.5_2.0+C_3.0_3.0+D_2.5_2.5,1.3363275740880356,1.085938696552345,2.6697456447556362,1.143749841149409,-5.921247741131203,109,1.258|1.415|2.557|1.086
B_1.5_2.0+D_2.5_2.5,1.2328699828327327,1.0235751646307751,2.5494410372241343,0.20811783422405575,-6.827310091369758,94,1.024|1.274|3.067|1.191
B_1.5_2.0+C_3.0_3.0,1.3638164543331546,1.0156533612645717,3.133089011998409,0.2380000726161279,-6.558158442201265,104,1.229|1.498|2.447|1.016
A_2.5_1.5+B_1.5_2.0,1.3303816821137255,0.9906756976884942,3.038384469778458,-0.1424560416566524,-7.058687222365929,88,1.209|1.451|2.370|0.991
A_2.5_1.5+C_3.0_3.0,1.476903027518182,0.9839739621835605,3.941984361874818,-0.22448637110060304,-5.976257416080993,99,1.430|1.523|1.749|0.984
