z_entry_long,z_entry_short,mr_sl_atr_mult,median_dsr_probability,median_return_pct,worst_drawdown_pct,median_profit_factor,min_fold_trades,robust_score
3.0,3.25,3.5,0.0013452863018203847,-6.7920469087791195,-16.237014416977598,0.6772013118585392,39,-0.4705589430123196
2.75,3.25,3.5,0.0009438071230436069,-7.928772604102008,-16.214609666319053,0.6763917107819958,59,-0.483025256467576
2.75,3.25,3.0,0.00024054469618324292,-9.694886904467632,-17.29327352900821,0.6369164272990149,59,-0.5462582646945192
3.0,3.25,3.0,0.00014608683951018757,-8.158171592472724,-16.967148145525552,0.6111270218585342,39,-0.5551443479543107
2.5,3.25,3.5,0.00025403955173993245,-10.545509556431561,-18.68856943303655,0.6308839845132805,67,-0.567759918664478
3.0,3.25,2.5,0.00011133263010085448,-10.360465740649694,-17.98629141830678,0.576597728140698,39,-0.616827053727232
3.0,3.0,3.5,0.00020506980150871676,-10.480959699730331,-18.650056934899244,0.5791477565056022,48,-0.6187070553646886
2.75,3.0,3.5,0.00017228586848830845,-10.898955531954268,-20.692572303293634,0.5927127249228143,68,-0.6195674060447083
2.75,3.25,2.5,3.1207819845559566e-05,-11.42663572721458,-21.143168647599406,0.5628200602097678,59,-0.6571309324805295
2.75,2.75,3.5,0.00010056476919860249,-12.932513685102698,-22.20844357656521,0.5766572818309676,87,-0.6636095081336868
2.75,3.0,3.0,2.735622930956807e-05,-12.501042563166791,-22.13166751445917,0.5677883697669527,68,-0.6678530372077015
3.0,2.75,3.5,0.00010150574600048644,-12.442817724264977,-20.522734342120078,0.5573461703130083,67,-0.6695941728942415
2.5,3.0,3.5,5.439510578808411e-05,-12.816782906688085,-23.575271234998198,0.5726011732599765,76,-0.6733886168761072
3.0,3.0,3.0,1.152207834468006e-05,-12.162453744374059,-19.529336800478646,0.5406802506981079,48,-0.6785794486696812
2.5,3.25,3.0,2.3551630221755308e-05,-12.438587144627771,-23.593827975733113,0.5626204208902355,67,-0.679711038804486
2.25,3.25,3.5,6.561754634223995e-06,-14.350282482533181,-21.402482521476518,0.5648130070931244,96,-0.6856956685849558
3.0,2.75,3.0,3.235522645598303e-05,-13.852104295206253,-22.200948411264473,0.5491537899893122,67,-0.7003396397926167
2.75,2.75,3.0,4.871896309376575e-05,-14.54924687670361,-24.822020149683112,0.5670095093325003,87,-0.7025443412198575
2.5,2.75,3.5,3.5597287954088184e-05,-14.760109066740362,-25.36336920169706,0.5610003421063849,95,-0.7133819972815499
2.75,2.5,3.5,7.754610992759583e-06,-16.163214840419304,-22.94160433783844,0.547057219473871,117,-0.7292751960085215
3.0,2.5,3.5,8.016560130139874e-06,-15.233056552177432,-22.535837015979745,0.5340785540058929,97,-0.73092318003565
