window_ny,days,side_vol_policy,median_pf,min_pf,median_return,min_return,worst_dd,total_trades,median_dsr,fold_pfs,score
03_17,mon_thu,both,1.371500934822465,0.9678693934828823,3.7121540476847015,-0.604942485373372,-7.131872313383475,110,0.07275028084146573,1.328|1.415|1.450|0.968,2.177085755548983
03_17,mon_thu,buy_all_sell_high,1.4327065338255829,0.8965215466550813,3.904401904327548,-1.8424044362560954,-7.689266557047353,106,0.08517828195316801,1.504|1.415|1.450|0.897,2.154629759203153
03_17,mon_thu,buy,1.4298227951347906,0.8965215466550813,3.6867370796267007,-1.8424044362560954,-7.689266557047353,103,0.08074072745732047,1.504|1.409|1.450|0.897,2.148681861366182
00_12,mon_thu,both,1.187460285827124,0.9907567040390757,2.082281368724248,-0.18827060087822645,-7.115677213104206,116,0.03930682265662542,1.088|1.287|1.353|0.991,1.993430851691641
03_13,mon_thu,both,1.2445631025537234,0.9061541603727795,2.4139630455697114,-1.7668927424633885,-7.616523188465097,102,0.046045289589358065,1.277|1.810|1.212|0.906,1.9555702556461192
00_12,mon_thu,buy_all_sell_high,1.2271337841353138,0.9315957572024186,2.6143412882666084,-1.306386335713583,-8.146217295388212,112,0.045447113230347495,1.168|1.287|1.353|0.932,1.949575858004822
03_17,all,both,1.2545401216018628,0.9181814473702475,3.1133532939798925,-2.0386354401754625,-8.850504785276888,140,0.05510264921321429,1.189|1.405|1.320|0.918,1.9493604881962456
00_12,mon_thu,buy,1.2176158104308916,0.9315957572024186,2.396676463565761,-1.306386335713583,-8.146217295388212,109,0.041859704983974406,1.168|1.268|1.353|0.932,1.9371637544041167
03_17,all,buy_all_sell_high,1.2972837062632137,0.8628883628689917,3.5610786102502456,-3.2760973910581748,-10.030019577042575,136,0.06273518638082676,1.274|1.405|1.320|0.863,1.9074293051995959
03_17,all,buy,1.2972837062632137,0.8628883628689917,3.5610786102502456,-3.2760973910581748,-10.030019577042575,133,0.06273518638082676,1.274|1.409|1.320|0.863,1.9074293051995959
03_13,mon_thu,buy_all_sell_high,1.311148690087357,0.8364199463301774,2.98959050284493,-2.9124963393076353,-8.72012794832086,98,0.05942498291776903,1.410|1.810|1.212|0.836,1.9037456995799116
03_17,mon_thu,buy_high_sell_all,1.5725176463232797,1.1176541942313583,1.879790179386509,0.23487725382214109,-3.1713498618578253,39,0.0714285053444712,1.118|1.490|2.182|1.655,1.896114947561662
03_13,all,buy_high_sell_all,1.5313164027350197,1.1176541942313583,1.334994608083362,0.23487725382214109,-3.824804738446436,44,0.045336716878400934,1.118|1.647|1.416|1.655,1.8846437442694985
03_13,mon_thu,buy_high_sell_all,1.6220302743355526,1.1176541942313583,1.2834375086168803,0.23487725382214109,-2.8423574835682874,34,0.04585574184814138,1.118|2.044|1.589|1.655,1.88441926751566
03_13,mon_thu,buy,1.311148690087357,0.8364199463301774,2.98959050284493,-2.9124963393076353,-8.72012794832086,95,0.05942498291776903,1.410|1.843|1.212|0.836,1.8677456995799115
00_12,mon_thu,buy_high_sell_all,1.9438525998592153,0.7338919010425987,2.4176853558303346,-0.8090344152188123,-3.865290793912172,38,0.09872475911364498,0.734|1.718|2.170|2.176,1.861707582465481
03_17,mon_thu,buy_high_sell_low,1.5828534692637588,1.1176541942313583,1.879790179386509,0.23487725382214109,-3.60471687871359,36,0.06897606271751106,1.118|1.511|2.182|1.655,1.8569592714710768
03_13,all,both,1.2551436223392538,0.8596804110148586,2.882228751890059,-3.3603471003059937,-10.11032408918444,127,0.050733201061752796,1.234|1.535|1.276|0.860,1.8504832384098302
03_13,mon_thu,buy_high_sell_low,1.6220302743355526,1.1176541942313583,1.2834375086168803,0.23487725382214109,-2.8423574835682874,31,0.04585574184814138,1.118|2.128|1.589|1.655,1.8484192675156599
00_12,all,both,1.1779906655755892,0.9238232530089167,2.4648343042511622,-1.9413582988807687,-9.637694244674707,143,0.04223886127429095,1.110|1.246|1.268|0.924,1.8457792065416343
00_12,mon_thu,buy_high_sell_low,1.9624948576495567,0.7338919010425987,2.4176853558303346,-0.8090344152188123,-3.865290793912172,35,0.09872475911364498,0.734|1.755|2.170|2.176,1.8443498402558223
03_13,all,buy_high_sell_low,1.5354060898171178,1.1176541942313583,1.334994608083362,0.23487725382214109,-4.258171755302201,41,0.045336716878400934,1.118|1.664|1.416|1.655,1.8397324208459243
03_17,all,buy_high_sell_all,1.4108750754535322,1.1176541942313583,1.4304475957034102,0.23487725382214109,-4.636794650419572,51,0.04703646480880436,1.118|1.461|1.361|1.655,1.825137199091098
03_13,all,buy_all_sell_high,1.3033919066579807,0.799587475624336,3.3299540681604123,-4.594440831637203,-11.193598615135365,123,0.059936175688674084,1.331|1.535|1.276|0.800,1.8124581996475944
03_13,all,buy,1.3033919066579807,0.799587475624336,3.3299540681604123,-4.594440831637203,-11.193598615135365,120,0.059936175688674084,1.331|1.566|1.276|0.800,1.8124581996475944
00_12,all,buy_all_sell_high,1.20888617305583,0.873430637486644,2.9043456743143237,-3.084162365945553,-10.716478971085133,139,0.04755816603206162,1.172|1.246|1.268|0.873,1.7993775313594755
03_17,all,buy_high_sell_low,1.4214529360998314,1.1176541942313583,1.4304475957034102,0.23487725382214109,-4.893680954666867,48,0.04703646480880436,1.118|1.482|1.361|1.655,1.7920084706099786
00_12,all,buy,1.2013222699242005,0.873430637486644,2.9043456743143237,-3.084162365945553,-10.716478971085133,136,0.04679060750151044,1.172|1.231|1.268|0.873,1.7916601165217358
00_12,all,buy_high_sell_all,1.6545867928309574,0.7338919010425987,2.469242455296816,-0.8090344152188123,-4.696128673684012,48,0.09578497725964241,0.734|1.516|1.793|2.176,1.6674442536679326
00_12,all,buy_high_sell_low,1.6561796630209884,0.7338919010425987,2.469242455296816,-0.8090344152188123,-4.953014977931308,45,0.09578497725964241,0.734|1.519|1.793|2.176,1.6253305347305447
03_17,all,buy_low_sell_high,1.014417477203315,0.7843434531379848,0.5953038310927139,-3.599971604665897,-10.338727594569328,93,0.021021969132348307,1.185|0.784|1.342|0.843,1.4147565346416169
03_13,all,buy_low_sell_high,1.011797378006675,0.7766412166231718,0.44184830050448265,-4.918315045244926,-11.502306632662117,87,0.021952417439946928,1.239|0.784|1.244|0.777,1.2961783621430174
03_17,mon_thu,buy_low_sell_high,1.0674036780536817,0.676166016578763,0.3167908909979422,-2.1662786498638176,-8.001267256693044,75,0.022939618501875772,1.362|0.676|1.263|0.872,1.2112875095420081
00_12,all,buy_low_sell_high,0.9489496804737303,0.5383806699130425,-1.0203589911156274,-4.287045240602816,-10.900597568687049,99,0.01152779758696161,1.174|0.538|1.084|0.814,1.1404143929323973
03_13,mon_thu,buy_low_sell_high,0.9706376997289945,0.676166016578763,-0.08103385253699358,-3.2363705529153575,-9.032128647966552,72,0.014550277828198241,1.289|0.676|1.133|0.808,1.0419395739090305
00_12,mon_thu,buy_low_sell_high,0.989704080088369,0.4113318388208459,-0.9708797277829695,-2.909915048684819,-8.566586542142348,82,0.0143105165548712,1.169|0.411|1.133|0.847,0.9211916286780888
00_12,all,sell,0.7349629296615726,0.0,0.21766482470084725,-0.9609678166271451,-1.3318364182212723,7,,0.000|1.470|0.000|2.210,
00_12,mon_thu,sell,0.7349629296615726,0.0,0.21766482470084725,-0.9609678166271451,-1.3318364182212723,7,,0.000|1.470|0.000|2.210,
03_13,all,sell,0.7349629296615726,0.0,0.21766482470084725,-0.9609678166271451,-1.3318364182212723,7,,0.000|1.470|0.000|2.210,
03_13,mon_thu,sell,0.7349629296615726,0.0,0.21766482470084725,-0.9609678166271451,-1.3318364182212723,7,,0.000|1.470|0.000|2.210,
03_17,all,sell,0.7349629296615726,0.0,0.21766482470084725,-0.9609678166271451,-1.3318364182212723,7,,0.000|1.470|0.000|2.210,
03_17,mon_thu,sell,0.7349629296615726,0.0,0.21766482470084725,-0.9609678166271451,-1.3318364182212723,7,,0.000|1.470|0.000|2.210,
