entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance,strategy,final_lot,reason
2024-05-10 03:00:00,2024-05-10 08:45:00,656,679,BUY,2368.48,2362.3465533038498,SL,0.16,23,False,-99.09514713840413,-0.009909514713840413,9900.904852861597,TREND,,
2024-05-23 11:00:00,2024-05-24 09:30:00,1516,1602,SELL,2345.7000000000003,2345.7500000000005,SL,0.11,86,True,115.02324900735114,0.011502324900735115,10015.928101868947,TREND,,
2024-05-26 23:00:00,2024-05-27 00:15:00,1652,1657,SELL,2345.96,2341.070487290305,,0.11,5,True,39.84655372999973,,10055.774655598947,MR,0.05,TP
2024-05-31 08:45:00,2024-05-31 09:45:00,2049,2053,SELL,2352.413,2352.463,,0.11,4,True,15.587870565078301,,10071.362526164025,MR,0.05,BE_AFTER_PARTIAL
2024-06-05 21:15:00,2024-06-05 21:30:00,2371,2372,SELL,2363.489,2371.0842791600717,,0.13,1,False,-99.51862908093133,,9971.843897083094,MR,0.13,SL
2024-06-12 08:45:00,2024-06-12 09:00:00,2785,2786,SELL,2329.3,2340.4049622871917,,0.09,1,False,-100.48466058472334,,9871.35923649837,MR,0.09,SL
2024-07-03 09:00:00,2024-07-03 09:30:00,4156,4158,BUY,2350.45,2350.3999999999996,SL,0.26,2,True,112.43725760402907,0.011243725760402907,9983.7964941024,TREND,,
2024-07-08 12:00:00,2024-07-08 19:00:00,4434,4458,SELL,2355.3100000000004,2360.2559061448947,SL,0.21,24,False,-105.1240290427793,-0.010512402904277929,9878.67246505962,TREND,,
2024-07-12 08:45:00,2024-07-12 09:15:00,4789,4791,BUY,2392.4199999999996,2403.935,,0.09,2,True,76.45882990581592,,9955.131294965437,MR,0.05,TP
2024-07-25 03:30:00,2024-07-25 06:45:00,5596,5609,SELL,2373.4300000000003,2381.1648736272623,SL,0.13,13,False,-101.33335715440606,-0.010133335715440606,9853.79793781103,TREND,,
2024-07-28 18:15:00,2024-07-28 21:15:00,5743,5755,SELL,2396.9230000000002,2396.9730000000004,,0.08,12,True,5.0957791408523185,,9858.893716951883,MR,0.04,BE_AFTER_PARTIAL
2024-08-08 10:45:00,2024-08-08 11:00:00,6545,6546,BUY,2418.979,2412.7697059359807,SL,0.16,1,False,-100.30870502430567,-0.010030870502430567,9758.585011927578,TREND,,
2024-08-21 09:45:00,2024-08-21 10:00:00,7369,7370,BUY,2498.6299999999997,2498.5799999999995,,0.08,1,True,18.888072160103114,,9777.473084087682,MR,0.04,BE_AFTER_PARTIAL
2024-08-28 08:30:00,2024-08-28 08:45:00,7824,7825,SELL,2495.98,2500.497254699205,SL,0.22,1,False,-100.6996033825065,-0.010069960338250649,9676.773480705175,TREND,,
2024-09-09 01:45:00,2024-09-09 02:30:00,8523,8526,BUY,2490.74,2490.6899999999996,,0.14,3,True,15.113826845593088,,9691.887307550767,MR,0.07,BE_AFTER_PARTIAL
2024-09-24 23:00:00,2024-09-24 23:30:00,9616,9618,SELL,2669.88,2660.733919810226,,0.08,2,True,55.01155771779078,,9746.898865268558,MR,0.04,TP
2024-10-14 02:30:00,2024-10-14 04:00:00,10823,10829,SELL,2665.389,2659.0284528373327,,0.1,6,True,49.60598982021739,,9796.504855088775,MR,0.05,TP
2024-10-31 09:15:00,2024-10-31 09:45:00,12050,12052,SELL,2752.4500000000003,2737.071730614714,TP,0.16,2,True,188.5219890851941,0.01885219890851941,9985.02684417397,TREND,,
2024-10-31 10:00:00,2024-10-31 11:00:00,12053,12057,SELL,2734.51,2741.687515716846,SL,0.14,4,False,-101.32522003584187,-0.010132522003584186,9883.701624138128,TREND,,
2024-11-04 21:45:00,2024-11-04 22:30:00,12276,12279,BUY,2726.23,2733.4522708435215,,0.11,3,True,60.09584653788565,,9943.797470676014,MR,0.05,TP
2024-11-06 09:00:00,2024-11-07 08:15:00,12413,12502,SELL,2663.9700000000003,2680.9863863112378,SL,0.06,89,False,-102.45831786742507,-0.010245831786742507,9841.339152808589,TREND,,
2024-11-11 09:30:00,2024-11-12 00:30:00,12691,12747,SELL,2627.9100000000003,2607.179686633219,TP,0.12,56,True,192.6295914232899,0.01926295914232899,10033.96874423188,TREND,,
2024-11-12 20:30:00,2024-11-12 23:45:00,12823,12836,SELL,2608.05,2608.1000000000004,,0.11,13,True,2.519172076575014,,10036.487916308453,MR,0.05,BE_AFTER_PARTIAL
2024-11-18 20:15:00,2024-11-18 21:00:00,13190,13193,SELL,2617.57,2617.6200000000003,,0.14,3,True,19.049167784924663,,10055.537084093377,MR,0.07,SL
2024-11-25 10:00:00,2024-11-26 08:00:00,13613,13697,SELL,2641.1200000000003,2641.1700000000005,SL,0.06,84,True,105.0771860104784,0.01050771860104784,10160.614270103855,TREND,,
2024-11-27 00:45:00,2024-11-27 01:45:00,13760,13764,SELL,2644.869,2644.9190000000003,,0.1,4,True,18.116042801818274,,10178.730312905673,MR,0.05,SL
2024-11-27 04:00:00,2024-11-27 06:00:00,13773,13781,SELL,2653.29,2646.4735307619367,,0.09,8,True,50.265393981499955,,10228.995706887172,MR,0.05,TP
2024-11-27 20:15:00,2024-11-27 22:15:00,13834,13842,BUY,2628.06,2628.0099999999998,,0.1,8,True,8.508183666278363,,10237.50389055345,MR,0.05,BE_AFTER_PARTIAL
2024-11-28 21:15:00,2024-11-29 02:30:00,13920,13941,SELL,2656.2400000000002,2659.278627874806,,0.09,21,False,-27.887650873250127,,10209.6162396802,MR,0.09,TP
2024-12-13 04:00:00,2024-12-13 07:00:00,14858,14870,BUY,2674.8399999999997,2663.0894751037467,,0.09,12,False,-106.2947240662766,,10103.321515613923,MR,0.09,SL
2025-01-07 08:45:00,2025-01-07 10:00:00,16244,16249,BUY,2661.04,2655.2046547011273,SL,0.18,5,False,-106.11621537970775,-0.010611621537970775,9997.205300234215,TREND,,
2025-01-19 18:30:00,2025-01-19 20:30:00,17015,17023,BUY,2692.21,2692.16,,0.09,8,True,12.116441773139703,,10009.321742007354,MR,0.05,BE_AFTER_PARTIAL
