timestamp_utc,source,path,sha256,size_bytes
2026-06-23T17:33:40.283605+00:00,initialize_master_prices,data\production\master_prices\TIP.csv,e287b12af33d3b680b3d6163da15aebd3583150ef7850e1b42a6e326db886375,613166
2026-06-23T17:33:40.323682+00:00,initialize_master_prices,data\production\master_prices\LQD.csv,3b30bdc6c23264eda6870e9121e8d9ca987120a8df2b9407aa931f16f61b6360,618229
2026-06-23T17:33:40.360344+00:00,initialize_master_prices,data\production\master_prices\HYG.csv,101435a279c7d35d107643bdbf751ba27a3a8761fbc8e317115a2ec3eee0cf0f,598644
2026-06-23T17:33:40.399970+00:00,initialize_master_prices,data\production\master_prices\EMB.csv,fdbecd5a46a81ca779bd7b58d04014a7a7a4d666be30abcd0a034bf8a11ce417,604493
2026-06-23T17:33:40.436526+00:00,initialize_master_prices,data\production\master_prices\BNDX.csv,dad1f3e2f0e8c4efd639edb059e8f32fa6551a071e048078a6bd3a61a4d58215,472368
2026-06-23T17:33:40.475620+00:00,initialize_master_prices,data\production\master_prices\BIL.csv,e93f7e39d0d3481424fa4bbc951325edfe47c6ed98460c71749c39d9dc3e9d22,590391
2026-06-23T17:33:40.497397+00:00,initialize_master_prices,data\production\master_prices\SGOV.csv,1bf4754dfec0fc12f7108ef717601969bcaed4bfe6516517a9793718098be210,225253
2026-06-23T17:33:40.535520+00:00,initialize_master_prices,data\production\master_prices\GLD.csv,c7935f7e52526ba0c1c26bc60495becb5cd045c53ed9a4cba34dd44c95aab60f,499623
2026-06-23T17:33:40.572057+00:00,initialize_master_prices,data\production\master_prices\IAU.csv,206dbe0b9114ff9e8bc276125ab48a5d93ce576177c3728eff779e2b7a92c370,467139
2026-06-23T17:33:40.614320+00:00,initialize_master_prices,data\production\master_prices\SLV.csv,48de3ff9ec844cd8588981860450b8c05db93443b9a6a4b4e51a349fe1c5916a,470371
2026-06-23T17:33:40.653482+00:00,initialize_master_prices,data\production\master_prices\DBC.csv,c172434fcdd43ab4aa616b63f40c9fc738d1f84692baa92c6bb388a68cdc7f12,589410
2026-06-23T17:33:40.689599+00:00,initialize_master_prices,data\production\master_prices\USO.csv,54d9ce4a7a954177a48b4f03dab7855721d8a157d8a9fa0cc242f19b32cdaef3,470870
2026-06-23T17:33:40.728822+00:00,initialize_master_prices,data\production\master_prices\VNQ.csv,e60f56ed1a4fcc8016165338ada10062b2c52b538a898dc18f081f84fe88a113,593855
2026-06-23T17:33:40.765786+00:00,initialize_master_prices,data\production\master_prices\VNQI.csv,4abea31f0a3e9904ac25ddb83c0109fccb382a82043fa527a169b95531653bb3,556658
2026-06-23T17:33:40.803908+00:00,initialize_master_prices,data\production\master_prices\RWX.csv,2f8bd679807feda9e64db440f191fa47a0bcfbf5b6029d6c18ad9b9853d77def,585623
2026-06-23T17:33:54.447485+00:00,report_daily,data\production\reports\daily_report_2026-06-22.md,8b3cc3be637ceddd6eb45aa4ad687727773d7e4656c01b65ba0a340bf1d60e9f,371
2026-06-23T17:34:14.710860+00:00,report_daily,data\production\reports\daily_report_2026-06-22.md,0b511bbc75d9ba7ba2adcd1351718d0837ebe308766402f6270ed3e6c32c7682,398
2026-06-23T18:12:34.542194+00:00,report_daily,data\production\reports\daily_report_2026-06-22.md,abe6e3194919c475b936450558493356f0093c38a8d2ddfb5c9dbce4d6e02a63,398
2026-06-23T18:21:09.491099+00:00,report_daily,data\production\reports\daily_report_2026-06-22.md,a4bcfa62f6462cc5cdcb5e8318daca46d642d46ec95a7024ae6091bc4140c272,399
2026-06-24T23:30:15.591875+00:00,fetch_daily,data\production\staging\daily_prices_2026-06-24.csv,8e79a7e51166a108ea82ce8d412af2fbb9921bb9be8ad8ac78d2cc0a4c916e39,6744
2026-06-24T23:30:15.700454+00:00,update_master_prices,data\production\master_prices\SPY.csv,56a75a3c598ace534d7d073c3b2f71d5c29cc135a1a97ff7c5bf6819d26a1510,642941
2026-06-24T23:30:15.726559+00:00,update_master_prices,data\production\master_prices\VTI.csv,bfc255101499ca94ff443b1322b99663baf80b63e0a964a90b9253e252140fa2,614628
2026-06-24T23:30:15.752377+00:00,update_master_prices,data\production\master_prices\QQQ.csv,8501acf23bb78708b4548424e01fc13c620878c2f2af1ae0f37e41786cc3bed9,625471
2026-06-24T23:30:15.777785+00:00,update_master_prices,data\production\master_prices\IWM.csv,3c3437eeed41ae8b1b5f4a9010ac86ade37426b308a371189cbc9db0b22eba86,626828
2026-06-24T23:30:15.802975+00:00,update_master_prices,data\production\master_prices\EFA.csv,c4fe379412806d158b9ba3857c4d913ce8a0f7b81dc0713752eed625c6803a65,603765
2026-06-24T23:30:15.827973+00:00,update_master_prices,data\production\master_prices\IEFA.csv,7c32eceddf64464a014d57a3fd78890d9fea4381d599a085d973dc3093e08118,497436
2026-06-24T23:30:15.855083+00:00,update_master_prices,data\production\master_prices\VGK.csv,e3ccd672a73ab77c6585d4229a467b4ebc72168501b92bf8dcf667ae9af5a39a,594876
2026-06-24T23:30:15.882815+00:00,update_master_prices,data\production\master_prices\EWJ.csv,8ffd280c5c772225e05b76efaec51612a7db0ccd864af50bd45aea1a126298a3,595731
2026-06-24T23:30:15.905783+00:00,update_master_prices,data\production\master_prices\EEM.csv,a0227239413c80af17e7409875789ab0127fa360c1635bb1edb54bbbd52aaf73,603730
2026-06-24T23:30:15.929512+00:00,update_master_prices,data\production\master_prices\VWO.csv,f7831554b3c860e4ce44a4493f70b1177e4890125bdc2b26fc33e04f45420fd8,601151
2026-06-24T23:30:15.953595+00:00,update_master_prices,data\production\master_prices\FXI.csv,35c230ca70c70eae64959141834d019974d9555c9c442d58e833c2d8bf91941b,602731
2026-06-24T23:30:15.979162+00:00,update_master_prices,data\production\master_prices\XLF.csv,d26b8c2a48c246824743767f995ca6f08db6defaa042e2e5ce99cdcb37ed8664,601710
2026-06-24T23:30:16.002203+00:00,update_master_prices,data\production\master_prices\XLK.csv,75b99e93dd406ed3e218e30fd239e5cc2d89b39444fe2ea8ec82c4b6d8162a3c,607220
2026-06-24T23:30:16.027129+00:00,update_master_prices,data\production\master_prices\XLE.csv,d848840e503f098391f873928be7d8634c529d6316842d384b308f9e04a159f9,602555
2026-06-24T23:30:16.050928+00:00,update_master_prices,data\production\master_prices\XLV.csv,945b096a7d52b508650bda83668f349e5207e0a02ee2ef1b192e6db85d131643,609707
2026-06-24T23:30:16.074496+00:00,update_master_prices,data\production\master_prices\XLI.csv,e89f08ee6f646b6d71f1a5416d24bb826bfd05a6273aa67cdddacb6c3c4c67f1,606391
2026-06-24T23:30:16.100309+00:00,update_master_prices,data\production\master_prices\XLY.csv,6d4a38436b3e9582d50ed372b9eb5502293fc12b89c90461c3658fa50b64eeae,606886
2026-06-24T23:30:16.123853+00:00,update_master_prices,data\production\master_prices\XLP.csv,70e670936bc588be17b3bad150308589be642db2c616ad88008faf7ff6aa737d,599232
2026-06-24T23:30:16.147367+00:00,update_master_prices,data\production\master_prices\XLU.csv,23b0f33c4ce09622065fe2709ad8facee3d9c951a0f574ff6177ae267ca35914,599964
2026-06-24T23:30:16.171084+00:00,update_master_prices,data\production\master_prices\XLB.csv,4e76f2576c1a0bfc031228429e5aee23e982b5b452012d9e4987dbfffac0fb18,598330
2026-06-24T23:30:16.191549+00:00,update_master_prices,data\production\master_prices\XLRE.csv,eb61477698fd3e1c6da9e9696cb05d9b79c7330735af2209e39b13ce2c48cbb8,389232
2026-06-24T23:30:16.214552+00:00,update_master_prices,data\production\master_prices\USMV.csv,ad98ef945350be060a5285d58fcbc6099b01898e46a94bb3701c89d145e0a1f7,531863
2026-06-24T23:30:16.238967+00:00,update_master_prices,data\production\master_prices\MTUM.csv,1146a3d56ba11a5d4547482d1b0c3cc11dda39d79a5b5d6dc7c3b7193f8ca1ba,489568
2026-06-24T23:30:16.277958+00:00,update_master_prices,data\production\master_prices\VLUE.csv,b24490a0b813ad8714aa204ce2adf327c6fb20905e2de67ca08dea2ddff00166,476069
2026-06-24T23:30:16.336115+00:00,update_master_prices,data\production\master_prices\QUAL.csv,a7bae9d0e576c11567b8bf6060e3512a20360d9d478586d3fa9a8bee5310c4e5,477006
2026-06-24T23:30:16.378244+00:00,update_master_prices,data\production\master_prices\AGG.csv,efd1473778c4e022dc0041175e15db81205058b94eecd4c09a3b6748255eff6f,608324
2026-06-24T23:30:16.402275+00:00,update_master_prices,data\production\master_prices\BND.csv,9be94088891e383110c6758fbfce304a0b3d9712abc0bf5820810462b1fd0f55,594751
2026-06-24T23:30:16.426686+00:00,update_master_prices,data\production\master_prices\TLT.csv,4d6c07661c2b0519a5a4afcf48ee27be03f25f8c62e7bdd5623b9e167d75ab40,614581
2026-06-24T23:30:16.449808+00:00,update_master_prices,data\production\master_prices\IEF.csv,2daf38b5ac53fec37844cea426b3354a2463c786c2e3b191c6e49cc94695832f,606408
2026-06-24T23:30:16.473407+00:00,update_master_prices,data\production\master_prices\SHY.csv,e80ff03a3a2bfb9c8c097602254fe6ce12a01b4ed2ff6f7c213825881f69ca0c,592678
2026-06-24T23:30:16.497443+00:00,update_master_prices,data\production\master_prices\TIP.csv,71aba6c7bce3bf40be81116e4cd295d139d7dcb34e5d9f29a930e5703e38f579,613302
2026-06-24T23:30:16.523110+00:00,update_master_prices,data\production\master_prices\LQD.csv,5090183733a359f2859d04afd32682c2d24d434ec47059ed431e86c4dcb265d8,618371
2026-06-24T23:30:16.546653+00:00,update_master_prices,data\production\master_prices\HYG.csv,9182bfec1541dc2c4f6ef48cdbe9ed7bf509618925af0142c94cef776a2cee97,598774
2026-06-24T23:30:16.570955+00:00,update_master_prices,data\production\master_prices\EMB.csv,957e55527dec1366ac90c43fa61198035814ed23a31feb4ef340d642521bf1aa,604623
2026-06-24T23:30:16.593660+00:00,update_master_prices,data\production\master_prices\BNDX.csv,95429236fba82641b0ceab13d4662b74c4feacb3b1220297f4e399283554a837,472495
2026-06-24T23:30:16.619215+00:00,update_master_prices,data\production\master_prices\BIL.csv,ea5106b719a82ca6e200ee30592c35abc3e5bec81ff6ad205d87672f0215c7b9,590517
2026-06-24T23:30:16.643745+00:00,update_master_prices,data\production\master_prices\SGOV.csv,23cb4c5cec204398e69cfa5bd8fbee867cbf90c255e2bbb08113021f33bda213,225392
2026-06-24T23:30:16.677303+00:00,update_master_prices,data\production\master_prices\GLD.csv,7368c7f4d75ff5cb8afb710f4466c86989f9a3a59ed848a5bbe0ba8b6c44c02e,499759
2026-06-24T23:30:16.711907+00:00,update_master_prices,data\production\master_prices\IAU.csv,27d1a7dc59883fb931ad3e1712e5c3b56bdbca704cf5a2b89b4682c09b6dd4f3,467273
2026-06-24T23:30:16.743472+00:00,update_master_prices,data\production\master_prices\SLV.csv,9293e0160d94dd762d0a35a66adc685a042364e7c3b0cfe366f18666a45ba128,470503
2026-06-24T23:30:16.773543+00:00,update_master_prices,data\production\master_prices\DBC.csv,6c815e4566d36eb3386f0e85e832d05671462c5006c8cb8bb24b9851089b3d7e,589540
2026-06-24T23:30:16.804111+00:00,update_master_prices,data\production\master_prices\USO.csv,9ab4ab2b196fabb89c002a6ca5bd0742b429ddebe85e39c16d9d55acf6007d60,471006
2026-06-24T23:30:16.833086+00:00,update_master_prices,data\production\master_prices\VNQ.csv,8f0dcab908ee0b95248890cf7a039bf019f3a1144ae397b404673ee31f775c1c,593985
2026-06-24T23:30:16.856699+00:00,update_master_prices,data\production\master_prices\VNQI.csv,c3b8f8a5ceac2d6a6e762e335e2a459195c37f19f82c532b9950b4a6b071479f,556789
2026-06-24T23:30:16.881708+00:00,update_master_prices,data\production\master_prices\RWX.csv,14262765672718af3996385959645a306dbc8b2d0c6887e859e04d696f13430e,585743
2026-06-24T23:30:23.616504+00:00,report_daily,data\production\reports\daily_report_2026-06-24.md,f7e723538e9cdcefba286dbbe8431c55727038833020a77f6e83ece0ebcceb4f,442
