fold_id,train_start,train_end,val_start,val_end,train_start_time,train_end_time,val_start_time,val_end_time
0,0,25478,25599,37483,2021-01-03 18:15:00,2022-02-07 15:15:00,2022-02-08 23:30:00,2022-08-10 14:30:00
1,0,37363,37484,49368,2021-01-03 18:15:00,2022-08-09 07:30:00,2022-08-10 14:45:00,2023-02-12 19:00:00
2,0,49248,49369,61253,2021-01-03 18:15:00,2023-02-09 11:00:00,2023-02-12 19:15:00,2023-09-27 09:30:00
3,0,61133,61254,73139,2021-01-03 18:15:00,2023-09-26 02:30:00,2023-09-27 09:45:00,2024-04-01 15:45:00
