threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,folds,mean_score,median_score,mean_pf,min_pf,mean_return,min_return,worst_dd,mean_dsr,total_trades,robust_score
0.6,0.35,3.0,2.0,True,4,-0.7151388653406814,0.9239431941357346,1.0428313984208277,0.9029652651686125,6.278157655656974,-6.798111917835414,-16.8233444695717,0.03305671199825067,697,1.0906829618978737
0.6,0.3,3.0,2.0,True,4,-0.7073612420129469,0.8689538677156718,1.0433265826712925,0.9029652651686125,6.325138002592462,-6.798111917835414,-16.8233444695717,0.03343297425435075,696,1.036565081984376
0.6,0.4,3.0,2.0,True,4,-0.7634266148276866,0.8273676951617241,1.036083361478381,0.9029652651686125,5.479810561346065,-6.798111917835414,-16.8233444695717,0.02909420809535481,696,0.9833969220785208
0.6,0.4,2.5,2.0,True,4,-0.9317620882471147,0.5115597526297271,1.0270313524215562,0.993999161802355,3.749369112001477,-0.5879709871742689,-17.970889515597115,0.017776325722526954,839,0.6519432451222118
0.6,0.35,3.0,2.5,True,4,-1.074124865310821,0.7221117075312535,1.006907724447457,0.772907583421458,1.9332371571897378,-18.89062962730048,-26.472915780723504,0.025794306899886214,607,0.24226165356941665
0.65,0.35,3.0,2.5,True,4,-0.973853562578485,0.5075743002851802,1.0068768176090594,0.6624379423204618,1.0387145367418613,-16.271320432939827,-23.336114049285843,0.05597425266451714,365,0.2409064637650663
0.65,0.3,3.0,2.5,True,4,-0.973853562578485,0.5075743002851802,1.0068768176090594,0.6624379423204618,1.0387145367418613,-16.271320432939827,-23.336114049285843,0.05597425266451714,365,0.2409064637650663
0.6,0.4,3.0,2.5,True,4,-1.11620455980065,0.6379523185515952,0.9985668208151481,0.772907583421458,1.0319641758717695,-18.89062962730048,-26.472915780723504,0.022123314527895687,607,0.14609036858545887
0.6,0.3,3.0,2.5,True,4,-1.0912853276254006,0.627369551146918,0.9997563658537283,0.772907583421458,1.1514027068811101,-18.89062962730048,-26.472915780723504,0.023019318103758606,607,0.13759314979522475
0.65,0.35,3.0,1.5,True,4,-1.6881282479839226,-1.9382765471263848,1.1056285013596518,0.8852791458532646,6.931853983110031,-7.805292869113889,-17.787590988519987,0.12074671730936123,465,-1.6793338065745098
0.65,0.3,3.0,1.5,True,4,-1.6881282479839226,-1.9382765471263848,1.1056285013596518,0.8852791458532646,6.931853983110031,-7.805292869113889,-17.787590988519987,0.12074671730936123,465,-1.6793338065745098
0.65,0.4,3.0,1.5,True,4,-1.704187692108873,-1.9382765471263848,1.1011509506401203,0.867368942975138,6.671558043427789,-8.846476627842858,-17.787590988519987,0.12067768390802164,464,-1.6942922282826707
0.65,0.35,2.0,1.5,True,4,-2.0046546921094723,-1.8290544791348646,1.0461630197052805,0.7062265476740104,7.630873717133662,-18.088459127457956,-23.723509525057622,0.12405930944811816,645,-2.0258922175089267
0.65,0.3,2.0,1.5,True,4,-2.0046546921094723,-1.8290544791348646,1.0461630197052805,0.7062265476740104,7.630873717133662,-18.088459127457956,-23.723509525057622,0.12405930944811816,645,-2.0258922175089267
0.65,0.4,2.0,1.5,True,4,-2.025675655144682,-1.8710964052052843,1.0416474344412046,0.7062265476740104,7.2307006907159295,-18.088459127457956,-23.723509525057622,0.12377627674377117,644,-2.072732761547769
0.6,0.4,3.0,1.5,True,4,-1.942130003064421,-2.4334875347007894,1.080860345122666,0.977514561905088,9.850604578079253,-2.161673903218231,-17.456195338712792,0.10084177114485135,847,-2.146211924401094
