Label,Trades,Win Rate %,Avg Win,Avg Loss,Profit Factor,Expectancy,Max DD %,Sharpe Ratio,DSR Prob,Exposure %,Avg Bars Held
Base sin costos (Normal),304,39.47%,$193.54,$-117.74,1.07,$5.14,-22.94%,0.52,4.35%,11.25%,18.2
Base con Spread (Normal),306,38.89%,$186.50,$-114.03,1.04,$2.84,-25.74%,0.33,2.40%,11.27%,18.1
Base con Spread + Slippage (Normal),306,38.89%,$185.63,$-113.84,1.04,$2.62,-25.94%,0.32,2.25%,11.27%,18.1
Base con Spread + Slippage + Comisión (Normal),306,38.89%,$184.54,$-113.40,1.04,$2.47,-26.26%,0.30,2.14%,11.27%,18.1
Base con todo + Intrabar Pesimista,306,38.89%,$184.54,$-113.40,1.04,$2.47,-26.26%,0.30,2.14%,11.27%,18.1
