Label,Trades,Win Rate %,Avg Win,Avg Loss,Profit Factor,Expectancy,Max DD %,Sharpe Ratio,DSR Prob,Exposure %,Avg Bars Held
BUY x Londres,53,47.17%,$172.25,$-108.81,1.41,$23.77,-4.05%,0.92,12.50%,2.08%,19.3
BUY x Nueva York,27,44.44%,$172.70,$-103.86,1.33,$19.06,-4.98%,0.60,5.52%,1.02%,18.6
BUY x Asia,45,51.11%,$187.72,$-115.71,1.70,$39.37,-7.28%,1.29,26.19%,1.90%,20.8
SELL x Londres,114,37.72%,$156.84,$-102.80,0.92,$-4.86,-19.18%,-0.23,0.27%,4.43%,19.1
SELL x Nueva York,48,31.25%,$139.58,$-95.14,0.67,$-21.79,-16.24%,-0.86,0.01%,1.93%,19.7
SELL x Asia,85,37.65%,$168.35,$-98.38,1.03,$2.03,-14.43%,0.14,1.20%,2.74%,15.8
