Label,Trades,Win Rate %,Avg Win,Avg Loss,Profit Factor,Expectancy,Max DD %,Sharpe Ratio,DSR Prob,Exposure %,Avg Bars Held
BUY Only,105,47.62%,$197.65,$-125.13,1.44,$28.58,-8.95%,1.42,32.87%,4.15%,19.4
SELL Only,209,33.97%,$146.77,$-90.79,0.83,$-10.09,-39.20%,-0.80,0.02%,7.43%,17.5
