exit_time,A_2.5_1.5,B_1.5_2.0,C_3.0_3.0,D_2.5_2.5,portfolio_pnl,equity
2021-06-24,2.3711171627397185,-14.40651895854376,0.0,0.0,-12.035401795804042,9987.964598204197
2021-06-25,-24.976249031458373,0.0,0.0,0.0,-24.976249031458373,9962.988349172738
2021-06-28,61.88911718225089,71.3576300510708,59.9238570682532,45.513912452706336,238.68451675428122,10201.67286592702
2021-06-29,49.28421540329809,60.41610978581177,31.007559906751002,48.96572639984461,189.67361149570547,10391.346477422725
2021-06-30,-34.53569881596224,-106.82054590353003,-78.53253849548629,-79.74308507372464,-299.63186828870323,10091.714609134022
2021-07-01,28.723542736160727,76.9570385586656,-25.83676923175117,-25.896769231751495,53.94704283132366,10145.661651965345
2021-07-02,18.043747539839224,-26.748301594949755,58.54799212748625,46.91601798430962,96.75945605668534,10242.42110802203
2021-07-05,-9.814303837474998,-20.809135816276346,-52.02968769202364,-51.86934649263085,-134.52247383840583,10107.898634183624
2021-07-06,39.42516732946205,81.03162756231015,5.357570367150004,49.644298669270775,175.45866392819298,10283.357298111818
2021-07-07,-52.36716936624357,-17.023389971812698,32.21564430676885,-4.243125289833074,-41.4180403211205,10241.939257790697
2021-07-08,-48.30944927630499,-64.96305126434785,-49.75053491404098,-23.93938722883826,-186.96242268353208,10054.976835107165
2021-07-12,-22.4759676359967,-13.738132493395941,32.972364891540096,4.733265030551426,1.4915297926988806,10056.468364899863
2021-07-13,-56.68056435514214,-69.65960831095137,-15.968157999252224,-28.512743067266626,-170.82107373261235,9885.647291167252
2021-07-14,-69.74114064686721,6.543284464113299,-50.33966385199996,-21.53038867812649,-135.06790871288035,9750.57938245437
2021-07-15,0.0,-25.105444591307677,0.0,0.0,-25.105444591307677,9725.473937863064
2021-07-16,17.12766985507435,0.0,-24.98544459130757,-24.314737797104396,-32.17251253333762,9693.301425329726
2021-07-19,-25.3738398466599,-25.493839846660286,-23.654250523548836,-25.3738398466599,-99.89577006352893,9593.405655266197
2021-07-20,21.53161093585728,-0.30281948377603385,0.0,-6.933086256149078,14.295705195932168,9607.701360462128
2021-07-21,46.79106699214453,56.72747396823986,52.53844773840237,22.489155027091368,178.54614372587812,9786.247504188006
2021-07-22,23.49126074900236,71.75311202166336,-48.83253494841871,45.08719058431118,91.49902840655818,9877.746532594565
2021-07-23,-24.699945374222956,24.369508873880385,54.87848860066799,-24.458689182939963,30.089362917385458,9907.835895511951
2021-07-26,-7.450912737895429,-91.69158453818103,-24.570402535009727,-24.630402535010322,-148.3433023460965,9759.492593165854
2021-07-27,-49.28026148736171,-65.05986518020684,-49.24917752670403,-49.115597004670136,-212.7049011989427,9546.78769196691
2021-07-28,-19.888356414908923,-87.17153420129767,0.0,22.990290027747996,-84.0696005884586,9462.718091378452
2021-07-29,18.0294822255207,-3.97089313488528,32.03072624631855,-25.577275115729282,20.51204022122469,9483.230131599677
2021-08-02,-23.058162366610667,-70.71525151923885,-24.86681535593867,-23.058162366610667,-141.69839160839885,9341.531739991278
2021-08-03,-23.256011153807197,0.0,-24.774411897394312,-23.256011153807197,-71.2864342050087,9270.24530578627
2021-08-04,0.0,22.537804270953586,0.0,0.0,22.537804270953586,9292.783110057224
2021-08-05,35.99466261026909,-18.71158374918846,0.0,0.0,17.28307886108063,9310.066188918303
2021-08-06,-24.32630378183516,0.0,0.0,0.0,-24.32630378183516,9285.739885136469
2021-08-08,0.0,0.0,0.0,29.492557644471365,29.492557644471365,9315.23244278094
2021-08-09,-5.0091221270235415,-7.079923777292773,0.0,3.9092927388955836,-8.179753165420731,9307.052689615519
2021-08-10,-71.27309718232985,-92.25930842345144,0.0,-72.17151673307933,-235.70392233886062,9071.348767276659
2021-08-11,-20.235241891891786,-54.37754612514408,0.0,-2.8473924403590374,-77.4601804573949,8993.888586819265
2021-08-12,4.420401350766635,-32.24123847971411,0.0,-21.870535779162605,-49.69137290811008,8944.197213911153
2021-08-13,27.182752411701514,31.357473547922915,0.0,43.99156188321583,102.53178784284026,9046.729001753994
2021-08-16,3.010532352876595,10.140701258990592,-25.722529804823388,-23.316915137336473,-35.88821133029268,9010.840790423701
2021-08-17,-47.39855465297196,-3.058686853776635,-47.234469125867676,1.7664867713560817,-95.92522386126018,8914.915566562442
2021-08-18,15.524654129021858,-1.9015672769598204,-22.67710194579144,-22.070515780630906,-31.124530874360307,8883.79103568808
2021-08-19,62.29070246717366,-9.848277344279051,51.0724397016494,64.3986111601784,167.91347598472242,9051.704511672804
2021-08-20,-22.113308465445957,-21.63366073684896,-22.65071405553552,-23.91830437445635,-90.31598763228679,8961.388524040516
2021-08-23,68.10607570978293,41.85473840581716,31.897956660386573,71.01195459556854,212.8707253715552,9174.259249412073
2021-08-24,29.67358381931987,-2.3572689445512616,53.340933895419745,53.724591190050944,134.3818399602393,9308.641089372311
2021-08-25,10.173360175747353,-18.321842905781892,-15.07034144115806,-24.12163814864642,-47.34046231983902,9261.300627052471
2021-08-26,-70.12065980980952,-75.69758339882617,-94.45808542791144,-44.624412573226905,-284.900741209774,8976.399885842698
2021-08-30,28.063664831579572,29.886575820351858,0.0,0.0,57.95024065193143,9034.35012649463
2021-08-31,28.294554355883918,32.37065225869626,0.0,46.89277471929903,107.55798133387921,9141.908107828509
2021-09-01,19.26868587354296,6.7244590662720825,0.0,0.0,25.993144939815043,9167.901252768324
2021-09-02,-33.14250380376743,-24.209008521209164,0.0,27.00560950617055,-30.345902818806046,9137.555349949518
2021-09-03,-23.70971745146718,-20.756421791271748,0.0,-25.026923976548698,-69.49306321928763,9068.06228673023
2021-09-06,-24.241074891069253,-20.74272695335934,51.50555854917422,-24.241074891069253,-17.719318186323633,9050.342968543906
2021-09-07,-31.73458003742229,-23.416612590902663,-69.92411074370779,-48.81040786003534,-173.88571123206808,8876.457257311838
2021-09-08,-31.835279564024624,-32.30028056387253,-67.86172705714718,-70.11420625739063,-202.11149344243498,8674.345763869404
2021-09-09,-20.646724841611178,-70.20438431607619,0.0,0.0,-90.85110915768736,8583.494654711716
2021-09-10,24.978737747768502,0.0,-22.5375723364228,-21.4910212727834,-19.0498558614377,8564.444798850278
2021-09-13,-44.56422056854596,-2.2868792845464263,-43.58978590808499,-44.56422056854596,-135.00510632972333,8429.439692520555
2021-09-14,-18.505130602854113,-78.4858057581781,0.0,5.955453891744128,-91.03548246928808,8338.404210051267
2021-09-15,4.660941302110238,7.730327277382564,-20.156508388457222,-20.837784246803206,-28.603024055767627,8309.801185995499
2021-09-16,9.491246658406766,23.059270974003518,-21.612849153876162,46.160916105693836,57.09858458422796,8366.899770579726
2021-09-17,14.999126641078695,17.090430446947213,30.522852962777925,-22.7033760178605,39.90903403294333,8406.80880461267
