candidate_id,closed_trades,net_profit,return_pct,profit_factor,expectancy,win_rate_pct,daily_sharpe,dsr_probability,dsr_z,max_drawdown_money,max_drawdown_pct,worst_quarter_profit_factor,top5_winner_share_pct
TREND_01_MOM_LONG,3421,-29265.925337460692,-29.26592533746069,0.9152214786041335,-8.5547867107456,26.278865828705054,-0.48130117172344755,0.0001099309089056502,-3.695028854245034,-39015.32960933839,-39.01042287834875,0.72801704518769,5.289839681927364
TREND_02_MOM_SHORT,2965,-51564.42098434129,-51.56442098434128,0.8493412750942858,-17.3910357451404,23.87858347386172,-0.8272940497506698,6.182866343376128e-06,-4.37103789531029,-53166.31432809184,-53.166314328091836,0.5313464027150359,8.46070665760057
TREND_03_LONG_P55,958,-18215.76932186343,-18.21576932186343,0.8204330409063092,-19.014372987331345,39.561586638830896,-0.935755608355037,1.6223257351815782e-06,-4.654692136868435,-25612.94329999019,-24.552008325823536,0.0,7.046630916344212
TREND_04_LONG_P65,943,-20598.410143738794,-20.598410143738793,0.7987154990419688,-21.843489017750578,39.130434782608695,-1.0692973179111493,4.1774548167586094e-07,-4.926889209113544,-27643.892909365546,-26.511043073989033,0.0,7.08567415307591
TREND_05_LONG_T10,1025,-15739.312853112406,-15.739312853112406,0.8525423390059452,-15.3554271737682,39.90243902439025,-0.7911194968489247,6.5653634311732156e-06,-4.35791514788289,-24652.655284363907,-23.388677446007648,0.0,6.4747095467957205
TREND_06_LONG_T30,874,-13617.07486248947,-13.61707486248947,0.8538906033472385,-15.580177188203054,40.389016018306634,-0.718371132646794,1.318581592266794e-05,-4.202728931267529,-22256.107293741123,-21.2303567402941,0.0,7.403665044092572
TREND_07_SHORT_P55,663,-12382.371496868169,-12.382371496868169,0.850735883860031,-18.676276767523632,32.42835595776772,-0.6507293417289153,2.8504788865798185e-05,-4.024858527121029,-16267.889853119064,-15.965667341562137,0.16152788406162577,9.787543995680814
TREND_08_SHORT_P65,668,-11236.171284367996,-11.236171284367996,0.8635995469109705,-16.82061569516167,32.33532934131736,-0.5884375354332502,4.775801756242189e-05,-3.901708763436532,-16654.022374993918,-16.299666998622115,0.2648114650942875,9.638465422212802
