closed_trades,net_profit,return_pct,profit_factor,expectancy,win_rate_pct,daily_sharpe,dsr_probability,dsr_z,max_drawdown_money,max_drawdown_pct,worst_quarter_profit_factor,top5_winner_share_pct,fold_id,selected_candidate
107,37.414018749470415,0.3741401874947042,1.0042037382654918,0.3496637266305646,35.51401869158878,0.1806335510839322,0.006482620681389016,-2.484722620504548,-2015.9860562501854,-18.289170871874845,0.9753005667302137,52.5849199650206,0,TREND_03_LONG_P55
92,-3500.533337500521,-35.00533337500521,0.6587727192936721,-38.04927540761436,23.91304347826087,-1.327346149744003,0.00016090372764589737,-3.5970816782338346,-4167.479731250431,-39.06909791627232,0.4412987354349179,68.70950613682358,1,TREND_08_SHORT_P65
122,-6477.608837497143,-64.77608837497144,0.5675605409223448,-53.09515440571429,40.16393442622951,-2.380519308748128,2.234438470640657e-06,-4.588291800577604,-7160.062365622306,-70.3701426019086,0.5121023492231779,42.301403278726944,2,TREND_04_LONG_P65
104,1110.4608687519562,11.104608687519562,1.0898399335713287,10.677508353384194,35.57692307692308,0.5467814055494278,0.015589512845589472,-2.154780362014573,-4578.404062499447,-35.03420563260195,1.0492921895365623,39.58391727731884,3,TREND_08_SHORT_P65
109,-3703.0244968736542,-37.03024496873654,0.7477560468710346,-33.97270180618031,33.02752293577982,-1.2826165853470093,0.00012754442185491938,-3.6570960191551403,-4197.159015623884,-41.25541444281659,0.6517440710140768,40.616648223767164,4,TREND_08_SHORT_P65
90,-2678.5792999983155,-26.785792999983155,0.7986484248117663,-29.761992222203506,30.0,-0.31938337576835096,0.0018336515709927077,-2.90544583701521,-6369.506699998785,-61.96461466707199,0.4470864357431061,43.41434182384935,5,TREND_07_SHORT_P55
141,289.7711437515202,2.897711437515202,1.0209733673066084,2.0551144946916327,40.42553191489361,0.2880406068829702,0.00843120301973006,-2.389694208107532,-3347.1105468747155,-24.544544880633985,0.0,29.921921428868636,6,TREND_06_LONG_T30
