entry_time,exit_time,net_pnl,return_pct,pnl,entry_i,exit_i,side,units,entry_reference,entry_price,exit_reference,exit_price,stop_reference,bars_held,exit_reason,reference_pnl,price_pnl,spread_slippage_cost,commission_cost,costs,cash_after,fold_id,candidate_id
2023-01-03 09:15:00+00:00,2023-01-03 11:30:00+00:00,-197.37971875000633,-0.19737971875000634,-197.37971875000633,41,50,1,0.19,11062.917,11065.742,11017.07496875,11014.249968749999,11017.07496875,9,atr_stop,-174.19971875000084,-195.66971875000635,21.470000000005513,1.71,23.180000000005514,99802.62028125,0,TREND_03_LONG_P55
2023-01-04 03:00:00+00:00,2023-01-04 05:45:00+00:00,34.23599999999489,0.0343037085634783,34.23599999999489,105,116,1,0.27,10873.689,10876.514000000001,10886.129,10883.304,10816.40009375,11,signal_exit,67.17600000000276,36.665999999994895,30.510000000007864,2.43,32.94000000000786,99836.85628125,0,TREND_03_LONG_P55
2023-01-04 08:45:00+00:00,2023-01-04 09:00:00+00:00,-193.9469062500063,-0.1942638354954199,-193.9469062500063,128,129,1,0.27,10952.829,10955.654,10923.01290625,10920.18790625,10923.01290625,1,atr_stop,-161.00690624999842,-191.5169062500063,30.510000000007864,2.43,32.94000000000786,99642.909375,0,TREND_03_LONG_P55
2023-01-05 12:00:00+00:00,2023-01-05 13:00:00+00:00,-112.41360000000775,-0.11281645699138111,-112.41360000000775,230,234,1,0.26,10938.327,10941.152,10922.809,10919.983999999999,10895.05059375,4,signal_exit,-80.69360000000016,-110.07360000000774,29.380000000007584,2.34,31.720000000007584,99530.495775,0,TREND_03_LONG_P55
2023-01-06 20:00:00+00:00,2023-01-09 05:00:00+00:00,140.93999999999505,0.1416048407099327,140.93999999999505,351,380,1,0.25,11060.409,11063.234,11094.697,11091.872,10939.193374999999,29,signal_exit,171.44000000000233,143.18999999999505,28.250000000007276,2.25,30.500000000007276,99671.43577499999,0,TREND_03_LONG_P55
2023-01-10 21:00:00+00:00,2023-01-11 01:00:00+00:00,20.633599999990256,0.020701618111099454,20.633599999990256,533,542,1,0.31,11209.149,11211.974,11218.577,11215.751999999999,11106.38134375,9,signal_exit,58.45359999999927,23.423599999990255,35.03000000000901,2.79,37.82000000000901,99692.06937499998,0,TREND_03_LONG_P55
2023-01-11 01:45:00+00:00,2023-01-11 04:00:00+00:00,-36.432000000010085,-0.036544531805201175,-36.432000000010085,545,554,1,0.33,11201.819,11204.644,11202.399,11199.573999999999,11146.396656249999,9,signal_exit,3.8279999999995207,-33.462000000010086,37.290000000009606,2.97,40.260000000009605,99655.63737499996,0,TREND_03_LONG_P55
2023-01-11 15:30:00+00:00,2023-01-11 15:30:00+00:00,-384.1530000000098,-0.38548045059855296,-384.1530000000098,600,600,1,0.32,11311.729,11314.554,11257.80509375,11254.980093749999,11257.80509375,0,atr_stop,-345.1130000000005,-381.2730000000098,36.16000000000929,2.88,39.04000000000929,99271.48437499996,0,TREND_03_LONG_P55
2023-01-12 00:15:00+00:00,2023-01-12 04:15:00+00:00,-30.34800000000432,-0.03057071241663332,-30.34800000000432,628,644,1,0.45,11388.399,11391.224,11391.127,11388.302,11323.608375,16,signal_exit,24.55200000000878,-26.298000000004322,50.8500000000131,4.05,54.900000000013094,99241.13637499996,0,TREND_03_LONG_P55
2023-01-12 04:45:00+00:00,2023-01-12 06:45:00+00:00,-4.435200000023469,-0.004469114484203699,-4.435200000023469,646,654,1,0.48,11394.199,11397.024000000001,11399.837,11397.011999999999,11367.10790625,8,signal_exit,54.1247999999905,-0.11520000002346933,54.24000000001397,4.32,58.56000000001397,99236.70117499994,0,TREND_03_LONG_P55
