segment,start_time,end_time,trades,return_pct_on_initial,win_rate_pct,profit_factor,expectancy,max_drawdown_pct,max_consecutive_wins,max_consecutive_losses,sharpe_trade,gross_profit,gross_loss,net_pnl
Friday,2024-05-10 05:30:00,2026-05-29 11:41:51.693,131,1.212926393654085,43.51145038167939,1.0152926577106083,0.9258980104229658,-13.480550390159049,4,11,0.08414166643538892,8052.722326781291,-7931.429687415883,121.29263936540852
Monday,2024-05-06 04:00:00,2026-05-12 09:59:24.949,155,-1.6264421211981313,43.225806451612904,0.9826647188685237,-1.0493174975471815,-20.87070504700143,6,12,-0.10569980405461929,9219.621404818674,-9382.265616938486,-162.64421211981312
Sunday,2024-05-19 21:00:00,2026-05-17 23:44:15.531,44,9.115045949224243,50.0,1.38889624418695,20.71601352096419,-7.515209809792038,4,8,1.0511787498969298,3255.3292230776083,-2343.8246281551833,911.5045949224243
Thursday,2024-05-09 10:30:00,2026-05-29 10:53:29.962,173,18.155080817354634,47.398843930635834,1.1834330208673527,10.494266368413085,-10.511755076484055,8,6,1.0737748707030805,11712.897729198787,-9897.389647463326,1815.5080817354635
Tuesday,2024-05-14 09:30:00,2026-05-26 18:00:06.283,150,12.797454783213475,46.666666666666664,1.1491089480913022,8.531636522142316,-8.209335320205739,5,6,0.823599667524512,9862.365734871877,-8582.620256550526,1279.7454783213475
Wednesday,2024-05-15 05:00:00,2026-05-28 09:05:26.535,175,-19.82004275970621,39.42857142857143,0.8256868871230916,-11.325738719832122,-23.5896167367148,5,11,-1.2335966784560433,9388.36392673722,-11370.368202707843,-1982.0042759706214
