fold_id,test_start_i,test_end_i,test_start_time,test_end_time,train_count,test_count,purged_count,embargoed_count
0,0,24478,2021-01-03 18:15:00,2022-01-23 19:15:00,97798,24479,0,120
1,24479,48957,2022-01-23 19:30:00,2023-02-06 07:15:00,97678,24479,120,120
2,48958,73437,2023-02-06 07:30:00,2024-05-02 22:15:00,97677,24480,120,120
3,73438,97916,2024-05-02 22:30:00,2025-05-16 01:45:00,97678,24479,120,120
4,97917,122396,2025-05-16 02:00:00,2026-05-29 16:45:00,97797,24480,120,0
