dataset,start_time,end_time,bars,model_id,engine,label,params,threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,dsr_trials,note,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,recovery_factor,mean_cashflow,std_cashflow
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,30001,OHLC,old_optimization_legacy_accel18,C:\Users\YOUR_USERNAME\Desktop\Trading\1_#####HMM#####\MT5_Version_30001\Files\HMM_Params_15M_30001.csv,0.65,0.35,2.5,2.0,True,1,Legacy 18-column params with WAccel/MuAccel/StdAccel active.,10000.0,23430.500045449608,13430.500045449608,134.30500045449608,479,716,49.478079331941544,50.52192066805845,1.3438132325144418,28.038622224320697,221.49308000433186,-161.4188426263514,1.3721637226518772,642.5265604214453,-275.94226769711895,7,9,-2918.9758543927346,-11.137819151570733,3773,2.5952969266049815,0.016685958746727916,12.664228535060394,0.9999112365440153,3.749020024426947,4.601100082838368,18.757681627722924,144.87836817776125
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,30001,TICK_BID_ASK,old_optimization_legacy_accel18,C:\Users\YOUR_USERNAME\Desktop\Trading\1_#####HMM#####\MT5_Version_30001\Files\HMM_Params_15M_30001.csv,0.65,0.35,2.5,2.0,True,1,Legacy 18-column params with WAccel/MuAccel/StdAccel active.,10000.0,13959.234065915472,3959.2340659154725,39.592340659154736,473,692,46.30021141649049,53.69978858350951,1.1270577838917657,8.370473712294896,160.3658790706602,-122.68068287621698,1.3071811740114543,306.09359377986436,-172.51299392892633,8,9,-1962.9913661686078,-12.34892986442675,5737,1.100312102027335,0.007074243472777035,4.555601379583413,0.9255983858850194,1.4437716176588336,2.01693911351386,5.7214365114385615,103.7457107839283
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,40001,OHLC,current_optimized_no_layers_accel18_contract,C:\Users\YOUR_USERNAME\Desktop\Trading\1_#####HMM#####\MT5_Version_40001\Files\HMM_Params_15M_40001.csv,0.6,0.35,3.0,2.0,True,81,Current optimized candidate with 18-column contract; WAccel=0 preserves current behavior.,10000.0,23618.63243323323,13618.63243323323,136.18632433233228,836,1223,46.291866028708135,53.70813397129187,1.2080140653339255,16.29023018329336,204.3627897685347,-145.81239912514405,1.40154603445719,490.9141452241606,-264.9596245681623,7,8,-3296.6875209227237,-22.047330715234363,14921,2.030322713763201,0.013053566509907806,7.1818415788243275,0.6749739583555961,0.4536898362851347,4.13100493959508,11.135431261842392,132.09461983825238
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,40001,TICK_BID_ASK,current_optimized_no_layers_accel18_contract,C:\Users\YOUR_USERNAME\Desktop\Trading\1_#####HMM#####\MT5_Version_40001\Files\HMM_Params_15M_40001.csv,0.6,0.35,3.0,2.0,True,81,Current optimized candidate with 18-column contract; WAccel=0 preserves current behavior.,10000.0,11983.402306254184,1983.4023062541837,19.834023062541828,828,1195,44.32367149758454,55.67632850241546,1.0400623412588132,2.395413413350493,140.3032706961457,-107.39240355581616,1.3064543305730598,279.1699089497357,-160.43025669520466,8,8,-2875.4027588593926,-23.65495361809657,14507,0.637543170139318,0.004098960287414529,2.3363864365094216,0.04032545556206801,-1.746921757648617,0.689782431397873,1.6597508838947344,91.70094453502266
