engine,comparison,final_balance,net_profit,total_return_pct,closed_trades,win_rate_pct,profit_factor,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,sharpe_ratio,sortino_ratio,deflated_sharpe_probability,recovery_factor,expectancy
OHLC,40001_minus_30001,188.1323877836221,188.1323877836221,1.881323877836195,357,-3.1862133032334086,-0.13579916718051632,0,-1,-377.7116665299891,-10.90951156366363,-0.5649742128417805,-5.482386956236066,-0.3249372781884191,-0.47009514324328805,-11.748392041027337
TICK_BID_ASK,40001_minus_30001,-1975.8317596612887,-1975.8317596612887,-19.75831759661291,355,-1.9765399189059494,-0.08699544263295245,0,-1,-912.4113926907849,-11.30602375366982,-0.46276893188801693,-2.2192149430739914,-0.8852729303229514,-1.3271566821159868,-5.975060298944403
