time,type,side,pnl,balance
2024-05-07 04:14:22.803,final,BUY,-98.60846292811402,9901.391537071886
2024-05-09 20:30:08.501,partial,BUY,93.14352385859046,9994.535060930477
2024-05-09 21:22:19.182,final,BUY,59.87797962338027,10054.413040553856
2024-05-10 02:42:55.755,partial,BUY,91.82996391413222,10146.243004467988
2024-05-10 05:07:30.733,final,BUY,65.59283136723661,10211.835835835223
2024-05-10 08:37:21.421,final,BUY,-102.39715206439087,10109.438683770833
2024-05-13 05:20:16.543,partial,SELL,94.6857626212104,10204.124446392043
2024-05-13 08:16:34.663,final,SELL,0.0,10204.124446392043
2024-05-13 11:03:18.307,final,BUY,-104.61578527372058,10099.508661118321
2024-05-13 21:12:21.767,final,SELL,-101.99523659417764,9997.513424524144
2024-05-14 10:01:01.797,partial,BUY,92.78697830893469,10090.30040283308
2024-05-14 10:14:09.005,final,BUY,0.0,10090.30040283308
2024-05-14 12:01:33.153,final,BUY,-100.6677661986896,9989.63263663439
2024-05-15 04:27:23.077,partial,BUY,92.87201879109443,10082.504655425484
2024-05-15 04:44:55.604,final,BUY,53.06972502348435,10135.574380448968
2024-05-15 05:38:26.231,final,BUY,-101.36041924573829,10034.21396120323
2024-05-15 07:04:33.251,final,BUY,-101.43520138454369,9932.778759818686
2024-05-15 21:02:05.614,partial,BUY,93.3737828200221,10026.152542638709
2024-05-16 06:32:00.690,final,BUY,0.0,10026.152542638709
2024-05-16 11:34:52.112,final,SELL,-100.65667140308416,9925.495871235624
2024-05-17 09:01:04.661,partial,BUY,91.1229840153127,10016.618855250936
2024-05-17 09:10:35.802,final,BUY,54.23987143768727,10070.858726688622
2024-05-17 10:50:44.426,partial,BUY,92.73961720977096,10163.598343898393
2024-05-17 11:01:38.565,final,BUY,61.14700035809074,10224.745344256484
2024-05-17 14:44:21.653,partial,BUY,94.69167111036523,10319.43701536685
2024-05-19 20:41:15.639,final,BUY,55.339288311252396,10374.776303678102
2024-05-19 21:11:00.405,partial,BUY,101.18622285190166,10475.962526530004
2024-05-20 01:44:29.934,final,BUY,65.04828611908032,10541.010812649083
2024-05-20 02:33:16.210,final,BUY,-105.91764531140733,10435.093167337676
2024-05-20 08:03:26.506,final,BUY,-109.87212739278174,10325.221039944894
2024-05-21 08:15:14.509,final,SELL,-101.88680191440062,10223.334238030493
2024-05-22 21:27:24.824,partial,SELL,100.89163900501552,10324.22587703551
2024-05-23 01:56:41.423,final,SELL,54.04909232411592,10378.274969359625
2024-05-23 10:33:29.516,partial,SELL,95.70466870408126,10473.979638063707
2024-05-23 13:29:21.347,final,SELL,51.27035823433016,10525.249996298036
2024-05-24 09:11:11.506,final,SELL,-106.62316586603085,10418.626830432006
2024-05-27 14:28:34.247,final,BUY,-104.76689665187587,10313.85993378013
2024-05-28 10:00:47.593,final,BUY,-105.73455819418452,10208.125375585945
2024-05-28 14:37:01.420,final,BUY,-99.41267321116902,10108.712702374776
2024-05-29 02:15:38.379,final,BUY,-99.90467274139701,10008.80802963338
2024-05-29 08:52:32.760,partial,SELL,93.29858650226205,10102.106616135641
2024-05-29 09:23:52.511,final,SELL,0.0,10102.106616135641
2024-05-29 22:42:03.693,partial,SELL,97.24772395105738,10199.354340086698
2024-05-30 01:49:31.076,final,SELL,59.53942282717799,10258.893762913876
2024-05-30 02:59:11.152,final,SELL,-102.21594488407162,10156.677818029804
2024-06-04 03:40:41.196,final,BUY,-104.50515566432388,10052.17266236548
2024-06-04 05:11:47.593,partial,SELL,93.91054799037933,10146.083210355859
2024-06-04 06:28:12.791,final,SELL,0.0,10146.083210355859
2024-06-04 09:00:03.369,final,SELL,-103.75233232754908,10042.33087802831
2024-06-04 11:17:08.739,final,SELL,-98.93781783338727,9943.393060194921
2024-06-04 23:10:28.388,final,SELL,-96.65548700626687,9846.737573188655
2024-06-05 08:45:25.230,final,SELL,-98.90087980748649,9747.836693381169
2024-06-05 10:07:07.787,final,BUY,-96.90212911498747,9650.934564266181
2024-06-05 21:10:32.414,partial,BUY,91.4014834112664,9742.336047677447
2024-06-05 21:26:01.255,final,BUY,65.28677386518939,9807.622821542636
2024-06-06 08:05:14.656,final,BUY,-99.67784855317632,9707.94497298946
2024-06-06 14:05:09.407,final,BUY,-95.5763307080724,9612.368642281388
2024-06-07 01:52:48.570,final,BUY,-93.4389250520826,9518.929717229305
2024-06-07 09:48:52.203,partial,SELL,86.77963481500572,9605.70935204431
2024-06-07 14:36:03.826,final,SELL,61.98545343928982,9667.694805483601
2024-06-11 08:43:02.376,final,SELL,-91.85086826433462,9575.843937219266
2024-06-12 08:30:02.676,partial,BUY,92.16821148071197,9668.012148699978
2024-06-12 08:30:14.679,final,BUY,52.6675494175488,9720.679698117527
2024-06-12 09:36:57.553,final,BUY,-94.84983340720964,9625.829864710317
2024-06-12 15:24:02.411,final,BUY,-99.36436959485582,9526.46549511546
2024-06-14 06:21:29.168,partial,BUY,87.99107926939091,9614.456574384853
2024-06-14 06:51:56.734,final,BUY,55.45656256474331,9669.913136949595
2024-06-16 22:44:15.694,final,BUY,-96.44154927176942,9573.471587677826
2024-06-17 09:11:50.442,final,SELL,-95.21394522684568,9478.25764245098
2024-06-18 07:49:48.630,final,SELL,-94.3357343716566,9383.921908079325
2024-06-20 04:03:54.534,final,BUY,-95.34541209527652,9288.576495984049
2024-06-20 10:43:00.971,partial,BUY,86.51629938645961,9375.092795370509
2024-06-20 10:58:46.124,final,BUY,57.043713881183066,9432.136509251692
2024-06-21 07:39:09.471,partial,BUY,89.04583443099344,9521.182343682685
2024-06-21 09:22:45.375,final,BUY,0.0,9521.182343682685
2024-06-21 13:29:57.198,partial,SELL,92.70695137600065,9613.889295058685
2024-06-24 03:34:01.069,final,SELL,0.0,9613.889295058685
2024-06-24 05:32:56.478,final,BUY,-96.48128323875426,9517.40801181993
2024-06-24 21:43:47.812,final,BUY,-94.98894415500399,9422.419067664927
2024-06-25 21:38:58.263,partial,SELL,88.19430009013887,9510.613367755066
2024-06-25 21:41:31.169,final,SELL,53.996510259268696,9564.609878014335
2024-06-26 07:23:17.280,partial,SELL,91.57988915319257,9656.189767167527
2024-06-26 08:04:44.463,final,SELL,0.0,9656.189767167527
2024-06-27 04:40:59.498,final,SELL,-97.01378467612494,9559.175982491402
2024-06-27 07:41:15.905,partial,BUY,88.22631581280895,9647.402298304212
2024-06-27 08:05:12.340,final,BUY,57.538901617052495,9704.941199921264
2024-06-27 08:39:56.721,partial,BUY,91.11467996653364,9796.055879887797
2024-06-27 10:01:06.707,final,BUY,62.12364543172589,9858.179525319523
2024-06-28 06:19:38.639,partial,BUY,89.30137930575583,9947.48090462528
2024-06-28 07:03:02.030,final,BUY,59.80003078510663,10007.280935410387
2024-07-01 08:38:44.017,final,BUY,-102.5409981052303,9904.739937305156
2024-07-03 03:57:01.447,partial,BUY,93.61104915397517,9998.35098645913
2024-07-03 06:39:42.513,final,BUY,58.50690572123768,10056.85789218037
2024-07-03 07:24:14.422,final,BUY,-101.38667865368551,9955.471213526684
2024-07-03 08:54:01.345,final,BUY,-99.36609075323078,9856.105122773453
2024-07-03 10:00:00.628,partial,BUY,92.46239517631966,9948.567517949774
2024-07-03 10:06:02.837,final,BUY,56.60962969978755,10005.177147649561
2024-07-04 02:31:57.492,final,BUY,-100.35341093559964,9904.823736713963
2024-07-05 03:02:15.379,final,BUY,-99.7288078251413,9805.094928888822
2024-07-05 05:54:13.778,final,BUY,-97.17290249230155,9707.922026396522
2024-07-05 09:41:22.320,partial,BUY,90.66370773401384,9798.585734130536
2024-07-05 09:42:48.594,final,BUY,61.35138117339284,9859.937115303928
2024-07-05 10:05:14.745,final,BUY,-99.72452018190552,9760.212595122022
2024-07-08 02:55:12.121,final,BUY,-98.87833395866755,9661.334261163354
2024-07-08 10:05:00.097,final,SELL,-97.0107785570717,9564.323482606284
2024-07-08 19:20:23.997,final,SELL,-93.98627619029139,9470.337206415992
2024-07-09 10:00:13.805,partial,BUY,85.59121980065748,9555.92842621665
2024-07-09 10:04:41.462,final,BUY,0.0,9555.92842621665
2024-07-10 09:47:36.684,partial,BUY,88.90457765047377,9644.833003867123
2024-07-10 09:55:29.648,final,BUY,52.91939145861534,9697.752395325739
2024-07-10 10:21:03.174,final,BUY,-98.86543200295819,9598.88696332278
2024-07-10 13:22:23.726,final,BUY,-97.98532127589623,9500.901642046885
2024-07-12 12:29:33.910,final,SELL,-92.3955961513966,9408.506045895489
2024-07-15 11:00:08.438,partial,BUY,88.91110965955423,9497.417155555042
2024-07-15 11:27:31.918,final,BUY,54.43537326095066,9551.852528815993
2024-07-15 13:01:01.486,final,BUY,-94.87274770903059,9456.979781106962
2024-07-16 08:37:16.847,final,BUY,-93.85467965887212,9363.12510144809
2024-07-16 11:06:19.534,partial,BUY,89.65341045830937,9452.7785119064
2024-07-16 11:22:55.978,final,BUY,52.394850267841775,9505.17336217424
2024-07-16 21:24:06.448,partial,BUY,89.73297020318022,9594.90633237742
2024-07-16 23:31:43.063,final,BUY,0.0,9594.90633237742
2024-07-18 12:03:16.756,partial,SELL,89.86437092037022,9684.77070329779
2024-07-18 13:25:35.280,final,SELL,51.351069097354404,9736.121772395145
2024-07-18 15:17:11.021,partial,SELL,93.00890905174693,9829.130681446892
2024-07-18 20:03:15.061,final,SELL,61.324555418732416,9890.455236865624
2024-07-19 02:06:45.154,partial,SELL,92.70823202656916,9983.163468892193
2024-07-19 03:41:59.533,final,SELL,54.180135599942325,10037.343604492135
2024-07-19 09:22:07.295,partial,SELL,90.548002392984,10127.891606885118
2024-07-19 11:10:53.783,final,SELL,0.0,10127.891606885118
2024-07-22 08:34:16.098,partial,SELL,93.42913820696673,10221.320745092084
2024-07-23 04:48:08.748,final,SELL,0.0,10221.320745092084
2024-07-23 09:35:08.274,final,BUY,-100.58047821814036,10120.740266873943
2024-07-24 09:42:40.767,partial,BUY,93.63264552873586,10214.37291240268
2024-07-24 10:05:41.771,final,BUY,62.70043227370707,10277.073344676386
2024-07-24 12:45:49.129,final,BUY,-100.97564852978986,10176.097696146597
2024-07-24 21:26:59.195,partial,SELL,97.15621536871826,10273.253911515316
2024-07-24 21:38:43.472,final,SELL,64.0590431002529,10337.312954615569
2024-07-25 09:58:13.789,partial,SELL,93.97471792857458,10431.287672544144
2024-07-25 13:28:13.170,final,SELL,60.412318668370055,10491.699991212514
