threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score,rank_source
0.7,0.4,3.0,2.0,True,10000.0,10010.833329323013,10.833329323013459,0.10833329323014507,10,15,50.0,50.0,1.0188092829902549,1.0833329323011043,117.35797144093696,-115.19130557633476,1.0188092829902549,150.1355476608232,-121.04360511668202,3,3,-440.11308424964227,-4.308928223990524,13651,0.046975033407540445,0.00030201687580686134,0.004955261692217421,0.00802057670355823,-2.407977868694713,81,0.024614876745787783,0.7222219548674047,89.71167274188286,-2.6347453965401795,IS_VALIDATION
0.7,0.35,3.0,2.0,True,10000.0,10010.833329323013,10.833329323013459,0.10833329323014507,10,15,50.0,50.0,1.0188092829902549,1.0833329323011043,117.35797144093696,-115.19130557633476,1.0188092829902549,150.1355476608232,-121.04360511668202,3,3,-440.11308424964227,-4.308928223990524,13651,0.046975033407540445,0.00030201687580686134,0.004955261692217421,0.00802057670355823,-2.407977868694713,81,0.024614876745787783,0.7222219548674047,89.71167274188286,-2.6347453965401795,IS_VALIDATION
0.7,0.3,3.0,2.0,True,10000.0,10010.833329323013,10.833329323013459,0.10833329323014507,10,15,50.0,50.0,1.0188092829902549,1.0833329323011043,117.35797144093696,-115.19130557633476,1.0188092829902549,150.1355476608232,-121.04360511668202,3,3,-440.11308424964227,-4.308928223990524,13651,0.046975033407540445,0.00030201687580686134,0.004955261692217421,0.00802057670355823,-2.407977868694713,81,0.024614876745787783,0.7222219548674047,89.71167274188286,-2.6347453965401795,IS_VALIDATION
0.65,0.35,2.5,1.5,True,10000.0,9089.047947639969,-910.9520523600313,-9.109520523600311,55,83,50.90909090909091,49.09090909090909,0.7057007632318055,-16.562764588364114,78.01335199767634,-114.64170030722089,0.6804971645449552,105.21490296762983,-130.1545467556479,4,5,-1035.496225274299,-10.29552040845717,23270,-1.1280235368139078,-0.007252408773603045,-0.2000069265171608,0.0001501698078036302,-3.6150069057961027,81,-0.8797251309329724,-10.97532593204851,75.50173842076069,-7.4460640895972245,IS_VALIDATION
0.65,0.4,2.5,1.5,True,10000.0,9089.047947639969,-910.9520523600313,-9.109520523600311,55,83,50.90909090909091,49.09090909090909,0.7057007632318055,-16.562764588364114,78.01335199767634,-114.64170030722089,0.6804971645449552,105.21490296762983,-130.1545467556479,4,5,-1035.496225274299,-10.29552040845717,23270,-1.1280235368139078,-0.007252408773603045,-0.2000069265171608,0.0001501698078036302,-3.6150069057961027,81,-0.8797251309329724,-10.97532593204851,75.50173842076069,-7.4460640895972245,IS_VALIDATION
0.65,0.3,2.5,1.5,True,10000.0,9089.047947639969,-910.9520523600313,-9.109520523600311,55,83,50.90909090909091,49.09090909090909,0.7057007632318055,-16.562764588364114,78.01335199767634,-114.64170030722089,0.6804971645449552,105.21490296762983,-130.1545467556479,4,5,-1035.496225274299,-10.29552040845717,23270,-1.1280235368139078,-0.007252408773603045,-0.2000069265171608,0.0001501698078036302,-3.6150069057961027,81,-0.8797251309329724,-10.97532593204851,75.50173842076069,-7.4460640895972245,IS_VALIDATION
0.65,0.35,2.0,2.0,True,10000.0,9107.78342987238,-892.2165701276208,-8.922165701276208,52,76,46.15384615384615,53.84615384615385,0.725621515549132,-17.15801096399273,98.31485467810417,-116.13475294293292,0.8465584348073206,144.44469047226215,-130.41455260640404,3,5,-1254.5160317736681,-12.445148739642594,23270,-1.0044982867525367,-0.006458227111545768,-0.1636023460284353,0.0002480033505145104,-3.4829037273232375,81,-0.7112038009320465,-11.739691712205548,85.52656209280215,-7.599301075037798,IS_VALIDATION
0.65,0.3,2.0,2.0,True,10000.0,9107.78342987238,-892.2165701276208,-8.922165701276208,52,76,46.15384615384615,53.84615384615385,0.725621515549132,-17.15801096399273,98.31485467810417,-116.13475294293292,0.8465584348073206,144.44469047226215,-130.41455260640404,3,5,-1254.5160317736681,-12.445148739642594,23270,-1.0044982867525367,-0.006458227111545768,-0.1636023460284353,0.0002480033505145104,-3.4829037273232375,81,-0.7112038009320465,-11.739691712205548,85.52656209280215,-7.599301075037798,IS_VALIDATION
0.65,0.4,2.0,2.0,True,10000.0,9107.78342987238,-892.2165701276208,-8.922165701276208,52,76,46.15384615384615,53.84615384615385,0.725621515549132,-17.15801096399273,98.31485467810417,-116.13475294293292,0.8465584348073206,144.44469047226215,-130.41455260640404,3,5,-1254.5160317736681,-12.445148739642594,23270,-1.0044982867525367,-0.006458227111545768,-0.1636023460284353,0.0002480033505145104,-3.4829037273232375,81,-0.7112038009320465,-11.739691712205548,85.52656209280215,-7.599301075037798,IS_VALIDATION
0.65,0.35,2.0,1.5,True,10000.0,8716.020984388955,-1283.9790156110448,-12.839790156110453,57,85,49.122807017543856,50.877192982456144,0.6148664422865375,-22.52594764229903,73.20981750427873,-114.96047950796032,0.6368259580824852,105.44536019297942,-130.41455260640404,4,5,-1344.923213012702,-13.376262712329318,23270,-1.6245833953104243,-0.010444944174549496,-0.22867690451231082,1.5545382591691067e-05,-4.165326236084994,81,-0.9546857420468349,-15.105635477776994,75.14933070002002,-7.661104333662645,IS_VALIDATION
0.65,0.4,2.0,1.5,True,10000.0,8716.020984388955,-1283.9790156110448,-12.839790156110453,57,85,49.122807017543856,50.877192982456144,0.6148664422865375,-22.52594764229903,73.20981750427873,-114.96047950796032,0.6368259580824852,105.44536019297942,-130.41455260640404,4,5,-1344.923213012702,-13.376262712329318,23270,-1.6245833953104243,-0.010444944174549496,-0.22867690451231082,1.5545382591691067e-05,-4.165326236084994,81,-0.9546857420468349,-15.105635477776994,75.14933070002002,-7.661104333662645,IS_VALIDATION
0.65,0.3,2.0,1.5,True,10000.0,8716.020984388955,-1283.9790156110448,-12.839790156110453,57,85,49.122807017543856,50.877192982456144,0.6148664422865375,-22.52594764229903,73.20981750427873,-114.96047950796032,0.6368259580824852,105.44536019297942,-130.41455260640404,4,5,-1344.923213012702,-13.376262712329318,23270,-1.6245833953104243,-0.010444944174549496,-0.22867690451231082,1.5545382591691067e-05,-4.165326236084994,81,-0.9546857420468349,-15.105635477776994,75.14933070002002,-7.661104333662645,IS_VALIDATION
0.65,0.4,2.0,2.5,True,10000.0,8876.902152177192,-1123.097847822808,-11.230978478228081,51,70,37.254901960784316,62.745098039215684,0.6988724622008983,-22.02152642789817,137.18652305006924,-116.5513058054413,1.1770483573909865,187.19621777661825,-130.41455260640404,2,6,-1229.270221059125,-12.163558819900414,23270,-1.1366240045826663,-0.0073077038147680625,-0.20695759951605944,0.0001476602357230218,-3.6193705743288644,81,-0.9136297525007641,-16.044254968897235,98.61490027332354,-7.781912213299225,IS_VALIDATION
0.65,0.35,2.0,2.5,True,10000.0,8876.902152177192,-1123.097847822808,-11.230978478228081,51,70,37.254901960784316,62.745098039215684,0.6988724622008983,-22.02152642789817,137.18652305006924,-116.5513058054413,1.1770483573909865,187.19621777661825,-130.41455260640404,2,6,-1229.270221059125,-12.163558819900414,23270,-1.1366240045826663,-0.0073077038147680625,-0.20695759951605944,0.0001476602357230218,-3.6193705743288644,81,-0.9136297525007641,-16.044254968897235,98.61490027332354,-7.781912213299225,IS_VALIDATION
0.65,0.3,2.0,2.5,True,10000.0,8876.902152177192,-1123.097847822808,-11.230978478228081,51,70,37.254901960784316,62.745098039215684,0.6988724622008983,-22.02152642789817,137.18652305006924,-116.5513058054413,1.1770483573909865,187.19621777661825,-130.41455260640404,2,6,-1229.270221059125,-12.163558819900414,23270,-1.1366240045826663,-0.0073077038147680625,-0.20695759951605944,0.0001476602357230218,-3.6193705743288644,81,-0.9136297525007641,-16.044254968897235,98.61490027332354,-7.781912213299225,IS_VALIDATION
0.65,0.3,3.0,1.5,True,10000.0,8785.08524073795,-1214.9147592620502,-12.149147592620501,53,77,45.28301886792453,54.71698113207547,0.6170034260084608,-22.922919986076398,81.55061729846005,-109.38377842845138,0.7455458064268902,106.43639685696591,-131.5303694031005,4,6,-1274.68892624617,-12.67114852766438,23270,-1.537525805604524,-0.009885224269080924,-0.31106804930294746,2.5877041937873672e-05,-4.047561058928944,81,-0.9531068594436223,-15.778113756649985,75.92001413640808,-7.816386990713855,IS_VALIDATION
0.65,0.4,3.0,1.5,True,10000.0,8785.08524073795,-1214.9147592620502,-12.149147592620501,53,77,45.28301886792453,54.71698113207547,0.6170034260084608,-22.922919986076398,81.55061729846005,-109.38377842845138,0.7455458064268902,106.43639685696591,-131.5303694031005,4,6,-1274.68892624617,-12.67114852766438,23270,-1.537525805604524,-0.009885224269080924,-0.31106804930294746,2.5877041937873672e-05,-4.047561058928944,81,-0.9531068594436223,-15.778113756649985,75.92001413640808,-7.816386990713855,IS_VALIDATION
0.65,0.35,3.0,1.5,True,10000.0,8785.08524073795,-1214.9147592620502,-12.149147592620501,53,77,45.28301886792453,54.71698113207547,0.6170034260084608,-22.922919986076398,81.55061729846005,-109.38377842845138,0.7455458064268902,106.43639685696591,-131.5303694031005,4,6,-1274.68892624617,-12.67114852766438,23270,-1.537525805604524,-0.009885224269080924,-0.31106804930294746,2.5877041937873672e-05,-4.047561058928944,81,-0.9531068594436223,-15.778113756649985,75.92001413640808,-7.816386990713855,IS_VALIDATION
0.65,0.3,3.0,2.5,True,10000.0,9157.766322763886,-842.2336772361141,-8.422336772361138,44,59,34.090909090909086,65.9090909090909,0.7387306935896497,-19.14167448263892,158.75927080695584,-111.1594048048431,1.428212674273323,192.2023813400337,-128.23529867833793,2,6,-920.4936772361089,-9.133458327490155,23272,-0.9868645786564436,-0.006344854601900733,-0.20808471678030724,0.00026747930391287066,-3.4626123062897007,81,-0.9149804046074714,-14.275147071798516,99.8940651144874,-7.915030037265881,IS_VALIDATION
0.65,0.4,3.0,2.5,True,10000.0,9157.766322763886,-842.2336772361141,-8.422336772361138,44,59,34.090909090909086,65.9090909090909,0.7387306935896497,-19.14167448263892,158.75927080695584,-111.1594048048431,1.428212674273323,192.2023813400337,-128.23529867833793,2,6,-920.4936772361089,-9.133458327490155,23272,-0.9868645786564436,-0.006344854601900733,-0.20808471678030724,0.00026747930391287066,-3.4626123062897007,81,-0.9149804046074714,-14.275147071798516,99.8940651144874,-7.915030037265881,IS_VALIDATION
0.65,0.35,3.0,2.5,True,10000.0,9157.766322763886,-842.2336772361141,-8.422336772361138,44,59,34.090909090909086,65.9090909090909,0.7387306935896497,-19.14167448263892,158.75927080695584,-111.1594048048431,1.428212674273323,192.2023813400337,-128.23529867833793,2,6,-920.4936772361089,-9.133458327490155,23272,-0.9868645786564436,-0.006344854601900733,-0.20808471678030724,0.00026747930391287066,-3.4626123062897007,81,-0.9149804046074714,-14.275147071798516,99.8940651144874,-7.915030037265881,IS_VALIDATION
0.65,0.35,2.5,2.0,True,10000.0,8693.928469371926,-1306.0715306280745,-13.060715306280745,51,71,39.21568627450981,60.78431372549019,0.6274007171353512,-25.60924569858971,109.96132475700286,-113.07412986348815,0.9724711115597943,146.45516477413207,-130.1545467556479,4,6,-1388.9723817524027,-13.775523554786522,23270,-1.4961799457353697,-0.00961939907387785,-0.29630715677616776,3.179409586420485e-05,-3.999083696959724,81,-0.9403149751475001,-18.39537367081796,88.0751237777459,-7.963912978387485,IS_VALIDATION
0.65,0.4,2.5,2.0,True,10000.0,8693.928469371926,-1306.0715306280745,-13.060715306280745,51,71,39.21568627450981,60.78431372549019,0.6274007171353512,-25.60924569858971,109.96132475700286,-113.07412986348815,0.9724711115597943,146.45516477413207,-130.1545467556479,4,6,-1388.9723817524027,-13.775523554786522,23270,-1.4961799457353697,-0.00961939907387785,-0.29630715677616776,3.179409586420485e-05,-3.999083696959724,81,-0.9403149751475001,-18.39537367081796,88.0751237777459,-7.963912978387485,IS_VALIDATION
0.65,0.3,2.5,2.0,True,10000.0,8693.928469371926,-1306.0715306280745,-13.060715306280745,51,71,39.21568627450981,60.78431372549019,0.6274007171353512,-25.60924569858971,109.96132475700286,-113.07412986348815,0.9724711115597943,146.45516477413207,-130.1545467556479,4,6,-1388.9723817524027,-13.775523554786522,23270,-1.4961799457353697,-0.00961939907387785,-0.29630715677616776,3.179409586420485e-05,-3.999083696959724,81,-0.9403149751475001,-18.39537367081796,88.0751237777459,-7.963912978387485,IS_VALIDATION
