segment,start_time,end_time,trades,return_pct_on_initial,win_rate_pct,profit_factor,expectancy,max_drawdown_pct,max_consecutive_wins,max_consecutive_losses,sharpe_trade,gross_profit,gross_loss,net_pnl
2024,2024-05-06 03:45:00,2025-01-01 21:15:00,160,17.45440344819485,47.5,1.1924975434014857,10.90900215512178,-6.078841120723469,5,4,1.0773711645924224,10812.77862860775,-9067.338283788265,1745.4403448194848
2025,2025-01-01 21:30:00,2025-12-30 08:00:00,242,94.5229486208557,51.652892561983464,1.4685883366223433,39.05906967803954,-8.093729468558793,7,7,2.865036500707322,29624.14747416544,-20171.852612079863,9452.29486208557
2026,2026-01-01 22:15:00,2026-05-29 11:30:00,77,22.32764838544558,46.75324675324675,1.2272726409801444,28.996945955124133,-19.44680810324466,5,9,0.8554815011095842,12056.933858253464,-9824.169019708905,2232.764838544558
