entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance,signal_time,HMM_Prob_Bull,ML_Master_Strength,Vol_Projected_Sigma,Raw_Confidence,Raw_Vol_Ratio,Raw_Slope_Mag,Raw_Accel_Mag,month,quarter,year,hour,session,vol_regime,strength_regime
2024-05-06 03:45:00,2024-05-06 05:15:00,291,297,BUY,2322.645,2315.6187777245027,SL,0.14,6,False,-98.36711185696188,-0.0098367111856961,9901.632888143038,2024-05-06 03:45:00,0.6810122540212032,0.4442464899520965,0.0012100380859748172,0.3620245080424065,0.7387965109857162,0.15314092490855735,0.013025937284826677,2024-05,2024Q2,2024,3,ASIA_00_07,MID_VOL,LOW_STRENGTH
2024-05-06 09:45:00,2024-05-06 10:30:00,315,318,BUY,2327.745,2319.9849895876014,SL,0.13,3,False,-100.8801353611807,-0.010088013536118,9800.752752781857,2024-05-06 09:45:00,0.6530010068354679,0.455922344550394,0.0013334811867105236,0.3060020136709358,0.9057632087646103,0.10695727112743401,0.007037088048547052,2024-05,2024Q2,2024,9,LONDON_07_13,HIGH_VOL,LOW_STRENGTH
2024-05-09 10:15:00,2024-05-09 21:00:00,593,632,BUY,2334.815,2351.4428578144893,TP,0.12,39,True,165.21143125795714,0.0165211431257957,9965.964184039814,2024-05-09 10:15:00,0.6825928036030532,0.8936197155551845,0.0014243404993106025,0.3651856072061064,1.6821723001258313,0.06289048052724701,0.0007706452052832075,2024-05,2024Q2,2024,10,LONDON_07_13,HIGH_VOL,HIGH_STRENGTH
2024-05-09 21:30:00,2024-05-10 02:45:00,634,655,BUY,2350.285,2368.501914300412,TP,0.11,21,True,175.0787429012388,0.0175078742901238,10141.042926941052,2024-05-09 21:30:00,0.6616638662936781,0.445116648217401,0.0015501876836564066,0.32332773258735625,0.7727213542508312,0.29100940594438474,0.02496392111465029,2024-05,2024Q2,2024,21,LATE_20_24,HIGH_VOL,LOW_STRENGTH
2024-05-10 03:00:00,2024-05-10 08:15:00,656,677,BUY,2369.218,2369.218,SL,0.17,21,True,94.99301808011568,0.0094993018080115,10236.035945021167,2024-05-10 03:00:00,0.8232750008624039,0.5206937001465027,0.0010107900448191038,0.6465500017248078,0.7429170216027678,0.21316913991181957,0.005003566271496562,2024-05,2024Q2,2024,3,ASIA_00_07,MID_VOL,MID_STRENGTH
2024-05-13 08:15:00,2024-05-13 09:45:00,769,775,BUY,2345.555,2340.717082370599,SL,0.21,6,False,-101.59627021741336,-0.0101596270217413,10134.439674803756,2024-05-13 08:15:00,0.7084794739973874,0.5490578445618621,0.0008250358877793378,0.41695894799477484,0.9146960030673311,0.20040169598160917,0.008002080593063565,2024-05,2024Q2,2024,8,LONDON_07_13,LOW_VOL,MID_STRENGTH
2024-05-14 05:15:00,2024-05-14 08:30:00,849,862,BUY,2346.555,2342.212464403028,SL,0.23,13,False,-99.87831873034747,-0.0099878318730347,10034.56135607341,2024-05-14 05:15:00,0.6529001425291336,0.5237379175515376,0.0007402401557979996,0.3058002850582673,0.985742762182464,0.039473933211491355,0.003256139894094741,2024-05,2024Q2,2024,5,ASIA_00_07,LOW_VOL,MID_STRENGTH
2024-05-15 03:30:00,2024-05-15 04:30:00,934,938,BUY,2362.755,2369.688535673541,TP,0.29,4,True,182.98382106187395,0.0182983821061873,10217.545177135282,2024-05-15 03:30:00,0.6679291558529201,0.39329767847248237,0.0005869026347244153,0.33585831170584024,0.794273182179379,0.04276360109512172,0.002034993073455671,2024-05,2024Q2,2024,3,ASIA_00_07,LOW_VOL,LOW_STRENGTH
2024-05-15 04:45:00,2024-05-15 05:30:00,939,942,BUY,2373.085,2369.413700481204,SL,0.28,3,False,-102.79638652628456,-0.0102796386526284,10114.748790608995,2024-05-15 04:45:00,0.757322268602926,0.5073128678709337,0.0006188230963148355,0.5146445372058519,0.9215871254352197,0.07273771255405179,0.009475195014239879,2024-05,2024Q2,2024,4,ASIA_00_07,LOW_VOL,MID_STRENGTH
2024-05-15 11:15:00,2024-05-16 05:15:00,965,1033,BUY,2384.025,2384.025,SL,0.11,68,True,94.70805228324885,0.0094708052283248,10209.456842892248,2024-05-15 11:15:00,0.659792283535286,0.7858991172821663,0.0015477707301441105,0.3195845670705719,1.3835704013684018,0.02128557942261907,0.0034559205405962565,2024-05,2024Q2,2024,11,LONDON_07_13,HIGH_VOL,HIGH_STRENGTH
2024-05-17 09:00:00,2024-05-17 09:30:00,1140,1142,BUY,2402.805,2397.9781114738903,SL,0.21,2,False,-101.36465904830038,-0.01013646590483,10108.092183843946,2024-05-17 09:00:00,0.672251581983759,0.512859708600025,0.0008035422809773361,0.344503163967518,0.8892367399942811,0.12055721655219177,0.002352242285643527,2024-05,2024Q2,2024,9,LONDON_07_13,LOW_VOL,MID_STRENGTH
2024-05-17 10:30:00,2024-05-17 11:00:00,1146,1148,BUY,2408.855,2408.855,SL,0.14,2,True,91.25040481144704,0.0091250404811447,10199.342588655394,2024-05-17 10:30:00,0.6586302397370866,0.7892421863633656,0.0011596296743165597,0.31726047947417313,1.2714675130173998,0.14612783495988285,0.005016763392568263,2024-05,2024Q2,2024,10,LONDON_07_13,MID_VOL,HIGH_STRENGTH
2024-05-17 11:15:00,2024-05-17 16:30:00,1149,1170,BUY,2406.425,2421.7999511797248,TP,0.13,21,True,172.33780471889682,0.0172337804718896,10371.68039337429,2024-05-17 11:15:00,0.6627860358421676,0.7175935069479592,0.001277825087399322,0.3255720716843351,1.1427997179542047,0.1561611526041414,0.003941451656553657,2024-05,2024Q2,2024,11,LONDON_07_13,MID_VOL,HIGH_STRENGTH
2024-05-19 20:45:00,2024-05-20 01:30:00,1183,1202,BUY,2425.335,2443.4015986186187,TP,0.11,19,True,146.9416687647648,0.0146941668764764,10518.622062139057,2024-05-19 20:45:00,0.6502384663718259,0.6804769240448507,0.00148982294145912,0.30047693274365184,1.0991765352784086,0.1917316094282849,0.007275712811845414,2024-05,2024Q2,2024,20,LATE_20_24,HIGH_VOL,HIGH_STRENGTH
2024-05-20 01:45:00,2024-05-20 02:15:00,1203,1205,BUY,2449.445,2439.638656729519,SL,0.11,2,False,-107.86977597529312,-0.0107869775975293,10410.752286163764,2024-05-20 01:45:00,0.6789132109984224,0.44501164003962845,0.0016013984017573366,0.3578264219968448,0.8645850633508324,0.2018540803703265,0.019549362639032897,2024-05,2024Q2,2024,1,ASIA_00_07,HIGH_VOL,LOW_STRENGTH
2024-05-24 00:15:00,2024-05-24 13:45:00,1565,1619,BUY,2332.005,2332.005,SL,0.13,54,True,99.69382517586271,0.0099693825175862,10510.446111339625,2024-05-24 00:15:00,0.6861355486591435,0.6094092260194114,0.0014093493029313181,0.372271097318287,1.0192455056720229,0.12426697572044478,0.005287930706371277,2024-05,2024Q2,2024,0,ASIA_00_07,HIGH_VOL,MID_STRENGTH
2024-05-27 10:00:00,2024-05-27 14:15:00,1696,1713,BUY,2356.395,2350.969646310343,SL,0.19,17,False,-103.08172010348652,-0.0103081720103486,10407.36439123614,2024-05-27 10:00:00,0.6503332027438968,0.5203244947757582,0.0009209582756129175,0.30066640548779366,0.9306655593914872,0.08716846551541164,0.0017025190323040618,2024-05,2024Q2,2024,10,LONDON_07_13,MID_VOL,MID_STRENGTH
2024-06-03 13:15:00,2024-06-04 03:30:00,2159,2212,BUY,2348.538,2341.843748333365,SL,0.16,53,False,-107.108026666152,-0.0107108026666152,10300.256364569988,2024-06-03 13:15:00,0.6546749955911046,0.47217257057671264,0.0011401564150351554,0.3093499911822093,0.8306765692349283,0.16380282066687904,0.0011362484591673494,2024-06,2024Q2,2024,13,NY_13_20,MID_VOL,LOW_STRENGTH
2024-06-04 09:00:00,2024-06-04 09:30:00,2234,2236,BUY,2334.635,2329.796927423965,SL,0.21,2,False,-101.59952409674132,-0.0101599524096741,10198.656840473246,2024-06-04 09:00:00,0.6551167386315112,0.7117583764831237,0.0008289214504255016,0.3102334772630224,1.0331441738646436,0.23242970687331893,0.011893072635617535,2024-06,2024Q2,2024,9,LONDON_07_13,LOW_VOL,HIGH_STRENGTH
2024-06-05 09:00:00,2024-06-05 10:00:00,2326,2330,BUY,2341.328,2336.8431526025465,SL,0.23,4,False,-103.15149014142936,-0.0103151490141429,10095.505350331816,2024-06-05 09:00:00,0.7014183570720646,0.35758901951832806,0.0007662057426303824,0.40283671414412914,0.784271105694754,0.06559819868843923,0.00022837664954927783,2024-06,2024Q2,2024,9,LONDON_07_13,LOW_VOL,LOW_STRENGTH
2024-06-05 10:30:00,2024-06-05 21:00:00,2332,2370,BUY,2349.315,2362.9143986221497,TP,0.15,38,True,204.1275944885963,0.0204127594488596,10299.632944820412,2024-06-05 10:30:00,0.6652807845768945,0.9237440505801364,0.0011577330942976638,0.3305615691537891,1.38009487484903,0.07826897214921781,0.006523690859361206,2024-06,2024Q2,2024,10,LONDON_07_13,MID_VOL,HIGH_STRENGTH
2024-06-05 21:30:00,2024-06-06 05:30:00,2372,2404,BUY,2366.954,2359.4051727841093,SL,0.14,32,False,-105.68358102247296,-0.0105683581022472,10193.94936379794,2024-06-05 21:30:00,0.6853743010530068,0.6212933975243038,0.0012757032398417593,0.37074860210601357,1.0244682015813673,0.15785089554041523,0.021065699557805462,2024-06,2024Q2,2024,21,LATE_20_24,MID_VOL,MID_STRENGTH
2024-06-06 11:30:00,2024-06-06 12:15:00,2428,2431,BUY,2377.108,2370.4727407165133,SL,0.15,3,False,-99.52888925230354,-0.0099528889252303,10094.420474545635,2024-06-06 11:30:00,0.6816072177447328,0.6220873704345667,0.001116526347727883,0.3632144354894655,1.0452816798992899,0.029232625503403654,0.009855780333305805,2024-06,2024Q2,2024,11,LONDON_07_13,MID_VOL,MID_STRENGTH
2024-06-07 00:15:00,2024-06-07 01:45:00,2475,2481,BUY,2384.155,2378.166819856788,SL,0.17,6,False,-101.79906243461257,-0.0101799062434612,9992.621412111022,2024-06-07 00:15:00,0.652454098457246,0.43526364308661153,0.0010046628920036332,0.304908196914492,0.8937385750021556,0.06283578451408148,0.00893034156175495,2024-06,2024Q2,2024,0,ASIA_00_07,MID_VOL,LOW_STRENGTH
