asset,oos_start,oos_end,z_entry_long,z_entry_short,mr_sl_atr_mult,mr_robust_score,mr_is_median_dsr_probability,mr_is_median_return_pct,mr_is_worst_drawdown_pct,correlation_daily_equity_returns,trend_profit,trend_return_pct,trend_sharpe,trend_max_dd_pct,trend_trades,mr_profit,mr_return_pct,mr_sharpe,mr_max_dd_pct,mr_trades,parallel_profit,parallel_return_pct,parallel_sharpe,parallel_max_dd_pct,exclusive_profit,exclusive_return_pct,exclusive_sharpe,exclusive_max_dd_pct,exclusive_trades
NSXUSD,2024-05-01 00:00:00,2026-06-19 12:45:00,3.0,3.25,3.5,0.2582681295974352,0.04621189358235729,6.014521839155574,-14.860044289513693,-0.040660875456014794,945.8004266501321,9.45800426650132,0.5095620472588649,-7.862351029640284,157,1895.359658260637,18.95359658260638,0.6895766903456965,-16.936029457410967,106,1420.5800424553836,14.20580042455384,0.7981702643809772,-11.25663974807293,2558.9100041316615,25.589100041316627,0.7195597755877139,-14.963749683103769,259
XAGUSD,2024-05-01 00:00:00,2026-06-19 12:45:00,3.0,3.25,3.0,-0.2036560680219107,0.006614838852347603,-0.8105512485664546,-4.370306989604705,-0.036807498296111504,523.0165552979233,5.230165552979238,0.3117824213076783,-15.561065749614736,128,41.71031937378211,0.41710319373782223,0.0854204161704376,-4.554778376552089,31,282.3634373358527,2.82363437335853,0.30662605252816316,-7.386800491554041,564.7268746716909,5.647268746716905,0.31958912729698896,-13.562780430017817,159
XAUUSD,2024-05-01 00:00:00,2026-05-29 16:45:00,3.0,3.0,3.5,0.562580408043211,0.08022724780624942,0.7766555359954685,-5.082679024598623,-0.021751133152300414,-270.1071867704104,-2.701071867704108,-0.16462230984844944,-13.031604291887064,60,-262.9827597825497,-2.629827597825496,-0.4443092162859827,-6.413646304485619,48,-266.54497327647914,-2.665449732764791,-0.3477676132268943,-8.473941162446849,-721.0285267441341,-7.210285267441341,-0.4175164464005392,-17.09651768282001,107
