threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,folds,mean_score,median_score,mean_pf,min_pf,mean_return,min_return,worst_dd,mean_dsr,total_trades,robust_score
0.6,0.3,2.5,1.5,True,4,1.1457785529048015,0.6648746320074602,1.078656933970423,1.0096627706300922,12.165884235162832,1.1221610375711677,-18.24602106490757,0.08077092324159865,1067,0.923223046349815
0.6,0.35,2.5,1.5,True,4,1.118279288249355,0.6642302351208842,1.0765356761852303,1.0096627706300922,11.787678390302187,1.1221610375711677,-18.249651414518187,0.0753773800378431,1066,0.9148823309937597
0.6,0.3,3.0,2.0,True,4,-0.5425790435003516,1.1352013357545452,1.0455222455272855,0.8272367667521888,7.168288475665348,-14.81594549393045,-24.418046823096986,0.053856241752358175,711,0.865518026940035
0.6,0.35,3.0,2.0,True,4,-0.5633776959112731,1.0936040309327022,1.0416861969447193,0.8272367667521888,6.72758539948697,-14.81594549393045,-24.418046823096986,0.05151386327844033,713,0.8177422950617076
0.6,0.3,2.0,2.0,True,4,0.6652392957061424,0.6499007430261495,1.049091587502072,1.0000837564102734,9.835102937524919,0.010611938810822785,-22.876801617664153,0.038367781329169376,1091,0.5936261503622917
0.6,0.35,2.0,1.5,True,4,-0.9078239990073783,0.68649111853262,1.0362647598988983,0.9825163103240304,6.836173394485759,-3.793202640388549,-22.508039369041715,0.026940952978433602,1348,0.5863628365539809
0.6,0.35,2.0,2.0,True,4,0.6613810243794432,0.6438363765937984,1.0474617858112296,1.0000837564102734,9.480991478149843,0.010611938810822785,-22.876801617664153,0.03653576387835772,1092,0.5840999647882863
0.6,0.3,2.0,1.5,True,4,-0.9021459125055986,0.6886156461396921,1.0362527397222885,0.9790198491062728,6.864327339358889,-4.520837198293415,-22.50002517224912,0.02772016535793873,1350,0.5823789206245289
0.6,0.3,2.5,2.5,True,4,-2.232081250948483,-2.2348700848361727,1.0493923970908536,0.9500669469906369,7.366855485051245,-4.84644454984684,-22.716266215945744,0.04250413209347431,741,-2.3272513119476006
0.6,0.35,2.5,2.5,True,4,-2.2433034856487217,-2.2356415956106632,1.0477997989580166,0.9500669469906369,7.164472782453968,-4.84644454984684,-22.716266215945744,0.04110558099052514,742,-2.3310139719578773
0.6,0.3,3.0,2.5,True,4,-2.247344367304407,-2.1958087103047186,1.0161822883063185,0.7245736566304463,3.34119830805365,-22.04421550614285,-27.806815820714824,0.05675280280947383,619,-2.7336565652860956
0.6,0.35,3.0,2.5,True,4,-2.3358199389572647,-2.3119688825792974,1.0046548601012644,0.7245736566304463,2.163820892645063,-22.04421550614285,-27.806815820714824,0.046690293947268334,621,-2.8714066746279343
0.6,0.3,3.0,1.5,True,4,-2.3602529828134977,-2.700767442710144,1.0139730447543844,0.8832650407737714,2.6695606684617377,-10.229686335581844,-23.16637251056683,0.03367047033231954,875,-2.9137394165076
0.6,0.35,3.0,1.5,True,4,-2.4089024094250315,-2.718511792029469,1.0090755945189378,0.8832650407737714,2.0590026907570924,-10.229686335581844,-22.74422620179327,0.030119486930872585,876,-2.9188248840251405
0.6,0.3,2.5,2.0,True,4,-2.728975155954253,-2.8144645073923797,0.9894112985243761,0.920772367113702,-0.7652851029121833,-8.156948139352938,-21.486568399895503,0.01012373103165236,870,-2.970827379224656
0.6,0.35,2.5,2.0,True,4,-2.7629564416797967,-2.815011380577544,0.9862533477507156,0.920772367113702,-1.2076288075833859,-8.156948139352938,-21.50438865957286,0.008974172342212173,871,-2.9765727748567885
0.6,0.3,2.0,2.5,True,4,-2.8205535428603987,-2.9367578065262534,0.9990659980561476,0.931878720632576,1.1001641308964691,-7.858637253290612,-25.719269990900585,0.014036564974235704,949,-3.2882051155738052
0.6,0.35,2.0,2.5,True,4,-2.831260622998345,-2.9370880181384624,0.9978077175151968,0.931878720632576,0.865964111541373,-7.858637253290612,-25.719269990900585,0.013407401239305249,950,-3.2904227714618957
