fold_id,train_start,train_end,val_start,val_end,train_start_time,train_end_time,val_start_time,val_end_time,threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score,hmm_p_bull,hmm_p_bear,hmm_lambda,hmm_nu
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.3,2.0,2.5,True,10000.0,9835.693146692678,-164.30685330732194,-1.643068533073222,38,53,39.473684210526315,60.526315789473685,0.9290387367437598,-4.323864560718896,143.40916384550607,-100.67149178217,1.4245260630070984,197.02450137342095,-108.69963879588904,4,13,-1322.0761593240022,-12.591470045322309,9734,-0.2125214169246506,-0.0013663652737568334,-0.07144954204393657,0.004603781693768241,-2.6042497511171425,81,-0.12427941624129624,-3.1001293076852474,93.20949984397467,-7.746375449721283,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.35,2.0,2.5,True,10000.0,9835.693146692678,-164.30685330732194,-1.643068533073222,38,53,39.473684210526315,60.526315789473685,0.9290387367437598,-4.323864560718896,143.40916384550607,-100.67149178217,1.4245260630070984,197.02450137342095,-108.69963879588904,4,13,-1322.0761593240022,-12.591470045322309,9734,-0.2125214169246506,-0.0013663652737568334,-0.07144954204393657,0.004603781693768241,-2.6042497511171425,81,-0.12427941624129624,-3.1001293076852474,93.20949984397467,-7.746375449721283,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.3,2.0,2.0,True,10000.0,9550.482757131398,-449.5172428686019,-4.495172428686023,42,59,40.476190476190474,59.523809523809526,0.8209265418650868,-10.702791496871335,121.21894804258176,-100.40957438369945,1.2072449145074806,157.1796010987353,-109.03638286272873,4,13,-1314.0688771681635,-12.561548396636898,9741,-0.7608247275973775,-0.0048915751750946415,-0.22788534445901368,0.0014031875376828617,-2.9881873052999732,81,-0.3420804271974828,-7.618936319806713,84.44366647517307,-7.7897638045555455,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.35,2.0,2.0,True,10000.0,9550.482757131398,-449.5172428686019,-4.495172428686023,42,59,40.476190476190474,59.523809523809526,0.8209265418650868,-10.702791496871335,121.21894804258176,-100.40957438369945,1.2072449145074806,157.1796010987353,-109.03638286272873,4,13,-1314.0688771681635,-12.561548396636898,9741,-0.7608247275973775,-0.0048915751750946415,-0.22788534445901368,0.0014031875376828617,-2.9881873052999732,81,-0.3420804271974828,-7.618936319806713,84.44366647517307,-7.7897638045555455,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.3,2.5,1.5,True,10000.0,9498.111347106802,-501.888652893198,-5.018886528931976,41,60,46.34146341463415,53.65853658536586,0.7689514373260697,-12.241186655931752,87.91225454340108,-98.73734041899193,0.8903648221670282,118.42434593722605,-104.86837581491396,5,11,-1135.2950203349646,-11.013256511941085,9741,-1.0527709259004756,-0.006768586692047359,-0.31797290990442223,0.0006997890956550103,-3.194738029096071,81,-0.4420777365385762,-8.364810881553364,72.66356108881463,-7.87598397242306,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.35,2.5,1.5,True,10000.0,9498.111347106802,-501.888652893198,-5.018886528931976,41,60,46.34146341463415,53.65853658536586,0.7689514373260697,-12.241186655931752,87.91225454340108,-98.73734041899193,0.8903648221670282,118.42434593722605,-104.86837581491396,5,11,-1135.2950203349646,-11.013256511941085,9741,-1.0527709259004756,-0.006768586692047359,-0.31797290990442223,0.0006997890956550103,-3.194738029096071,81,-0.4420777365385762,-8.364810881553364,72.66356108881463,-7.87598397242306,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.3,2.0,1.5,True,10000.0,9308.596654256391,-691.403345743609,-6.914033457436086,43,62,44.18604651162791,55.81395348837209,0.7111402508467597,-16.079147575432582,89.5872296011275,-99.73169617354266,0.8982824221222226,117.33470082405285,-105.13300002254924,4,9,-1237.1381854394967,-11.952800405933505,9741,-1.4318864487400307,-0.009206036491912914,-0.36155394628027704,0.0002632817987505979,-3.4668663697585336,81,-0.5588731751077476,-11.151666866832272,73.86372136466348,-7.9505947640282635,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.35,2.0,1.5,True,10000.0,9308.596654256391,-691.403345743609,-6.914033457436086,43,62,44.18604651162791,55.81395348837209,0.7111402508467597,-16.079147575432582,89.5872296011275,-99.73169617354266,0.8982824221222226,117.33470082405285,-105.13300002254924,4,9,-1237.1381854394967,-11.952800405933505,9741,-1.4318864487400307,-0.009206036491912914,-0.36155394628027704,0.0002632817987505979,-3.4668663697585336,81,-0.5588731751077476,-11.151666866832272,73.86372136466348,-7.9505947640282635,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.3,2.5,2.0,True,10000.0,9634.742842293492,-365.2571577065082,-3.652571577065078,36,51,41.66666666666667,58.333333333333336,0.8243491985609578,-10.14603215851419,114.27956026283188,-99.02145531661856,1.1540888779853409,158.48579458296905,-104.97695171744719,4,10,-1145.0391372459653,-11.106459417708828,9734,-0.6358335160255293,-0.004087968397538109,-0.24066197432662265,0.0018676764003673798,-2.8996871491249214,81,-0.31899098102884105,-7.161905053068844,82.83237136644473,-8.002739776648424,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
2,0,49246,49367,61251,2021-01-03 19:00:00,2023-02-09 11:15:00,2023-02-12 19:30:00,2023-09-27 09:45:00,0.6,0.35,2.5,2.0,True,10000.0,9634.742842293492,-365.2571577065082,-3.652571577065078,36,51,41.66666666666667,58.333333333333336,0.8243491985609578,-10.14603215851419,114.27956026283188,-99.02145531661856,1.1540888779853409,158.48579458296905,-104.97695171744719,4,10,-1145.0391372459653,-11.106459417708828,9734,-0.6358335160255293,-0.004087968397538109,-0.24066197432662265,0.0018676764003673798,-2.8996871491249214,81,-0.31899098102884105,-7.161905053068844,82.83237136644473,-8.002739776648424,0.75,0.7695829437065603,0.015026296018031555,4.069440430288695
