fold_id,train_start,train_end,val_start,val_end,train_start_time,train_end_time,val_start_time,val_end_time
0,0,33407,33528,49094,2020-01-01 18:15:00,2021-06-22 12:45:00,2021-06-23 22:30:00,2022-02-27 18:45:00
1,0,48974,49095,64661,2020-01-01 18:15:00,2022-02-24 09:15:00,2022-02-27 19:00:00,2022-11-01 05:45:00
2,0,64541,64662,80228,2020-01-01 18:15:00,2022-10-30 22:00:00,2022-11-01 06:00:00,2023-08-22 15:15:00
3,0,80108,80229,95796,2020-01-01 18:15:00,2023-08-21 07:30:00,2023-08-22 15:30:00,2024-04-29 14:15:00
