time,type,side,pnl,balance
2024-05-06 05:23:02.014,final,BUY,-98.38447590349915,9901.615524096502
2024-05-06 10:39:06.752,final,BUY,-100.90267119323882,9800.712852903263
2024-05-09 16:14:48.909,partial,BUY,93.13395045143369,9893.846803354698
2024-05-09 21:02:29.998,final,BUY,66.52425032245083,9960.371053677149
2024-05-10 02:37:57.105,partial,BUY,93.53139807652865,10053.902451753678
2024-05-10 02:58:46.323,final,BUY,54.66120666810047,10108.56365842178
2024-05-10 06:34:54.426,partial,BUY,95.01094039839818,10203.574598820178
2024-05-10 08:22:02.443,final,BUY,0.0,10203.574598820178
2024-05-13 09:49:39.057,final,BUY,-101.61272968337744,10101.961869136801
2024-05-14 06:36:05.809,final,BUY,-99.89789808245905,10002.063971054342
2024-05-15 04:27:55.115,partial,BUY,93.84933780912202,10095.913308863464
2024-05-15 04:38:07.877,final,BUY,62.41212120311275,10158.325430066578
2024-05-15 05:36:28.063,final,BUY,-102.81501310147907,10055.510416965099
2024-05-15 21:00:20.895,partial,BUY,94.72314820710534,10150.233565172204
2024-05-16 05:26:59.170,final,BUY,0.0,10150.233565172204
2024-05-17 09:36:58.906,final,BUY,-101.37647111983188,10048.857094052371
2024-05-17 11:05:16.323,partial,BUY,91.26430722506556,10140.121401277436
2024-05-17 11:14:27.791,final,BUY,0.0,10140.121401277436
2024-05-17 14:33:00.843,partial,BUY,93.28749485278553,10233.408896130222
2024-05-17 16:33:06.913,final,BUY,61.508238364474884,10294.917134494697
2024-05-19 21:01:30.823,partial,BUY,92.75743609596502,10387.674570590661
2024-05-20 01:34:41.987,final,BUY,54.20889122491462,10441.883461815576
2024-05-20 02:24:03.240,final,BUY,-107.88915289595661,10333.99430891962
2024-05-24 06:28:41.286,partial,BUY,99.70921527025153,10433.703524189872
2024-05-24 11:35:49.431,final,BUY,0.0,10433.703524189872
2024-05-27 14:28:20.287,final,BUY,-103.10534268326137,10330.598181506612
2024-06-04 03:39:25.704,final,BUY,-100.42647349158868,10230.171708015023
2024-06-04 09:39:58.278,final,BUY,-101.61388516087118,10128.557822854153
2024-06-05 09:46:36.671,final,BUY,-103.21549781639443,10025.342325037758
2024-06-05 10:21:24.109,partial,BUY,91.58893177768776,10116.931256815446
2024-06-05 10:23:06.552,final,BUY,56.074856190423816,10173.00611300587
2024-06-05 21:04:09.653,partial,BUY,95.2124038249508,10268.21851683082
2024-06-05 21:14:34.716,final,BUY,54.407087899971884,10322.625604730792
2024-06-06 04:36:52.794,final,BUY,-105.69880654064309,10216.92679819015
2024-06-06 12:23:34.094,final,BUY,-99.54509284092182,10117.381705349228
2024-06-07 01:48:12.136,final,BUY,-101.8153304384914,10015.566374910737
2024-06-10 21:02:44.357,final,BUY,-103.50733861990193,9912.059036290835
2024-06-12 08:30:02.519,partial,BUY,92.16439827671785,10004.223434567553
2024-06-12 08:30:08.927,final,BUY,54.85976087899872,10059.083195446552
2024-06-12 09:36:55.110,final,BUY,-96.59135211127295,9962.49184333528
2024-06-14 06:49:15.441,partial,BUY,92.05022636735339,10054.542069702633
2024-06-14 07:42:18.295,final,BUY,59.17514552187003,10113.717215224502
2024-06-14 09:30:26.513,final,BUY,-103.80839824768829,10009.908816976813
2024-06-17 08:30:07.150,final,BUY,-101.29879430303117,9908.610022673782
2024-06-20 04:02:41.006,final,BUY,-97.10452195858215,9811.5055007152
2024-06-20 10:22:33.465,partial,BUY,94.27412487326178,9905.779625588462
2024-06-20 10:49:11.570,final,BUY,59.41646525625629,9965.196090844718
2024-06-21 04:29:26.463,partial,BUY,92.80049084369124,10057.996581688409
2024-06-21 09:22:45.375,final,BUY,0.0,10057.996581688409
2024-06-25 06:08:16.962,partial,BUY,97.36506975178354,10155.361651440193
2024-06-25 08:32:20.619,final,BUY,0.0,10155.361651440193
2024-06-27 07:00:09.581,partial,BUY,93.36572342683795,10248.72737486703
2024-06-27 08:01:40.444,final,BUY,57.16268781234975,10305.89006267938
2024-06-27 08:39:50.349,partial,BUY,96.7349298716239,10402.624992551004
2024-06-27 08:40:03.373,final,BUY,59.225467268341156,10461.850459819345
2024-06-27 10:01:07.939,partial,BUY,97.4093127690926,10559.259772588437
2024-06-27 10:23:44.685,final,BUY,0.0,10559.259772588437
2024-06-27 12:50:31.162,final,BUY,-105.8343537356177,10453.42541885282
2024-06-28 08:21:00.924,final,BUY,-103.05132127721481,10350.374097575605
2024-07-01 08:39:55.085,final,BUY,-103.14627110651236,10247.227826469092
2024-07-03 03:57:18.161,partial,BUY,97.14729246792103,10344.375118937012
2024-07-03 05:35:15.435,final,BUY,0.0,10344.375118937012
2024-07-03 07:21:18.991,final,BUY,-102.0999168551957,10242.275202081817
2024-07-03 08:53:37.057,final,BUY,-104.3889448961272,10137.88625718569
2024-07-03 09:27:40.743,final,BUY,-102.22379598559293,10035.662461200096
2024-07-03 10:06:04.007,partial,BUY,95.48705300916312,10131.149514209259
2024-07-03 12:54:13.700,final,BUY,0.0,10131.149514209259
2024-07-05 03:43:18.664,partial,BUY,95.08281437561118,10226.23232858487
2024-07-05 05:33:23.135,final,BUY,0.0,10226.23232858487
2024-07-05 09:35:11.770,partial,BUY,95.41957793144937,10321.65190651632
2024-07-05 09:41:32.292,final,BUY,59.637236207157464,10381.289142723477
2024-07-07 18:58:46.301,final,BUY,-103.84921891405247,10277.439923809425
2024-07-08 19:06:08.153,final,SELL,-102.52483111474157,10174.915092694682
2024-07-10 09:47:48.029,partial,BUY,94.88430505910527,10269.799397753788
2024-07-10 09:55:15.380,final,BUY,60.24400321213034,10330.043400965918
2024-07-10 10:20:08.276,final,BUY,-103.01669883373279,10227.026702132185
2024-07-15 10:58:09.819,partial,BUY,96.31364180868232,10323.340343940867
2024-07-15 11:07:22.997,final,BUY,57.32954869564537,10380.669892636512
2024-07-15 12:52:42.802,final,BUY,-104.5359323622397,10276.133960274272
2024-07-16 07:50:28.478,final,BUY,-103.50169795873173,10172.63226231554
2024-07-16 08:52:19.553,final,BUY,-101.60773856654714,10071.024523748993
2024-07-16 10:57:51.490,partial,BUY,95.08763084552612,10166.112154594519
2024-07-16 11:07:41.810,final,BUY,58.216916844201485,10224.32907143872
2024-07-16 20:40:32.792,partial,BUY,96.29096582843863,10320.62003726716
2024-07-16 21:22:05.315,final,BUY,63.48854889787253,10384.108586165032
2024-07-16 22:39:50.667,final,BUY,-100.4774628342493,10283.631123330782
2024-07-23 07:24:45.752,partial,BUY,97.04180955930528,10380.672932890087
2024-07-23 08:31:52.369,final,BUY,0.0,10380.672932890087
2024-07-25 07:57:16.725,final,BUY,-103.3012996299585,10277.371633260129
2024-07-30 16:20:23.054,partial,BUY,95.3808210788471,10372.752454338975
2024-07-30 23:13:40.125,final,BUY,56.77429826121625,10429.526752600192
2024-07-31 09:55:43.463,partial,BUY,95.90674585996203,10525.433498460154
2024-07-31 14:44:08.026,final,BUY,54.803854777122986,10580.237353237277
2024-07-31 22:45:24.438,final,BUY,-107.17534324806456,10473.062009989211
2024-08-08 07:14:12.477,partial,BUY,97.03577129705445,10570.097781286266
2024-08-08 08:21:40.755,final,BUY,66.16075315708258,10636.258534443348
2024-08-08 09:00:37.575,final,BUY,-105.46748929708791,10530.791045146261
2024-08-08 10:24:38.861,partial,BUY,95.80883217275368,10626.599877319015
2024-08-08 10:56:00.779,final,BUY,0.0,10626.599877319015
2024-08-08 12:57:37.971,final,BUY,-108.30163371602977,10518.298243602985
2024-08-09 07:02:16.410,partial,BUY,98.19772447363721,10616.495968076622
2024-08-09 09:44:32.717,final,BUY,0.0,10616.495968076622
2024-08-12 11:09:48.004,partial,BUY,98.54110842234063,10715.037076498964
2024-08-12 11:15:21.089,final,BUY,60.33129087081943,10775.368367369783
2024-08-12 12:06:10.938,partial,BUY,101.16104412347913,10876.529411493262
2024-08-12 13:44:19.263,final,BUY,68.45484188806859,10944.984253381332
2024-08-12 19:56:21.425,partial,BUY,100.24455637033134,11045.228809751663
2024-08-12 21:12:54.477,final,BUY,0.0,11045.228809751663
2024-08-16 10:04:09.527,final,BUY,-108.14567282546797,10937.083136926194
2024-08-20 03:43:34.028,partial,BUY,103.03194259513975,11040.115079521334
2024-08-20 04:04:13.442,final,BUY,66.23482023973338,11106.349899761068
2024-08-20 11:02:09.124,final,BUY,-111.05523679904354,10995.294662962024
2024-08-23 09:47:46.839,final,BUY,-110.80245959152171,10884.492203370502
2024-08-27 21:48:34.393,final,BUY,-106.96644141343768,10777.525761957066
2024-08-28 08:56:14.764,final,SELL,-107.21837334593873,10670.307388611127
2024-08-29 08:30:38.432,final,BUY,-105.92873762864656,10564.37865098248
2024-09-05 04:23:43.240,partial,BUY,100.0375233464736,10664.416174328953
2024-09-05 04:27:49.864,final,BUY,62.52345209154283,10726.939626420497
2024-09-05 08:35:26.400,partial,BUY,101.43448037786473,10828.374106798361
2024-09-05 09:04:26.499,final,BUY,0.0,10828.374106798361
2024-09-11 06:17:14.815,final,BUY,-110.06427544489634,10718.309831353465
2024-09-12 09:45:01.195,partial,BUY,100.79531128237502,10819.105142635839
2024-09-12 10:46:41.274,final,BUY,67.49686023373442,10886.602002869573
2024-09-12 20:43:28.133,partial,BUY,97.94377458128814,10984.545777450861
2024-09-12 21:09:57.772,final,BUY,64.57831291073853,11049.1240903616
2024-09-13 12:06:32.576,partial,BUY,104.27545255195145,11153.399542913552
2024-09-15 23:06:25.765,final,BUY,63.84211380731721,11217.24165672087
2024-09-17 04:04:26.984,final,BUY,-111.71638463207636,11105.525272088793
2024-09-19 08:35:57.288,final,BUY,-114.11418077026838,10991.411091318525
2024-09-20 02:49:30.424,partial,BUY,98.70268637058997,11090.113777689116
2024-09-20 03:07:31.023,final,BUY,70.50191883613479,11160.61569652525
2024-09-20 05:56:31.831,final,BUY,-111.68533758565535,11048.930358939595
2024-09-20 09:30:07.888,final,BUY,-110.97356609966664,10937.956792839928
2024-09-20 11:43:17.553,partial,BUY,104.84458141198292,11042.80137425191
2024-09-22 22:57:43.928,final,BUY,70.94746110585311,11113.748835357765
2024-09-23 11:03:45.734,final,BUY,-110.93788967089722,11002.810945686868
2024-09-24 01:46:27.649,final,BUY,-110.9271271578218,10891.883818529046
2024-09-24 14:22:18.973,partial,BUY,101.48402550641026,10993.367844035456
2024-09-24 15:28:41.757,final,BUY,57.99087171794781,11051.358715753404
2024-09-25 01:51:20.225,final,BUY,-109.58299438983477,10941.775721363569
2024-09-26 07:01:53.437,partial,BUY,103.8360080687216,11045.61172943229
2024-09-26 07:18:01.126,final,BUY,63.57306616452206,11109.184795596811
2024-09-26 08:11:07.087,final,BUY,-109.88353656661276,10999.301259030199
2024-10-01 08:18:30.770,partial,BUY,100.89743639735842,11100.198695427556
2024-10-01 09:07:03.973,final,BUY,0.0,11100.198695427556
2024-10-01 10:00:03.158,final,BUY,-113.69853374623744,10986.500161681319
2024-10-01 14:10:51.902,final,BUY,-107.80923898935042,10878.690922691969
2024-10-04 02:50:04.900,final,BUY,-106.82748623155067,10771.863436460419
2024-10-11 08:41:33.360,final,BUY,-106.44561992294075,10665.417816537478
2024-10-11 10:32:17.565,partial,BUY,99.33094810203525,10764.748764639513
2024-10-11 11:15:23.914,final,BUY,60.81486618491817,10825.563630824432
2024-10-13 18:00:44.508,final,BUY,-106.94371589144794,10718.619914932984
2024-10-15 13:03:44.723,final,BUY,-106.93684223173341,10611.683072701251
2024-10-16 05:04:32.933,partial,BUY,98.03175735134447,10709.714830052595
2024-10-16 06:21:01.548,final,BUY,0.0,10709.714830052595
2024-10-16 09:06:04.113,partial,BUY,101.41947254457217,10811.134302597167
2024-10-16 09:50:03.962,final,BUY,0.0,10811.134302597167
2024-10-17 12:31:32.071,final,BUY,-108.94878793988939,10702.185514657278
2024-10-18 01:36:29.402,partial,BUY,99.43893149506842,10801.624446152346
2024-10-18 02:24:49.550,final,BUY,0.0,10801.624446152346
2024-10-18 09:06:23.826,final,BUY,-109.19347271865263,10692.430973433693
2024-10-20 20:36:08.886,partial,BUY,98.48062256679071,10790.911596000484
2024-10-20 22:28:59.961,final,BUY,62.067619264782934,10852.979215265266
2024-10-21 06:13:14.166,final,BUY,-106.57071284652602,10746.40850241874
2024-10-22 07:20:12.423,final,BUY,-109.00847078170408,10637.400031637037
2024-10-22 11:42:53.351,final,BUY,-105.7862178133746,10531.613813823662
2024-10-22 21:36:06.170,final,BUY,-104.73555710458959,10426.878256719072
2024-10-23 04:03:38.088,partial,BUY,97.26038380381078,10524.138640522882
2024-10-23 07:00:53.948,final,BUY,0.0,10524.138640522882
2024-10-24 02:24:29.765,partial,BUY,95.55120625654197,10619.689846779424
2024-10-24 03:15:06.772,final,BUY,68.25086161181571,10687.94070839124
2024-10-24 09:50:23.715,final,BUY,-106.19812072877448,10581.742587662466
2024-10-25 08:49:31.947,partial,BUY,100.09833057652536,10681.840918238991
2024-10-25 10:10:08.058,final,BUY,61.28469218970803,10743.125610428699
2024-10-28 22:30:13.191,final,BUY,-105.08482969536999,10638.040780733329
2024-10-29 10:25:36.585,final,BUY,-107.65943776899802,10530.38134296433
2024-10-30 02:51:54.306,final,BUY,-106.90075233783864,10423.480590626492
2024-10-31 09:39:00.737,partial,SELL,97.91390202672332,10521.394492653215
2024-10-31 09:46:58.818,final,SELL,61.71044245381609,10583.10493510703
2024-10-31 11:00:48.814,final,SELL,-104.04760278671803,10479.057332320312
2024-11-01 07:36:26.351,partial,BUY,100.27093022359404,10579.328262543906
2024-11-01 09:25:41.231,final,BUY,0.0,10579.328262543906
2024-11-07 08:23:23.151,final,SELL,-101.7967022498442,10477.531560294061
2024-11-07 15:08:21.539,partial,BUY,98.95220311908697,10576.483763413147
2024-11-07 15:15:48.131,final,BUY,65.24321084774965,10641.726974260897
2024-11-07 21:04:11.828,final,BUY,-105.76275994770367,10535.964214313193
2024-11-11 09:43:39.540,partial,SELL,100.46503216792688,10636.42924648112
2024-11-11 10:37:47.808,final,SELL,66.24068055028329,10702.669927031404
2024-11-11 15:34:34.065,final,SELL,-106.74896028148578,10595.920966749918
2024-11-12 00:23:22.998,final,BUY,-110.2191628192868,10485.701803930631
2024-11-12 08:25:21.606,partial,BUY,99.45504036557242,10585.156844296203
2024-11-12 10:29:23.250,final,BUY,0.0,10585.156844296203
2024-11-14 09:35:25.830,partial,BUY,102.07616225774736,10687.23300655395
2024-11-14 10:25:16.731,final,BUY,67.30296412598545,10754.535970679935
2024-11-18 01:04:10.365,final,BUY,-112.06788280251567,10642.46808787742
2024-11-18 09:13:11.291,partial,BUY,99.26001048327102,10741.72809836069
2024-11-18 10:57:16.970,final,BUY,65.44616075820159,10807.174259118892
2024-11-18 21:43:34.752,partial,BUY,102.225650736842,10909.399909855734
2024-11-19 04:19:55.245,final,BUY,62.5871331041908,10971.987042959925
2024-11-19 07:56:20.652,partial,BUY,104.27761539425045,11076.264658354175
2024-11-19 08:22:02.669,final,BUY,0.0,11076.264658354175
2024-11-20 20:57:19.995,final,BUY,-113.31225441862125,10962.952403935555
2024-11-21 04:38:05.734,final,BUY,-111.43411032590393,10851.51829360965
2024-11-21 07:03:23.261,final,BUY,-108.94511780717266,10742.573175802478
2024-11-21 20:54:06.450,partial,BUY,98.14834560609668,10840.721521408574
2024-11-21 21:35:45.446,final,BUY,66.4161737184113,10907.137695126985
2024-11-22 02:31:02.541,partial,BUY,102.48605873753762,11009.623753864522
2024-11-22 02:50:45.223,final,BUY,69.35146831863312,11078.975222183155
2024-11-22 04:38:59.953,partial,BUY,103.92643239177322,11182.901654574927
2024-11-22 06:00:49.702,final,BUY,66.80984939471273,11249.71150396964
2024-11-24 18:00:14.424,final,BUY,-112.42543729807765,11137.286066671562
2024-11-25 09:08:08.734,final,BUY,-116.37057296392277,11020.91549370764
2024-11-25 13:19:06.379,partial,SELL,103.64653247123353,11124.562026178874
2024-11-25 18:43:02.384,final,SELL,63.45706069667359,11188.019086875547
2024-11-27 08:51:13.899,partial,BUY,105.34678278552505,11293.365869661073
2024-11-27 10:01:27.372,final,BUY,0.0,11293.365869661073
2024-11-29 10:02:55.658,final,BUY,-114.26356288074749,11179.102306780325
2024-12-02 06:21:50.214,partial,BUY,108.60056597428083,11287.702872754606
2024-12-02 09:13:01.209,final,BUY,77.57183283877202,11365.274705593378
2024-12-06 09:10:05.913,final,BUY,-109.56750896865788,11255.70719662472
2024-12-09 12:47:32.757,final,BUY,-115.74241202979374,11139.964784594926
2024-12-10 08:19:07.341,final,BUY,-113.8550301617761,11026.10975443315
2024-12-10 09:54:19.742,partial,BUY,104.9770393637943,11131.086793796943
2024-12-10 12:54:00.317,final,BUY,62.48633295464061,11193.573126751584
2024-12-10 22:44:31.456,final,BUY,-113.04861328786775,11080.524513463715
2024-12-12 10:51:10.518,partial,SELL,105.98555008271705,11186.510063546433
2024-12-12 12:58:01.240,final,SELL,0.0,11186.510063546433
2024-12-13 03:49:38.375,final,BUY,-108.5978670408076,11077.912196505626
2024-12-19 08:15:08.764,final,BUY,-113.88511081833803,10964.027085687288
2024-12-22 19:39:52.328,final,BUY,-112.91926866298536,10851.107817024304
2024-12-24 09:54:51.903,final,BUY,-106.44788301349217,10744.659934010811
2024-12-26 12:02:44.226,final,BUY,-105.41965472906303,10639.240279281748
2024-12-30 02:01:29.977,final,BUY,-108.69151963356897,10530.54875964818
2024-12-31 07:08:09.883,final,BUY,-106.51498099861512,10424.033778649564
2025-01-01 20:30:32.710,partial,BUY,99.71548615145875,10523.749264801023
2025-01-02 03:07:18.449,final,BUY,67.47664476414229,10591.225909565164
2025-01-02 08:13:07.735,final,BUY,-107.63977890040589,10483.586130664758
2025-01-02 10:49:42.363,partial,BUY,96.42902178220837,10580.015152446967
2025-01-02 11:24:40.640,final,BUY,65.25272150675755,10645.267873953726
2025-01-02 22:20:21.427,partial,BUY,99.96859795652107,10745.236471910246
2025-01-03 00:50:50.440,final,BUY,0.0,10745.236471910246
2025-01-07 09:17:13.678,final,BUY,-109.61618592130344,10635.620285988942
2025-01-07 10:00:00.180,final,BUY,-106.90641282156683,10528.713873167375
2025-01-08 11:42:02.528,partial,BUY,99.3820987141557,10628.09597188153
2025-01-08 12:29:39.313,final,BUY,0.0,10628.09597188153
2025-01-09 09:27:24.071,final,BUY,-104.63140797581218,10523.464563905718
2025-01-10 10:15:45.642,partial,BUY,100.42090182747634,10623.885465733194
2025-01-10 10:32:50.858,final,BUY,68.46879670055206,10692.354262433746
2025-01-10 13:18:01.664,final,BUY,-106.92599033754232,10585.428272096204
2025-01-14 00:01:45.233,partial,BUY,96.29970398769797,10681.727976083901
2025-01-14 04:39:27.560,final,BUY,0.0,10681.727976083901
2025-01-15 04:44:09.981,partial,BUY,100.42589323084013,10782.153869314741
2025-01-15 08:30:24.776,final,BUY,66.21487465770042,10848.368743972442
2025-01-15 20:09:15.941,partial,BUY,100.74171756475843,10949.1104615372
2025-01-16 01:13:06.144,final,BUY,0.0,10949.1104615372
2025-01-16 05:07:38.111,partial,BUY,101.52073215539967,11050.6311936926
2025-01-16 06:34:36.672,final,BUY,63.45045759712321,11114.081651289724
2025-01-16 12:18:51.723,partial,BUY,101.53009536497537,11215.611746654698
2025-01-16 13:44:05.189,final,BUY,0.0,11215.611746654698
2025-01-21 02:38:15.599,partial,BUY,106.25695209829608,11321.868698752995
2025-01-21 03:44:21.205,final,BUY,0.0,11321.868698752995
2025-01-21 19:46:09.910,partial,BUY,104.23942200481287,11426.108120757808
2025-01-21 22:37:53.527,final,BUY,70.53795474009894,11496.646075497907
2025-01-22 00:54:12.993,partial,BUY,106.34170683369557,11602.987782331602
2025-01-22 01:09:51.408,final,BUY,0.0,11602.987782331602
2025-01-22 06:19:51.348,final,BUY,-116.65085192096696,11486.336930410635
2025-01-24 08:44:29.738,partial,BUY,108.9267655844288,11595.263695995063
2025-01-24 09:27:36.400,final,BUY,0.0,11595.263695995063
2025-01-24 10:56:36.669,final,BUY,-117.48041648902881,11477.783279506035
2025-01-28 13:43:41.452,partial,BUY,105.70534438807688,11583.488623894113
2025-01-28 20:03:01.660,final,BUY,70.29665759798627,11653.785281492099
2025-01-30 05:26:18.447,partial,BUY,108.59247296058783,11762.377754452687
