engine,comparison,final_balance,net_profit,total_return_pct,closed_trades,win_rate_pct,profit_factor,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,sharpe_ratio,sortino_ratio,deflated_sharpe_probability,recovery_factor,expectancy
OHLC,40001_minus_30001,2374.504288489712,2374.504288489712,23.74504288489709,350,-2.062043436312443,-0.08587455122807097,0,-2,-248.32135044908318,-9.453512469932264,-0.24497930510743604,-3.2105632494288416,-0.32451117339810054,0.44242964517877326,-6.845835958154247
TICK_BID_ASK,40001_minus_30001,-1772.4400608277883,-1772.4400608277883,-17.724400608277893,349,-1.396579024336127,-0.07993790066100392,0,-2,-836.7341546604111,-10.726072624093767,-0.40977422571649613,-1.8668566404193436,-0.8744320303853703,-1.1525191370601782,-5.445593616048237
