dataset,start_time,end_time,bars,model_id,engine,label,threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,dsr_trials,params_file,note,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,recovery_factor,mean_cashflow,std_cashflow
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,30001,OHLC,old_optimization_legacy,0.65,0.35,2.5,2.0,True,1,MT5_Version_30001/Files/HMM_Params_15M_30001.csv,Old 18-column params adapted to 15 columns; Accel fields ignored by current engine.,10000.0,21244.128144743518,11244.128144743518,112.44128144743519,486,721,48.35390946502058,51.64609053497943,1.2938886165619965,23.136066141447603,210.6551357730939,-152.42959666108976,1.3819831606683453,642.5265604214453,-258.6127236662451,7,10,-3048.3661704736405,-12.5938182453021,3773,2.275302018870634,0.014628613486968737,10.39240482825329,0.999485131753695,3.2822735708506854,3.6885752944163066,15.595184666773283,136.842707173735
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,30001,TICK_BID_ASK,old_optimization_legacy,0.65,0.35,2.5,2.0,True,1,MT5_Version_30001/Files/HMM_Params_15M_30001.csv,Old 18-column params adapted to 15 columns; Accel fields ignored by current engine.,10000.0,13755.842367081972,3755.842367081972,37.55842367081972,479,698,45.72025052192067,54.27974947807933,1.1200002419198172,7.841007029398731,160.06605324865302,-120.37932036297316,1.3296806525075455,306.0935937798644,-172.5129939289263,8,10,-2038.6686041989833,-12.928880994002817,6133,1.047317395855814,0.006733524277255267,4.203243076928775,0.9147574859474383,1.3706469868899969,1.8423015684580508,5.380862990088814,102.44329629370715
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,40001,OHLC,current_optimized_no_layers,0.6,0.35,3.0,2.0,True,81,MT5_Version_40001/Files/HMM_Params_15M_40001.csv,"Nested top stability candidate, no extra improvement layers.",10000.0,23618.63243323323,13618.63243323323,136.18632433233228,836,1223,46.291866028708135,53.70813397129187,1.2080140653339255,16.290230183293357,204.3627897685347,-145.81239912514405,1.40154603445719,490.9141452241606,-264.9596245681623,7,8,-3296.6875209227237,-22.047330715234363,14921,2.030322713763198,0.013053566509907785,7.181841578824449,0.6749739583555945,0.45368983628513004,4.13100493959508,11.135431261842392,132.09461983825238
OOS_202405,2024-05-01 00:00:00,2026-05-29 16:45:00,49137,40001,TICK_BID_ASK,current_optimized_no_layers,0.6,0.35,3.0,2.0,True,81,MT5_Version_40001/Files/HMM_Params_15M_40001.csv,"Nested top stability candidate, no extra improvement layers.",10000.0,11983.402306254184,1983.4023062541837,19.834023062541828,828,1195,44.32367149758454,55.67632850241546,1.0400623412588132,2.395413413350494,140.3032706961457,-107.39240355581616,1.3064543305730598,279.1699089497357,-160.43025669520466,8,8,-2875.4027588593945,-23.654953618096584,14507,0.6375431701393178,0.0040989602874145275,2.3363864365094313,0.04032545556206796,-1.7469217576486176,0.6897824313978725,1.6597508838947357,91.70094453502266
