time,bar_i,type,side,pnl,balance
2024-05-06 05:15:00,297,final,BUY,-98.36711185696187,9901.632888143038
2024-05-06 10:30:00,318,final,BUY,-100.8801353611807,9800.752752781857
2024-05-09 16:00:00,616,partial,BUY,98.69999999999999,9899.452752781857
2024-05-09 21:00:00,632,final,BUY,66.51143125795716,9965.964184039814
2024-05-10 02:30:00,654,partial,BUY,120.42800000000251,10086.392184039816
2024-05-10 02:45:00,655,final,BUY,54.65074290123629,10141.042926941052
2024-05-10 06:30:00,670,partial,BUY,94.99301808011569,10236.035945021169
2024-05-10 08:15:00,677,final,BUY,0.0,10236.035945021169
2024-05-13 09:45:00,775,final,BUY,-101.59627021741335,10134.439674803756
2024-05-14 08:30:00,862,final,BUY,-99.87831873034749,10034.56135607341
2024-05-15 04:15:00,937,partial,BUY,120.5820000000011,10155.14335607341
2024-05-15 04:30:00,938,final,BUY,62.40182106187285,10217.545177135282
2024-05-15 05:30:00,942,final,BUY,-102.79638652628455,10114.748790608997
2024-05-15 21:00:00,1000,partial,BUY,94.70805228324885,10209.456842892247
2024-05-16 05:15:00,1033,final,BUY,0.0,10209.456842892247
2024-05-17 09:30:00,1142,final,BUY,-101.36465904830038,10108.092183843946
2024-05-17 11:00:00,1148,partial,BUY,91.25040481144705,10199.342588655394
2024-05-17 11:00:00,1148,final,BUY,0.0,10199.342588655394
2024-05-17 14:30:00,1162,partial,BUY,110.8379999999985,10310.180588655392
2024-05-17 16:30:00,1170,final,BUY,61.49980471889831,10371.68039337429
2024-05-19 21:00:00,1184,partial,BUY,92.74187290890895,10464.4222662832
2024-05-20 01:30:00,1202,final,BUY,54.19979585585588,10518.622062139057
2024-05-20 02:15:00,1205,final,BUY,-107.86977597529312,10410.752286163763
2024-05-24 05:00:00,1584,partial,BUY,99.69382517586273,10510.446111339625
2024-05-24 13:45:00,1619,final,BUY,0.0,10510.446111339625
2024-05-27 14:15:00,1713,final,BUY,-103.08172010348653,10407.364391236139
2024-06-04 03:30:00,2212,final,BUY,-107.108026666152,10300.256364569987
2024-06-04 09:30:00,2236,final,BUY,-101.59952409674133,10198.656840473246
2024-06-05 10:00:00,2330,final,BUY,-103.19655292782272,10095.460287545424
2024-06-05 21:00:00,2370,partial,BUY,149.72999999999752,10245.190287545422
2024-06-05 21:00:00,2370,final,BUY,54.39759448859876,10299.58788203402
2024-06-06 05:30:00,2404,final,BUY,-105.68358102247295,10193.904301011547
2024-06-06 12:15:00,2431,final,BUY,-99.52888925230354,10094.375411759243
2024-06-07 01:45:00,2481,final,BUY,-101.79906243461257,9992.57634932463
2024-06-10 21:00:00,2646,final,BUY,-103.48821599987559,9889.088133324754
2024-06-12 08:30:00,2784,partial,BUY,202.9859999999959,10092.07413332475
2024-06-12 08:30:00,2784,final,BUY,0.0,10092.07413332475
2024-06-12 09:30:00,2788,final,BUY,-105.35361211850432,9986.720521206245
2024-06-14 06:45:00,2961,partial,BUY,95.06000000000586,10081.780521206252
2024-06-14 07:30:00,2964,final,BUY,59.16496053674381,10140.945481742996
2024-06-14 09:30:00,2972,final,BUY,-103.78925949016822,10037.156222252828
2024-06-17 10:15:00,3067,partial,BUY,94.53413586725546,10131.690358120084
2024-06-17 10:15:00,3067,final,BUY,0.0,10131.690358120084
2024-06-20 04:00:00,3308,final,BUY,-101.50072172834325,10030.18963639174
2024-06-20 10:15:00,3333,partial,BUY,94.25727993068726,10124.446916322428
2024-06-20 10:15:00,3333,final,BUY,0.0,10124.446916322428
2024-06-20 11:15:00,3337,final,BUY,-100.67769443204453,10023.769221890383
2024-06-20 20:30:00,3370,partial,BUY,93.35046352249215,10117.119685412876
2024-06-21 09:30:00,3422,final,BUY,0.0,10117.119685412876
2024-06-25 06:00:00,3592,partial,BUY,103.48799999999947,10220.607685412875
2024-06-25 08:45:00,3603,final,BUY,0.0,10220.607685412875
2024-06-27 06:45:00,3779,partial,BUY,96.68431252207864,10317.291997934954
2024-06-27 07:45:00,3783,final,BUY,64.29744921419433,10381.589447149148
2024-06-27 08:30:00,3786,partial,BUY,98.54878399386747,10480.138231143015
2024-06-27 08:30:00,3786,final,BUY,0.0,10480.138231143015
2024-06-27 10:00:00,3792,partial,BUY,97.3937983602013,10577.532029503216
2024-06-27 10:15:00,3793,final,BUY,0.0,10577.532029503216
2024-06-27 14:00:00,3808,final,BUY,-105.81781450518974,10471.714214998026
2024-06-28 08:15:00,3877,final,BUY,-106.71769918387189,10364.996515814155
2024-07-01 08:30:00,3970,final,BUY,-103.1303820448843,10261.86613376927
